REF_PRODUCT;Hi?n th? trên LOS;;;SLA_CREDIT_OFFICER;SLA_MARKER;SLA_CHECKER;SLA_CREDIT_APPROVER;FLAG (APP_GRP);NOTE
;Product Line;Sub Product;Have any deviation;;;;;;
H?n m?c STK, C?p tín d?ng món STK;H?n m?c;H?n m?c Vay c?m c? GTCG;Không;4,00;3,00;1,00;0,50;CGPD;CGPD c?p B + A
;C?p tín d?ng ng?n h?n;Vay c?m c? GTCG theo món;Không;;;;;;
SeACar Business;SeaCar Business;;Không;12,00;9,00;3,00;3,50;CGPD;
C?p tín d?ng ng?n h?n;C?p tín d?ng ng?n h?n;;Không;14,50;10,88;3,63;4,00;CGPD;
H?n m?c;H?n m?c;;Không;16,50;12,38;4,13;4,00;CGPD;
Tái c?p h?n m?c;Tái c?p H?n m?c;;Không;13,50;10,13;3,38;3,50;CGPD;
??u t? tài s?n c? ??nh;??u t? tài s?n c? ??nh;;Không;20,50;15,38;5,13;4,00;CGPD;
??u t? d? án;??u t? d? án;;Không;28,50;21,38;7,13;13,00;CGPD;
Ph??ng án thay ??i ?i?u ki?n phê duy?t;Tr??ng Change Request;;Không;10,50;7,88;2,63;3,50;CGPD;
H?n m?c STK, C?p tín d?ng món STK;H?n m?c;H?n m?c Vay c?m c? GTCG;Có;6,00;4,50;1,50;0,50;CGPD;
;C?p tín d?ng ng?n h?n;Vay c?m c? GTCG theo món;Có;;;;;;
SeACar Business;SeaCar Business;;Có;14,00;10,50;3,50;3,50;CGPD;
C?p tín d?ng ng?n h?n;C?p tín d?ng ng?n h?n;;Có;16,50;12,38;4,13;4,00;CGPD;
H?n m?c;H?n m?c;;Có;18,50;13,88;4,63;4,00;CGPD;
Tái c?p h?n m?c;Tái c?p H?n m?c;;Có;15,50;11,63;3,88;3,50;CGPD;
??u t? tài s?n c? ??nh;??u t? tài s?n c? ??nh;;Có;22,50;16,88;5,63;4,00;CGPD;
??u t? d? án;??u t? d? án;;Có;30,50;22,88;7,63;13,00;CGPD;
Ph??ng án thay ??i ?i?u ki?n phê duy?t;Tr??ng Change Request;;Có;12,50;9,38;3,13;3,50;CGPD;
H?n m?c STK, C?p tín d?ng món STK;H?n m?c;H?n m?c Vay c?m c? GTCG;Không;4,00;3,00;1,00;0,00;BOD/CC;
;C?p tín d?ng ng?n h?n;Vay c?m c? GTCG theo món;Không;;;;;;
SeACar Business;SeaCar Business;;Không;12,00;9,00;3,00;0,00;BOD/CC;
C?p tín d?ng ng?n h?n;C?p tín d?ng ng?n h?n;;Không;16,50;12,38;4,13;0,00;BOD/CC;
H?n m?c;H?n m?c;;Không;20,50;15,38;5,13;0,00;BOD/CC;
Tái c?p h?n m?c;Tái c?p H?n m?c;;Không;16,50;12,38;4,13;0,00;BOD/CC;
??u t? tài s?n c? ??nh;??u t? tài s?n c? ??nh;;Không;22,50;16,88;5,63;0,00;BOD/CC;
??u t? d? án;??u t? d? án;;Không;40,50;30,38;10,13;0,00;BOD/CC;
Ph??ng án thay ??i ?i?u ki?n phê duy?t;Tr??ng Change Request;;Không;12,50;9,38;3,13;0,00;BOD/CC;
H?n m?c STK, C?p tín d?ng món STK;H?n m?c;H?n m?c Vay c?m c? GTCG;Có;6,00;4,50;1,50;0,00;BOD/CC;
