"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"AGG_LOS_KPI_APPLICATION","WI_NAME","false","string(100)","PK","PK (1/2) — Driving: UNION ALL STG_FCT_CLOS_APPLICATION_DAILY + STG_FCT_RLOS_APPLICATION_DAILY. Mã hồ sơ tín dụng CLOS hoặc RLOS","SELECT STG_FCT_CLOS_APPLICATION_DAILY.WI_NAME FROM STG_FCT_CLOS_APPLICATION_DAILY WHERE EXISTS (SELECT 1 FROM STG_FCT_CLOS_WORKSTEP_EVENT WHERE STG_FCT_CLOS_WORKSTEP_EVENT.WI_NAME = STG_FCT_CLOS_APPLICATION_DAILY.WI_NAME AND (STG_FCT_CLOS_WORKSTEP_EVENT.DECISION_CODE IN ('Submit','Send To PostSanction','Submit To DisbursementMaker','Send To HOSupport','Reject') OR STG_FCT_CLOS_WORKSTEP_EVENT.WORKSTEP_CODE IN ('CancelRevoke','CancelPermanent'))) UNION ALL SELECT STG_FCT_RLOS_APPLICATION_DAILY.WI_NAME FROM STG_FCT_RLOS_APPLICATION_DAILY WHERE EXISTS (SELECT 1 FROM STG_FCT_RLOS_WORKSTEP_EVENT WHERE STG_FCT_RLOS_WORKSTEP_EVENT.WI_NAME = STG_FCT_RLOS_APPLICATION_DAILY.WI_NAME AND (STG_FCT_RLOS_WORKSTEP_EVENT.DECISION_CODE IN ('Submit','Send To PostSanction','Submit To DisbursementMaker','Send To HOSupport','Reject') OR STG_FCT_RLOS_WORKSTEP_EVENT.WORKSTEP_CODE IN ('CancelRevoke','CancelPermanent')))","join","STG_FCT_CLOS_APPLICATION_DAILY","WI_NAME","Grain 1 dòng/hồ sơ (không theo DAYID, khác bảng cũ FCT_PDTD_KPI_APPLICATION). review 2026-09-18: chỉ nhận hồ sơ đã đến quyết định cuối/đã hủy — hồ sơ đang xử lý dở dang không xuất hiện trong bảng này"
"AGG_LOS_KPI_APPLICATION","DATASOURCE","false","string(10)","PK","PK (2/2) — RLOS hoặc CLOS — quyết định công thức TAT/POINT/nhóm phân loại áp dụng","STG_FCT_CLOS_APPLICATION_DAILY.DATASOURCE","direct","STG_FCT_CLOS_APPLICATION_DAILY","DATASOURCE","Nhánh RLOS lấy trực tiếp STG_FCT_RLOS_APPLICATION_DAILY.DATASOURCE trong cùng UNION ALL của dòng WI_NAME"
"AGG_LOS_KPI_APPLICATION","APPLICATION_SK","false","number","","Khóa tới DIM_CLOS_APPLICATION hoặc DIM_RLOS_APPLICATION tùy DATASOURCE","STG_FCT_CLOS_APPLICATION_DAILY.APPLICATION_SK","direct","STG_FCT_CLOS_APPLICATION_DAILY","APPLICATION_SK","Mặc định -1. Nhánh RLOS lấy STG_FCT_RLOS_APPLICATION_DAILY.APPLICATION_SK trong cùng UNION ALL của dòng WI_NAME"
"AGG_LOS_KPI_APPLICATION","PRODUCT_SK","false","number","","Khóa tới DIM_CLOS_PRODUCT hoặc DIM_RLOS_PRODUCT tùy DATASOURCE","STG_FCT_CLOS_APPLICATION_DAILY.PRODUCT_SK","direct","STG_FCT_CLOS_APPLICATION_DAILY","PRODUCT_SK","Mặc định -1. Nhánh RLOS lấy STG_FCT_RLOS_APPLICATION_DAILY.PRODUCT_SK trong cùng UNION ALL của dòng WI_NAME"
"AGG_LOS_KPI_APPLICATION","ORG_UNIT_SK","false","number","","Khóa tới DIM_LOS_ORG_UNIT","STG_FCT_CLOS_APPLICATION_DAILY.ORG_UNIT_SK","direct","STG_FCT_CLOS_APPLICATION_DAILY","ORG_UNIT_SK","Mặc định -1. Nhánh RLOS lấy STG_FCT_RLOS_APPLICATION_DAILY.ORG_UNIT_SK trong cùng UNION ALL của dòng WI_NAME"
"AGG_LOS_KPI_APPLICATION","PROCESSED_DATE","true","date","","Ngày xử lý của hồ sơ — mốc để AGG_LOS_KPI_YTD_DAILY xếp hồ sơ vào đúng DAYID khi SUM/COUNT lên grain ngày","STG_FCT_CLOS_APPLICATION_DAILY.PROCESSED_DATE","direct","STG_FCT_CLOS_APPLICATION_DAILY","PROCESSED_DATE","Nhánh RLOS lấy STG_FCT_RLOS_APPLICATION_DAILY.PROCESSED_DATE trong cùng UNION ALL của dòng WI_NAME"
"AGG_LOS_KPI_APPLICATION","VOLUME","true","number(5,2)","","Mức độ hoàn thành hồ sơ, thang 0-1","CASE WHEN EXISTS (SELECT 1 FROM STG_FCT_CLOS_WORKSTEP_EVENT WHERE STG_FCT_CLOS_WORKSTEP_EVENT.WI_NAME = AGG_LOS_KPI_APPLICATION.WI_NAME AND STG_FCT_CLOS_WORKSTEP_EVENT.WORKSTEP_CODE IN ('CreditApproval','CreditCommittee') AND STG_FCT_CLOS_WORKSTEP_EVENT.DECISION_CODE IN ('Submit','Send To PostSanction','Submit To DisbursementMaker','Send To HOSupport','Reject')) THEN 1.0 WHEN EXISTS (SELECT 1 FROM STG_FCT_CLOS_WORKSTEP_EVENT WHERE STG_FCT_CLOS_WORKSTEP_EVENT.WI_NAME = AGG_LOS_KPI_APPLICATION.WI_NAME AND STG_FCT_CLOS_WORKSTEP_EVENT.WORKSTEP_CODE IN ('CreditApproval','CreditCommittee')) THEN 0.8 WHEN EXISTS (SELECT 1 FROM STG_FCT_CLOS_WORKSTEP_EVENT WHERE STG_FCT_CLOS_WORKSTEP_EVENT.WI_NAME = AGG_LOS_KPI_APPLICATION.WI_NAME AND STG_FCT_CLOS_WORKSTEP_EVENT.WORKSTEP_CODE = 'UnderwriterChecker') THEN 0.6 WHEN EXISTS (SELECT 1 FROM STG_FCT_CLOS_WORKSTEP_EVENT WHERE STG_FCT_CLOS_WORKSTEP_EVENT.WI_NAME = AGG_LOS_KPI_APPLICATION.WI_NAME AND STG_FCT_CLOS_WORKSTEP_EVENT.WORKSTEP_CODE = 'UnderwriterMaker') THEN 0.5 WHEN EXISTS (SELECT 1 FROM STG_FCT_CLOS_WORKSTEP_EVENT WHERE STG_FCT_CLOS_WORKSTEP_EVENT.WI_NAME = AGG_LOS_KPI_APPLICATION.WI_NAME AND STG_FCT_CLOS_WORKSTEP_EVENT.WORKSTEP_CODE = 'DetailDataEntry') THEN 0.2 ELSE NULL END","computed","STG_FCT_CLOS_WORKSTEP_EVENT","WORKSTEP_CODE","Nhánh RLOS dùng cùng công thức trên STG_FCT_RLOS_WORKSTEP_EVENT. Tính từ toàn bộ lịch sử hồ sơ trên bảng WORKSTEP_EVENT tương ứng hệ (không phải chỉ dòng snapshot hiện tại). Thứ tự CASE WHEN ưu tiên từ cao xuống thấp — mỗi EXISTS chỉ cần kiểm tra bước cao nhất chưa được match ở nhánh trên"
"AGG_LOS_KPI_APPLICATION","POINT","true","number(12,4)","","Điểm KPI — cam kết SLA nhập liệu tập trung + cam kết SLA phê duyệt tín dụng","CASE WHEN AGG_LOS_KPI_APPLICATION.DATASOURCE = 'RLOS' THEN NVL((SELECT REF_SLA_NLTT.SLA_DE_TOTAL_RESULT FROM REF_SLA_NLTT JOIN DIM_RLOS_PRODUCT ON DIM_RLOS_PRODUCT.DIMENSION_KEY = AGG_LOS_KPI_APPLICATION.PRODUCT_SK WHERE REF_SLA_NLTT.PRODUCT_LINE = DIM_RLOS_PRODUCT.PRODUCT_LINE_NAME AND REF_SLA_NLTT.SYSTEM_CODE = 'RLOS'),0) + NVL((SELECT DIM_RLOS_APPLICATION.SLA_CREDIT_OFFICER FROM DIM_RLOS_APPLICATION WHERE DIM_RLOS_APPLICATION.DIMENSION_KEY = AGG_LOS_KPI_APPLICATION.APPLICATION_SK),0) + NVL((SELECT DIM_RLOS_APPLICATION.SLA_CREDIT_APPROVER FROM DIM_RLOS_APPLICATION WHERE DIM_RLOS_APPLICATION.DIMENSION_KEY = AGG_LOS_KPI_APPLICATION.APPLICATION_SK),0) WHEN AGG_LOS_KPI_APPLICATION.DATASOURCE = 'CLOS' THEN NVL((SELECT REF_SLA_NLTT.SLA_DE_TOTAL_RESULT FROM REF_SLA_NLTT JOIN DIM_CLOS_PRODUCT ON DIM_CLOS_PRODUCT.DIMENSION_KEY = AGG_LOS_KPI_APPLICATION.PRODUCT_SK JOIN DIM_CLOS_APPLICATION ON DIM_CLOS_APPLICATION.DIMENSION_KEY = AGG_LOS_KPI_APPLICATION.APPLICATION_SK WHERE REF_SLA_NLTT.PRODUCT_LINE = DIM_CLOS_PRODUCT.PRODUCT_LINE_NAME AND (REF_SLA_NLTT.SUB_PRODUCT IS NULL OR REF_SLA_NLTT.SUB_PRODUCT = DIM_CLOS_PRODUCT.PRODUCT_NAME) AND REF_SLA_NLTT.NEW_CHANGE_REQUEST = DIM_CLOS_APPLICATION.CHANGE_REQUEST AND REF_SLA_NLTT.SYSTEM_CODE = 'CLOS'),0) + CASE WHEN (SELECT DIM_CLOS_APPLICATION.APP_GRP FROM DIM_CLOS_APPLICATION WHERE DIM_CLOS_APPLICATION.DIMENSION_KEY = AGG_LOS_KPI_APPLICATION.APPLICATION_SK) = 'C1' THEN 4 + 4 ELSE NVL((SELECT DIM_CLOS_APPLICATION.SLA_CREDIT_OFFICER FROM DIM_CLOS_APPLICATION WHERE DIM_CLOS_APPLICATION.DIMENSION_KEY = AGG_LOS_KPI_APPLICATION.APPLICATION_SK),0) + NVL((SELECT DIM_CLOS_APPLICATION.SLA_CREDIT_APPROVER FROM DIM_CLOS_APPLICATION WHERE DIM_CLOS_APPLICATION.DIMENSION_KEY = AGG_LOS_KPI_APPLICATION.APPLICATION_SK),0) END END","join","REF_SLA_NLTT","SLA_DE_TOTAL_RESULT","review 2026-09-21: SLA_DE_TOTAL_RESULT là report-time lookup (không denormalize vào DIM), SLA_CREDIT_OFFICER/SLA_CREDIT_APPROVER vẫn đọc từ DIM_RLOS/CLOS_APPLICATION (đã tính sẵn ở đó qua RLOS_REF_SLA_TDKHCN/CLOS_REF_SLA_TDKHDN/TDKHDNL). Hồ sơ CLOS APP_GRP='C1': SLA_CREDIT_OFFICER + SLA_CREDIT_APPROVER dùng hằng số cứng 4 giờ mỗi vai trò thay vì lookup DIM (xem 2.4.7)"
"AGG_LOS_KPI_APPLICATION","QUY_DOI","true","number(12,4)","","Điểm KPI quy đổi","CASE WHEN AGG_LOS_KPI_APPLICATION.VOLUME IS NULL THEN NULL ELSE AGG_LOS_KPI_APPLICATION.POINT * 8 / AGG_LOS_KPI_APPLICATION.VOLUME END","computed","AGG_LOS_KPI_APPLICATION","POINT","review 2026-09-17: sửa lại đúng chiều phép tính theo SRS BC9 (bản cũ ghi nhầm POINT/8*VOLUME, sai lệch 64 lần). Là đầu vào duy nhất của QUY_DOI_RLOS_DAY/QUY_DOI_CLOS_DAY ở AGG_LOS_KPI_YTD_DAILY"
"AGG_LOS_KPI_APPLICATION","TAT_APPLICATION_HOUR","true","number(18,6)","","Tổng thời gian xử lý của hồ sơ, đơn vị giờ","CASE WHEN AGG_LOS_KPI_APPLICATION.DATASOURCE = 'RLOS' THEN (SELECT SUM(get_business_minute(STG_FCT_RLOS_WORKSTEP_EVENT.ENTRYDATE, STG_FCT_RLOS_WORKSTEP_EVENT.EXITDATE))/60 FROM STG_FCT_RLOS_WORKSTEP_EVENT WHERE STG_FCT_RLOS_WORKSTEP_EVENT.WI_NAME = AGG_LOS_KPI_APPLICATION.WI_NAME AND STG_FCT_RLOS_WORKSTEP_EVENT.WORKSTEP_CODE IN ('DetailDataEntry','DataInputerChecker','UnderwriterMaker','UnderwriterChecker','CreditApproval') AND STG_FCT_RLOS_WORKSTEP_EVENT.BI_FLAG_APPROVAL = 'First Approval') WHEN AGG_LOS_KPI_APPLICATION.DATASOURCE = 'CLOS' THEN (SELECT SUM(get_business_minute(STG_FCT_CLOS_WORKSTEP_EVENT.ENTRYDATE, STG_FCT_CLOS_WORKSTEP_EVENT.EXITDATE))/60 FROM STG_FCT_CLOS_WORKSTEP_EVENT WHERE STG_FCT_CLOS_WORKSTEP_EVENT.WI_NAME = AGG_LOS_KPI_APPLICATION.WI_NAME AND STG_FCT_CLOS_WORKSTEP_EVENT.WORKSTEP_CODE IN ('DetailDataEntry','DataInputerChecker','UnderwriterMaker','UnderwriterChecker','CreditApproval','CreditCommittee') AND STG_FCT_CLOS_WORKSTEP_EVENT.BI_FLAG_APPROVAL = 'First Approval') END","computed","STG_FCT_CLOS_WORKSTEP_EVENT","BI_FLAG_APPROVAL","review 2026-09-17: bổ sung điều kiện BI_FLAG_APPROVAL='First Approval' — loại trừ thời gian vòng làm lại (rework) sau lần EXIT đầu tiên khỏi CreditApproval/CreditCommittee. Công thức khớp 100% điều kiện đã dùng tính BI_FLAG_APPROVAL cho BC5. CLOS cộng thêm CreditCommittee so với RLOS"
