"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"AGG_LOS_KPI_YTD_DAILY","DAYID","false","date","PK","PK — Driving: DIM_DATE (chạy theo từng ngày). Ngày dữ liệu","v_batch_date","direct","DIM_DATE","DAYID","Không có bảng nguồn nào có grain 1 dòng/ngày sẵn — DAYID = v_batch_date (ngày ETL đang chạy). review 2026-09-22: đổi :ETL_DATE sang v_batch_date"
"AGG_LOS_KPI_YTD_DAILY","SLHS_RLOS_DAY","true","number(12)","","Số hồ sơ RLOS được phê duyệt, phát sinh trong ngày","LEFT JOIN DIM_RLOS_APPLICATION ON DIM_RLOS_APPLICATION.DIMENSION_KEY = AGG_LOS_KPI_APPLICATION.APPLICATION_SK LEFT JOIN DIM_LOS_ORG_UNIT ON DIM_LOS_ORG_UNIT.DIMENSION_KEY = AGG_LOS_KPI_APPLICATION.ORG_UNIT_SK → COUNT(CASE WHEN AGG_LOS_KPI_APPLICATION.DATASOURCE = 'RLOS' AND AGG_LOS_KPI_APPLICATION.PROCESSED_DATE = v_batch_date AND AGG_LOS_KPI_APPLICATION.IS_TEST_ACCOUNT != 'Y' AND DIM_RLOS_APPLICATION.BI_FLOW IN ('BL','KHCN_HO') AND DIM_LOS_ORG_UNIT.COMPANY_CODE NOT IN ('VN0010401','VN0010101','VN0010002') THEN AGG_LOS_KPI_APPLICATION.WI_NAME END)","join","AGG_LOS_KPI_APPLICATION","WI_NAME","Trường SLHS_RLOS của BC9 (số ngày). Nhóm 1/Nhóm 2 của SRS bù trừ hoàn toàn nên không cần tách theo SUB_PRODUCT/PRODUCT_NAME. review 2026-09-22: viết lại đủ mệnh đề LEFT JOIN + COUNT(CASE WHEN...) thay vì mô tả điều kiện bằng lời, đổi :ETL_DATE sang v_batch_date"
"AGG_LOS_KPI_YTD_DAILY","SLHS_RLOS","true","number(14)","","Lũy kế từ 1/1","LEFT JOIN AGG_LOS_KPI_YTD_DAILY LOOP_KPI_YTD_DAILY ON LOOP_KPI_YTD_DAILY.DAYID = AGG_LOS_KPI_YTD_DAILY.DAYID - 1 → NVL(LOOP_KPI_YTD_DAILY.SLHS_RLOS, 0) + AGG_LOS_KPI_YTD_DAILY.SLHS_RLOS_DAY, reset về 0 khi AGG_LOS_KPI_YTD_DAILY.DAYID = ngày 1/1 của năm đó (bỏ qua LOOP_KPI_YTD_DAILY)","join","AGG_LOS_KPI_YTD_DAILY","SLHS_RLOS_DAY","Trường SLHS_RLOS của BC9. Self-reference D-1 trên chính bảng này qua alias LOOP_KPI_YTD_DAILY. review 2026-09-22: sửa etl_logic_type computed→join (đây là self LEFT JOIN thật), viết rõ alias đầy đủ và điều kiện reset 1/1"
"AGG_LOS_KPI_YTD_DAILY","SLGN_RLOS_DAY","true","number(12)","","Số hồ sơ RLOS đã giải ngân (tồn tại hợp đồng trên STG_FCT_LOAN), phát sinh trong ngày","LEFT JOIN DIM_RLOS_APPLICATION ON DIM_RLOS_APPLICATION.DIMENSION_KEY = AGG_LOS_KPI_APPLICATION.APPLICATION_SK LEFT JOIN DIM_LOS_ORG_UNIT ON DIM_LOS_ORG_UNIT.DIMENSION_KEY = AGG_LOS_KPI_APPLICATION.ORG_UNIT_SK → COUNT(CASE WHEN AGG_LOS_KPI_APPLICATION.DATASOURCE = 'RLOS' AND AGG_LOS_KPI_APPLICATION.PROCESSED_DATE = v_batch_date AND AGG_LOS_KPI_APPLICATION.IS_TEST_ACCOUNT != 'Y' AND DIM_RLOS_APPLICATION.BI_FLOW IN ('BL','KHCN_HO') AND DIM_LOS_ORG_UNIT.COMPANY_CODE NOT IN ('VN0010401','VN0010101','VN0010002') AND EXISTS (SELECT 1 FROM STG_FCT_LOAN WHERE STG_FCT_LOAN.SEAB_LOS_ID = AGG_LOS_KPI_APPLICATION.WI_NAME) THEN AGG_LOS_KPI_APPLICATION.WI_NAME END)","join","STG_FCT_LOAN","SEAB_LOS_ID","Trường SLGN_RLOS của BC9. Cùng 2 điều kiện join như SLHS_RLOS_DAY. review 2026-09-22: viết lại đủ mệnh đề LEFT JOIN + COUNT(CASE WHEN...), đổi :ETL_DATE sang v_batch_date"
"AGG_LOS_KPI_YTD_DAILY","SLGN_RLOS","true","number(14)","","Lũy kế từ 1/1","LEFT JOIN AGG_LOS_KPI_YTD_DAILY LOOP_KPI_YTD_DAILY ON LOOP_KPI_YTD_DAILY.DAYID = AGG_LOS_KPI_YTD_DAILY.DAYID - 1 → NVL(LOOP_KPI_YTD_DAILY.SLGN_RLOS, 0) + AGG_LOS_KPI_YTD_DAILY.SLGN_RLOS_DAY, reset về 0 khi AGG_LOS_KPI_YTD_DAILY.DAYID = ngày 1/1 của năm đó","join","AGG_LOS_KPI_YTD_DAILY","SLGN_RLOS_DAY","Trường SLGN_RLOS của BC9. review 2026-09-22: sửa etl_logic_type computed→join, viết rõ alias self-reference"
"AGG_LOS_KPI_YTD_DAILY","SLHS_CLOS_DAY","true","number(12)","","Số hồ sơ CLOS được phê duyệt, phát sinh trong ngày","LEFT JOIN DIM_CLOS_APPLICATION ON DIM_CLOS_APPLICATION.DIMENSION_KEY = AGG_LOS_KPI_APPLICATION.APPLICATION_SK → COUNT(CASE WHEN AGG_LOS_KPI_APPLICATION.DATASOURCE = 'CLOS' AND AGG_LOS_KPI_APPLICATION.PROCESSED_DATE = v_batch_date AND AGG_LOS_KPI_APPLICATION.IS_TEST_ACCOUNT != 'Y' AND AGG_LOS_KPI_APPLICATION.VAR_STR12 IS NOT NULL AND DIM_CLOS_APPLICATION.STREAM = 'Phê duyệt tín dụng' THEN AGG_LOS_KPI_APPLICATION.WI_NAME END)","join","AGG_LOS_KPI_APPLICATION","VAR_STR12","Trường SLHS_CLOS của BC9. STREAM là điều kiện tương đương BI_FLOW của RLOS, riêng cho CLOS. review 2026-09-22: viết lại đủ mệnh đề LEFT JOIN + COUNT(CASE WHEN...), đổi :ETL_DATE sang v_batch_date, bổ sung prefix table.column"
"AGG_LOS_KPI_YTD_DAILY","SLHS_CLOS","true","number(14)","","Lũy kế từ 1/1","LEFT JOIN AGG_LOS_KPI_YTD_DAILY LOOP_KPI_YTD_DAILY ON LOOP_KPI_YTD_DAILY.DAYID = AGG_LOS_KPI_YTD_DAILY.DAYID - 1 → NVL(LOOP_KPI_YTD_DAILY.SLHS_CLOS, 0) + AGG_LOS_KPI_YTD_DAILY.SLHS_CLOS_DAY, reset về 0 khi AGG_LOS_KPI_YTD_DAILY.DAYID = ngày 1/1 của năm đó","join","AGG_LOS_KPI_YTD_DAILY","SLHS_CLOS_DAY","Trường SLHS_CLOS của BC9. review 2026-09-22: sửa etl_logic_type computed→join, viết rõ alias self-reference"
"AGG_LOS_KPI_YTD_DAILY","SLGN_CLOS_DAY","true","number(12)","","Số hồ sơ CLOS đã giải ngân, phát sinh trong ngày","LEFT JOIN DIM_CLOS_APPLICATION ON DIM_CLOS_APPLICATION.DIMENSION_KEY = AGG_LOS_KPI_APPLICATION.APPLICATION_SK → COUNT(CASE WHEN AGG_LOS_KPI_APPLICATION.DATASOURCE = 'CLOS' AND AGG_LOS_KPI_APPLICATION.PROCESSED_DATE = v_batch_date AND AGG_LOS_KPI_APPLICATION.IS_TEST_ACCOUNT != 'Y' AND AGG_LOS_KPI_APPLICATION.VAR_STR12 IS NOT NULL AND DIM_CLOS_APPLICATION.STREAM = 'Phê duyệt tín dụng' AND (EXISTS (SELECT 1 FROM STG_FCT_LOAN LOOP_FCT_LOAN_LD WHERE LOOP_FCT_LOAN_LD.SEAB_LOS_ID = AGG_LOS_KPI_APPLICATION.WI_NAME) OR EXISTS (SELECT 1 FROM STG_DTM.STG_FCT_MD LOOP_FCT_MD WHERE LOOP_FCT_MD.SEAB_LOS_ID = AGG_LOS_KPI_APPLICATION.WI_NAME)) THEN AGG_LOS_KPI_APPLICATION.WI_NAME END)","join","STG_FCT_LOAN","CONTRACT","Trường SLGN_CLOS của BC9. review 2026-09-21: nhánh LD dùng LISTAGG(CONTRACT) nhóm theo WFINSTRUMENTTABLE.VAR_STR12 khi đối soát chi tiết hợp đồng — ở mức COUNT hồ sơ như cột này chỉ cần EXISTS theo SEAB_LOS_ID (đếm HỒ SƠ, 1 hồ sơ=1 khách hàng T24, không đếm số lượng hợp đồng), khóa JOIN SEAB_LOS_ID+CUSTOMER_CODE không đổi. review 2026-09-22: viết lại đủ mệnh đề LEFT JOIN/EXISTS + COUNT(CASE WHEN...), đổi :ETL_DATE sang v_batch_date, alias đầy đủ cho 2 subquery EXISTS"
"AGG_LOS_KPI_YTD_DAILY","SLGN_CLOS","true","number(14)","","Lũy kế từ 1/1","LEFT JOIN AGG_LOS_KPI_YTD_DAILY LOOP_KPI_YTD_DAILY ON LOOP_KPI_YTD_DAILY.DAYID = AGG_LOS_KPI_YTD_DAILY.DAYID - 1 → NVL(LOOP_KPI_YTD_DAILY.SLGN_CLOS, 0) + AGG_LOS_KPI_YTD_DAILY.SLGN_CLOS_DAY, reset về 0 khi AGG_LOS_KPI_YTD_DAILY.DAYID = ngày 1/1 của năm đó","join","AGG_LOS_KPI_YTD_DAILY","SLGN_CLOS_DAY","Trường SLGN_CLOS của BC9. review 2026-09-22: sửa etl_logic_type computed→join, viết rõ alias self-reference"
"AGG_LOS_KPI_YTD_DAILY","TAT_RLOS_SEC_SUM_HOUR_DAY","true","number(18,6)","","Tổng TAT_APPLICATION_HOUR của hồ sơ RLOS CÓ tài sản bảo đảm, phát sinh trong ngày","LEFT JOIN DIM_RLOS_APPLICATION ON DIM_RLOS_APPLICATION.DIMENSION_KEY = AGG_LOS_KPI_APPLICATION.APPLICATION_SK → SUM(CASE WHEN AGG_LOS_KPI_APPLICATION.DATASOURCE = 'RLOS' AND AGG_LOS_KPI_APPLICATION.PROCESSED_DATE = v_batch_date AND AGG_LOS_KPI_APPLICATION.IS_TEST_ACCOUNT != 'Y' AND DIM_RLOS_APPLICATION.COLL_REQUIRE = 'YES' THEN AGG_LOS_KPI_APPLICATION.TAT_APPLICATION_HOUR END)","join","AGG_LOS_KPI_APPLICATION","TAT_APPLICATION_HOUR","Tử số của TAT_RLOS_SEC (phái sinh ở report), lọc SEC theo COLL_REQUIRE trên DIM_RLOS_APPLICATION (tên cột thật COLL_REQUIRE, không phải COLLREQUIRE). review 2026-09-22: viết lại đủ mệnh đề LEFT JOIN + SUM(CASE WHEN...), đổi :ETL_DATE sang v_batch_date, sửa tên cột đúng COLL_REQUIRE"
