"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_CLOS_APPLICATION","DIMENSION_KEY","false","number","PK","PK — Driving: STG_DIM_CLOS_APPLICATION","STG_DIM_CLOS_APPLICATION.DIMENSION_KEY","direct","STG_DIM_CLOS_APPLICATION","DIMENSION_KEY","Giữ nguyên giá trị từ SB_DWH qua vùng chìa STG_DTM, không sinh sequence mới"
"DIM_CLOS_APPLICATION","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'CLOS'","STG_DIM_CLOS_APPLICATION.DATASOURCE","direct","STG_DIM_CLOS_APPLICATION","DATASOURCE",""
"DIM_CLOS_APPLICATION","APPLICATION_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng","STG_DIM_CLOS_APPLICATION.APPLICATION_SK","direct","STG_DIM_CLOS_APPLICATION","APPLICATION_SK",""
"DIM_CLOS_APPLICATION","WI_NAME","false","string(100)","NK","Business key — mã hồ sơ tín dụng CLOS","STG_DIM_CLOS_APPLICATION.WI_NAME","direct","STG_DIM_CLOS_APPLICATION","WI_NAME",""
"DIM_CLOS_APPLICATION","LOANCASEID","true","string(100)","","Mã khoản vay gắn với hồ sơ","STG_DIM_CLOS_APPLICATION.LOANCASEID","direct","STG_DIM_CLOS_APPLICATION","LOANCASEID",""
"DIM_CLOS_APPLICATION","FIRST_APPROVED_WI_NAME","true","string(100)","","Mã hồ sơ cha (BC11.APPROVAL_WINAME_LOS)","STG_DIM_CLOS_APPLICATION.FIRST_APPROVED_WI_NAME","direct","STG_DIM_CLOS_APPLICATION","FIRST_APPROVED_WI_NAME",""
"DIM_CLOS_APPLICATION","FIRST_APPROVED_DATE","true","date","","Ngày phê duyệt (BC11.APPROVAL_DATE)","STG_DIM_CLOS_APPLICATION.FIRST_APPROVED_DATE","direct","STG_DIM_CLOS_APPLICATION","FIRST_APPROVED_DATE",""
"DIM_CLOS_APPLICATION","STREAM","true","string(200)","","Luồng nghiệp vụ của hồ sơ","STG_DIM_CLOS_APPLICATION.STREAM","direct","STG_DIM_CLOS_APPLICATION","STREAM",""
"DIM_CLOS_APPLICATION","APPROVAL_TYPE","true","string(200)","","Loại luồng phê duyệt","STG_DIM_CLOS_APPLICATION.APPROVAL_TYPE","direct","STG_DIM_CLOS_APPLICATION","APPROVAL_TYPE",""
"DIM_CLOS_APPLICATION","CHANGE_REQUEST","true","string(200)","","Yêu cầu điều chỉnh hồ sơ","STG_DIM_CLOS_APPLICATION.CHANGE_REQUEST","direct","STG_DIM_CLOS_APPLICATION","CHANGE_REQUEST",""
"DIM_CLOS_APPLICATION","CHANGE_TYPE","true","string(500)","","Loại thay đổi điều kiện phê duyệt (BC2)","STG_DIM_CLOS_APPLICATION.CHANGE_TYPE","direct","STG_DIM_CLOS_APPLICATION","CHANGE_TYPE",""
"DIM_CLOS_APPLICATION","CREDIT_PROFILE","true","string(50)","","Cấp tín dụng của hồ sơ (TVTD/CTD)","STG_DIM_CLOS_APPLICATION.CREDIT_PROFILE","direct","STG_DIM_CLOS_APPLICATION","CREDIT_PROFILE",""
"DIM_CLOS_APPLICATION","CUST_GROUP","true","string(100)","","Nhóm khách hàng","STG_DIM_CLOS_APPLICATION.CUST_GROUP","direct","STG_DIM_CLOS_APPLICATION","CUST_GROUP",""
"DIM_CLOS_APPLICATION","INDUSTRY_LVL1_CODE","true","string(200)","","Mã ngành cấp 1","STG_DIM_CLOS_APPLICATION.INDUSTRY_LVL1_CODE","direct","STG_DIM_CLOS_APPLICATION","INDUSTRY_LVL1_CODE",""
"DIM_CLOS_APPLICATION","INDUSTRY_LVL2_CODE","true","string(200)","","Mã ngành cấp 2","STG_DIM_CLOS_APPLICATION.INDUSTRY_LVL2_CODE","direct","STG_DIM_CLOS_APPLICATION","INDUSTRY_LVL2_CODE",""
"DIM_CLOS_APPLICATION","INDUSTRY_LVL3_CODE","true","string(200)","","Mã ngành cấp 3","STG_DIM_CLOS_APPLICATION.INDUSTRY_LVL3_CODE","direct","STG_DIM_CLOS_APPLICATION","INDUSTRY_LVL3_CODE",""
"DIM_CLOS_APPLICATION","EMPLOYEE_CODE","true","string(50)","","Mã cán bộ quản lý hồ sơ","STG_DIM_CLOS_APPLICATION.EMPLOYEE_CODE","direct","STG_DIM_CLOS_APPLICATION","EMPLOYEE_CODE",""
"DIM_CLOS_APPLICATION","EMPLOYEE_NAME","true","string(200)","","Tên cán bộ quản lý hồ sơ","STG_DIM_CLOS_APPLICATION.EMPLOYEE_NAME","direct","STG_DIM_CLOS_APPLICATION","EMPLOYEE_NAME",""
"DIM_CLOS_APPLICATION","CREATION_DATE","true","date","","Ngày khởi tạo hồ sơ","STG_DIM_CLOS_APPLICATION.CREATION_DATE","direct","STG_DIM_CLOS_APPLICATION","CREATION_DATE",""
"DIM_CLOS_APPLICATION","APP_GRP","true","string(50)","","Cấp thẩm quyền phê duyệt của hồ sơ","STG_DIM_CLOS_APPLICATION.APP_GRP","direct","STG_DIM_CLOS_APPLICATION","APP_GRP",""
"DIM_CLOS_APPLICATION","HAVE_ANY_DEVIATION","true","string(10)","","Hồ sơ có ngoại lệ/độ lệch so với chính sách chuẩn hay không","STG_DIM_CLOS_APPLICATION.HAVE_ANY_DEVIATION","direct","STG_DIM_CLOS_APPLICATION","HAVE_ANY_DEVIATION",""
"DIM_CLOS_APPLICATION","CREDIT_LIMIT_COMMITTEE","true","number(20,2)","","Hạn mức do hội đồng phê duyệt (BC3.CREDIT_LIMIT)","STG_DIM_CLOS_APPLICATION.CREDIT_LIMIT_COMMITTEE","direct","STG_DIM_CLOS_APPLICATION","CREDIT_LIMIT_COMMITTEE",""
"DIM_CLOS_APPLICATION","CURRENCY_CODE","true","string(10)","","Loại tiền (BC3.CURRENCY)","STG_DIM_CLOS_APPLICATION.CURRENCY_CODE","direct","STG_DIM_CLOS_APPLICATION","CURRENCY_CODE",""
"DIM_CLOS_APPLICATION","APPROVED_TERM","true","number(5)","","Kỳ hạn phê duyệt (BC3.CREDIT_TERM)","STG_DIM_CLOS_APPLICATION.APPROVED_TERM","direct","STG_DIM_CLOS_APPLICATION","APPROVED_TERM",""
"DIM_CLOS_APPLICATION","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","STG_DIM_CLOS_APPLICATION.EFF_DATE","direct","STG_DIM_CLOS_APPLICATION","EFF_DATE",""
"DIM_CLOS_APPLICATION","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","STG_DIM_CLOS_APPLICATION.EXP_DATE","direct","STG_DIM_CLOS_APPLICATION","EXP_DATE",""
"DIM_CLOS_APPLICATION","BI_FLOW","true","string(50)","","Luồng nghiệp vụ chuẩn hóa để hiển thị trên báo cáo","CASE WHEN STG_DIM_CLOS_APPLICATION.CUST_GROUP IN ('MSME','SME','USME') THEN 'PDTD_KHDN' WHEN STG_DIM_CLOS_APPLICATION.CUST_GROUP IN ('NBFI','JSC','FDI','BANK','STR','SOC') THEN 'PDTD_KHDNL' ELSE NULL END","computed","STG_DIM_CLOS_APPLICATION","CUST_GROUP","Nguyên văn SRS BC2 (table 8, hàng BI_FLOW) — không qua bảng REF_ nào, khác cách RLOS lookup REF_RLOS_FLOW"
"DIM_CLOS_APPLICATION","REF_PRODUCT","true","string(200)","","Nhóm sản phẩm dùng để tra cam kết SLA (BC5)","JOIN STG_FCT_CLOS_APPLICATION_DAILY ON STG_FCT_CLOS_APPLICATION_DAILY.APPLICATION_SK = STG_DIM_CLOS_APPLICATION.APPLICATION_SK → JOIN STG_DIM_CLOS_PRODUCT ON STG_DIM_CLOS_PRODUCT.PRODUCT_SK = STG_FCT_CLOS_APPLICATION_DAILY.PRODUCT_SK → LEFT JOIN CLOS_REF_SLA_TDKHDNL ON CLOS_REF_SLA_TDKHDNL.PRODUCT_LINE = STG_DIM_CLOS_PRODUCT.PRODUCT_LINE_NAME AND CLOS_REF_SLA_TDKHDNL.SUB_PRODUCT = STG_DIM_CLOS_PRODUCT.PRODUCT_NAME AND CLOS_REF_SLA_TDKHDNL.HAVE_ANY_DEVIATION = STG_DIM_CLOS_APPLICATION.HAVE_ANY_DEVIATION AND CLOS_REF_SLA_TDKHDNL.FLAG_APP_GRP = CASE WHEN STG_DIM_CLOS_APPLICATION.APP_GRP IN ('A1','A2','B1','B2') THEN 'CGPD' WHEN STG_DIM_CLOS_APPLICATION.APP_GRP IN ('BOD','CC','SCC','RCC') THEN 'HDTD' END AND STG_DIM_CLOS_APPLICATION.CUST_GROUP IN ('NBFI','JSC','FDI','BANK','STR','SOC') → LEFT JOIN CLOS_REF_SLA_TDKHDN ON CLOS_REF_SLA_TDKHDN.PRODUCT_LINE = STG_DIM_CLOS_PRODUCT.PRODUCT_LINE_NAME AND CLOS_REF_SLA_TDKHDN.SUB_PRODUCT = STG_DIM_CLOS_PRODUCT.PRODUCT_NAME AND CLOS_REF_SLA_TDKHDN.HAVE_ANY_DEVIATION = STG_DIM_CLOS_APPLICATION.HAVE_ANY_DEVIATION AND CLOS_REF_SLA_TDKHDN.FLAG_APP_GRP = CASE WHEN STG_DIM_CLOS_APPLICATION.APP_GRP IN ('A1','A2','B1','B2') THEN 'CGPD' WHEN STG_DIM_CLOS_APPLICATION.APP_GRP IN ('BOD','CC','SCC','RCC') THEN 'HDTD' END AND STG_DIM_CLOS_APPLICATION.CUST_GROUP IN ('MSME','SME','USME','C1') → COALESCE(CLOS_REF_SLA_TDKHDNL.REF_PRODUCT, CLOS_REF_SLA_TDKHDN.REF_PRODUCT)","join","CLOS_REF_SLA_TDKHDN","REF_PRODUCT","2 LEFT JOIN riêng biệt (không phải 1 JOIN chọn bảng động bằng CASE — CASE không thể trả về tên bảng): mỗi bảng tự mang điều kiện CUST_GROUP trong ON nên tại 1 thời điểm chỉ tối đa 1 trong 2 JOIN khớp được dòng, JOIN còn lại luôn NULL — COALESCE lấy đúng bảng đã khớp. APP_GRP='C1' xếp vào nhánh CLOS_REF_SLA_TDKHDN (theo CUST_GROUP MSME/SME/USME của C1, xem HLD 2.2.1.1/Section 3 #13 — REF_PRODUCT vẫn lookup bình thường cho C1). PRODUCT_LINE_NAME/PRODUCT_NAME lấy gián tiếp qua STG_FCT_CLOS_APPLICATION_DAILY.PRODUCT_SK → STG_DIM_CLOS_PRODUCT (DIM_CLOS_APPLICATION không có PRODUCT_SK trực tiếp)"
"DIM_CLOS_APPLICATION","SLA_CREDIT_OFFICER","true","number(10,2)","","Cam kết giờ cho chuyên viên tín dụng","JOIN STG_FCT_CLOS_APPLICATION_DAILY ON STG_FCT_CLOS_APPLICATION_DAILY.APPLICATION_SK = STG_DIM_CLOS_APPLICATION.APPLICATION_SK → JOIN STG_DIM_CLOS_PRODUCT ON STG_DIM_CLOS_PRODUCT.PRODUCT_SK = STG_FCT_CLOS_APPLICATION_DAILY.PRODUCT_SK → LEFT JOIN CLOS_REF_SLA_TDKHDNL ON CLOS_REF_SLA_TDKHDNL.PRODUCT_LINE = STG_DIM_CLOS_PRODUCT.PRODUCT_LINE_NAME AND CLOS_REF_SLA_TDKHDNL.SUB_PRODUCT = STG_DIM_CLOS_PRODUCT.PRODUCT_NAME AND CLOS_REF_SLA_TDKHDNL.HAVE_ANY_DEVIATION = STG_DIM_CLOS_APPLICATION.HAVE_ANY_DEVIATION AND CLOS_REF_SLA_TDKHDNL.FLAG_APP_GRP = CASE WHEN STG_DIM_CLOS_APPLICATION.APP_GRP IN ('A1','A2','B1','B2') THEN 'CGPD' WHEN STG_DIM_CLOS_APPLICATION.APP_GRP IN ('BOD','CC','SCC','RCC') THEN 'HDTD' END AND STG_DIM_CLOS_APPLICATION.CUST_GROUP IN ('NBFI','JSC','FDI','BANK','STR','SOC') → LEFT JOIN CLOS_REF_SLA_TDKHDN ON CLOS_REF_SLA_TDKHDN.PRODUCT_LINE = STG_DIM_CLOS_PRODUCT.PRODUCT_LINE_NAME AND CLOS_REF_SLA_TDKHDN.SUB_PRODUCT = STG_DIM_CLOS_PRODUCT.PRODUCT_NAME AND CLOS_REF_SLA_TDKHDN.HAVE_ANY_DEVIATION = STG_DIM_CLOS_APPLICATION.HAVE_ANY_DEVIATION AND CLOS_REF_SLA_TDKHDN.FLAG_APP_GRP = CASE WHEN STG_DIM_CLOS_APPLICATION.APP_GRP IN ('A1','A2','B1','B2') THEN 'CGPD' WHEN STG_DIM_CLOS_APPLICATION.APP_GRP IN ('BOD','CC','SCC','RCC') THEN 'HDTD' END AND STG_DIM_CLOS_APPLICATION.CUST_GROUP IN ('MSME','SME','USME') → CASE WHEN STG_DIM_CLOS_APPLICATION.APP_GRP = 'C1' THEN 4 ELSE COALESCE(CLOS_REF_SLA_TDKHDNL.SLA_CREDIT_OFFICER, CLOS_REF_SLA_TDKHDN.SLA_CREDIT_OFFICER) END","join","CLOS_REF_SLA_TDKHDN","SLA_CREDIT_OFFICER","2 LEFT JOIN riêng biệt như cột REF_PRODUCT, nhưng APP_GRP='C1' KHÔNG nằm trong điều kiện CUST_GROUP của JOIN nào ở đây (khác REF_PRODUCT) — cả 2 JOIN đều NULL cho hồ sơ C1, CASE ngoài cùng override bằng hằng số cứng 4 giờ"
"DIM_CLOS_APPLICATION","SLA_MARKER","true","number(10,2)","","Cam kết giờ cho bước lập hồ sơ thẩm định","JOIN STG_FCT_CLOS_APPLICATION_DAILY ON STG_FCT_CLOS_APPLICATION_DAILY.APPLICATION_SK = STG_DIM_CLOS_APPLICATION.APPLICATION_SK → JOIN STG_DIM_CLOS_PRODUCT ON STG_DIM_CLOS_PRODUCT.PRODUCT_SK = STG_FCT_CLOS_APPLICATION_DAILY.PRODUCT_SK → LEFT JOIN CLOS_REF_SLA_TDKHDNL ON CLOS_REF_SLA_TDKHDNL.PRODUCT_LINE = STG_DIM_CLOS_PRODUCT.PRODUCT_LINE_NAME AND CLOS_REF_SLA_TDKHDNL.SUB_PRODUCT = STG_DIM_CLOS_PRODUCT.PRODUCT_NAME AND CLOS_REF_SLA_TDKHDNL.HAVE_ANY_DEVIATION = STG_DIM_CLOS_APPLICATION.HAVE_ANY_DEVIATION AND CLOS_REF_SLA_TDKHDNL.FLAG_APP_GRP = CASE WHEN STG_DIM_CLOS_APPLICATION.APP_GRP IN ('A1','A2','B1','B2') THEN 'CGPD' WHEN STG_DIM_CLOS_APPLICATION.APP_GRP IN ('BOD','CC','SCC','RCC') THEN 'HDTD' END AND STG_DIM_CLOS_APPLICATION.CUST_GROUP IN ('NBFI','JSC','FDI','BANK','STR','SOC') → LEFT JOIN CLOS_REF_SLA_TDKHDN ON CLOS_REF_SLA_TDKHDN.PRODUCT_LINE = STG_DIM_CLOS_PRODUCT.PRODUCT_LINE_NAME AND CLOS_REF_SLA_TDKHDN.SUB_PRODUCT = STG_DIM_CLOS_PRODUCT.PRODUCT_NAME AND CLOS_REF_SLA_TDKHDN.HAVE_ANY_DEVIATION = STG_DIM_CLOS_APPLICATION.HAVE_ANY_DEVIATION AND CLOS_REF_SLA_TDKHDN.FLAG_APP_GRP = CASE WHEN STG_DIM_CLOS_APPLICATION.APP_GRP IN ('A1','A2','B1','B2') THEN 'CGPD' WHEN STG_DIM_CLOS_APPLICATION.APP_GRP IN ('BOD','CC','SCC','RCC') THEN 'HDTD' END AND STG_DIM_CLOS_APPLICATION.CUST_GROUP IN ('MSME','SME','USME') → CASE WHEN STG_DIM_CLOS_APPLICATION.APP_GRP = 'C1' THEN 4 ELSE COALESCE(CLOS_REF_SLA_TDKHDNL.SLA_MARKER, CLOS_REF_SLA_TDKHDN.SLA_MARKER) END","join","CLOS_REF_SLA_TDKHDN","SLA_MARKER","2 LEFT JOIN riêng biệt như cột REF_PRODUCT, nhưng APP_GRP='C1' KHÔNG nằm trong điều kiện CUST_GROUP của JOIN nào ở đây (khác REF_PRODUCT) — cả 2 JOIN đều NULL cho hồ sơ C1, CASE ngoài cùng override bằng hằng số cứng 4 giờ"
