"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_CLOS_CUSTOMER","DIMENSION_KEY","false","number","PK","PK — Driving: STG_DIM_CLOS_CUSTOMER","STG_DIM_CLOS_CUSTOMER.DIMENSION_KEY","direct","STG_DIM_CLOS_CUSTOMER","DIMENSION_KEY","Giữ nguyên giá trị từ SB_DWH qua vùng chìa STG_DTM"
"DIM_CLOS_CUSTOMER","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'CLOS'","STG_DIM_CLOS_CUSTOMER.DATASOURCE","direct","STG_DIM_CLOS_CUSTOMER","DATASOURCE",""
"DIM_CLOS_CUSTOMER","CUSTOMER_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng","STG_DIM_CLOS_CUSTOMER.CUSTOMER_SK","direct","STG_DIM_CLOS_CUSTOMER","CUSTOMER_SK",""
"DIM_CLOS_CUSTOMER","WI_NAME","false","string(100)","NK","Business key — mã hồ sơ CLOS","STG_DIM_CLOS_CUSTOMER.WI_NAME","direct","STG_DIM_CLOS_CUSTOMER","WI_NAME",""
"DIM_CLOS_CUSTOMER","FULL_NAME","true","string(200)","","Tên doanh nghiệp khách hàng","STG_DIM_CLOS_CUSTOMER.FULL_NAME","direct","STG_DIM_CLOS_CUSTOMER","FULL_NAME",""
"DIM_CLOS_CUSTOMER","ZONE","true","string(200)","","Khu vực/vùng quản lý tự khai theo hồ sơ","STG_DIM_CLOS_CUSTOMER.ZONE","direct","STG_DIM_CLOS_CUSTOMER","ZONE",""
"DIM_CLOS_CUSTOMER","APP_DATE","true","date","","Ngày khởi tạo/nộp hồ sơ","STG_DIM_CLOS_CUSTOMER.APP_DATE","direct","STG_DIM_CLOS_CUSTOMER","APP_DATE",""
"DIM_CLOS_CUSTOMER","LOAN_PURPOSE","true","string(200)","","Mục đích vay","STG_DIM_CLOS_CUSTOMER.LOAN_PURPOSE","direct","STG_DIM_CLOS_CUSTOMER","LOAN_PURPOSE",""
"DIM_CLOS_CUSTOMER","CUST_CATEGORY","true","string(200)","","Phân loại khách hàng","STG_DIM_CLOS_CUSTOMER.CUST_CATEGORY","direct","STG_DIM_CLOS_CUSTOMER","CUST_CATEGORY",""
"DIM_CLOS_CUSTOMER","PRECUSTGROUP","true","string(100)","","Phân khúc khách hàng trước xử lý","STG_DIM_CLOS_CUSTOMER.PRECUSTGROUP","direct","STG_DIM_CLOS_CUSTOMER","PRECUSTGROUP",""
"DIM_CLOS_CUSTOMER","LG_REQ","true","string(10)","","Cờ yêu cầu bảo lãnh","STG_DIM_CLOS_CUSTOMER.LG_REQ","direct","STG_DIM_CLOS_CUSTOMER","LG_REQ",""
"DIM_CLOS_CUSTOMER","FI_REQ","true","string(10)","","Cờ yêu cầu (tương tự LG_REQ)","STG_DIM_CLOS_CUSTOMER.FI_REQ","direct","STG_DIM_CLOS_CUSTOMER","FI_REQ",""
"DIM_CLOS_CUSTOMER","PHONE_REQ","true","string(10)","","Cờ yêu cầu xác minh điện thoại","STG_DIM_CLOS_CUSTOMER.PHONE_REQ","direct","STG_DIM_CLOS_CUSTOMER","PHONE_REQ",""
"DIM_CLOS_CUSTOMER","EMAIL","true","string(200)","","Email liên hệ của khách hàng/hồ sơ","STG_DIM_CLOS_CUSTOMER.EMAIL","direct","STG_DIM_CLOS_CUSTOMER","EMAIL",""
"DIM_CLOS_CUSTOMER","DISTANCE_BRANCH_CUSTOMER","true","string(100)","","Dải khoảng cách từ khách hàng đến chi nhánh xử lý","STG_DIM_CLOS_CUSTOMER.DISTANCE_BRANCH_CUSTOMER","direct","STG_DIM_CLOS_CUSTOMER","DISTANCE_BRANCH_CUSTOMER",""
"DIM_CLOS_CUSTOMER","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","STG_DIM_CLOS_CUSTOMER.EFF_DATE","direct","STG_DIM_CLOS_CUSTOMER","EFF_DATE",""
"DIM_CLOS_CUSTOMER","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","STG_DIM_CLOS_CUSTOMER.EXP_DATE","direct","STG_DIM_CLOS_CUSTOMER","EXP_DATE",""
"DIM_CLOS_CUSTOMER","ORG_LEGAL_ID","true","string(100)","","Số giấy tờ pháp lý của chính khách hàng vay (lưu dư thừa để tiện tra cứu)","LEFT JOIN DIM_CLOS_LEGAL_PARTY ON WI_NAME=<current>.WI_NAME AND LEGAL_TYPE='CUSTOMER' → DIM_CLOS_LEGAL_PARTY.ID_NUMBER","join","DIM_CLOS_LEGAL_PARTY","ID_NUMBER","review 2026-09-21. Join an toàn không fan-out — LEGAL_TYPE='CUSTOMER' luôn đúng 1 dòng/hồ sơ trên NG_SB_CLOS_CUST_INFO_LEGAL"
