"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_CLOS_EXCEPTION_REASON","DIMENSION_KEY","false","number","PK","PK — Driving: STG_DIM_CLOS_EXCEPTION_REASON","STG_DIM_CLOS_EXCEPTION_REASON.DIMENSION_KEY","direct","STG_DIM_CLOS_EXCEPTION_REASON","DIMENSION_KEY","Giữ nguyên giá trị từ SB_DWH qua vùng chìa STG_DTM, không sinh sequence mới"
"DIM_CLOS_EXCEPTION_REASON","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'CLOS'","STG_DIM_CLOS_EXCEPTION_REASON.DATASOURCE","direct","STG_DIM_CLOS_EXCEPTION_REASON","DATASOURCE",""
"DIM_CLOS_EXCEPTION_REASON","EXCEPTION_REASON_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng","STG_DIM_CLOS_EXCEPTION_REASON.EXCEPTION_REASON_SK","direct","STG_DIM_CLOS_EXCEPTION_REASON","EXCEPTION_REASON_SK",""
"DIM_CLOS_EXCEPTION_REASON","ACTIVITYNAME","false","string(200)","NK","Business key — tên bước phát sinh nội dung cần làm rõ","STG_DIM_CLOS_EXCEPTION_REASON.ACTIVITYNAME","direct","STG_DIM_CLOS_EXCEPTION_REASON","ACTIVITYNAME",""
"DIM_CLOS_EXCEPTION_REASON","DECISION_CODE","false","string(200)","NK","Business key — mã quyết định tại bước xử lý","STG_DIM_CLOS_EXCEPTION_REASON.DECISION_CODE","direct","STG_DIM_CLOS_EXCEPTION_REASON","DECISION_CODE",""
"DIM_CLOS_EXCEPTION_REASON","EXCEPTION_CATEGORY","false","string(500)","NK","Business key — phân nhóm nội dung cần làm rõ","STG_DIM_CLOS_EXCEPTION_REASON.EXCEPTION_CATEGORY","direct","STG_DIM_CLOS_EXCEPTION_REASON","EXCEPTION_CATEGORY",""
"DIM_CLOS_EXCEPTION_REASON","EXCEPTION_NAME","false","string(500)","NK","Business key — tên nội dung cần làm rõ","STG_DIM_CLOS_EXCEPTION_REASON.EXCEPTION_NAME","direct","STG_DIM_CLOS_EXCEPTION_REASON","EXCEPTION_NAME",""
"DIM_CLOS_EXCEPTION_REASON","EXCEPTION_CODE","true","string(50)","","Mã nội dung cần làm rõ","STG_DIM_CLOS_EXCEPTION_REASON.EXCEPTION_CODE","direct","STG_DIM_CLOS_EXCEPTION_REASON","EXCEPTION_CODE",""
"DIM_CLOS_EXCEPTION_REASON","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","STG_DIM_CLOS_EXCEPTION_REASON.EFF_DATE","direct","STG_DIM_CLOS_EXCEPTION_REASON","EFF_DATE",""
"DIM_CLOS_EXCEPTION_REASON","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","STG_DIM_CLOS_EXCEPTION_REASON.EXP_DATE","direct","STG_DIM_CLOS_EXCEPTION_REASON","EXP_DATE",""
