"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_CLOS_LEGAL_PARTY","DIMENSION_KEY","false","number","PK","PK — Driving: STG_DIM_CLOS_LEGAL_PARTY","STG_DIM_CLOS_LEGAL_PARTY.DIMENSION_KEY","direct","STG_DIM_CLOS_LEGAL_PARTY","DIMENSION_KEY","Giữ nguyên giá trị từ SB_DWH qua vùng chìa STG_DTM"
"DIM_CLOS_LEGAL_PARTY","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'CLOS'","STG_DIM_CLOS_LEGAL_PARTY.DATASOURCE","direct","STG_DIM_CLOS_LEGAL_PARTY","DATASOURCE",""
"DIM_CLOS_LEGAL_PARTY","LEGAL_PARTY_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng","STG_DIM_CLOS_LEGAL_PARTY.LEGAL_PARTY_SK","direct","STG_DIM_CLOS_LEGAL_PARTY","LEGAL_PARTY_SK",""
"DIM_CLOS_LEGAL_PARTY","WI_NAME","false","string(100)","NK","Business key (1/5) — mã hồ sơ CLOS","STG_DIM_CLOS_LEGAL_PARTY.WI_NAME","direct","STG_DIM_CLOS_LEGAL_PARTY","WI_NAME",""
"DIM_CLOS_LEGAL_PARTY","ID_NUMBER","false","string(100)","NK","Business key (2/5) — số giấy tờ định danh","STG_DIM_CLOS_LEGAL_PARTY.ID_NUMBER","direct","STG_DIM_CLOS_LEGAL_PARTY","ID_NUMBER",""
"DIM_CLOS_LEGAL_PARTY","FULL_NAME","true","string(200)","NK","Business key (3/5) — họ tên/tên đối tượng","STG_DIM_CLOS_LEGAL_PARTY.FULL_NAME","direct","STG_DIM_CLOS_LEGAL_PARTY","FULL_NAME",""
"DIM_CLOS_LEGAL_PARTY","OBJ_TYPE","true","string(100)","NK","Business key (4/5) — loại đối tượng của giấy tờ pháp lý","STG_DIM_CLOS_LEGAL_PARTY.OBJ_TYPE","direct","STG_DIM_CLOS_LEGAL_PARTY","OBJ_TYPE",""
"DIM_CLOS_LEGAL_PARTY","LEGAL_DOC","true","string(100)","NK","Business key (5/5) — tên loại giấy tờ pháp lý","STG_DIM_CLOS_LEGAL_PARTY.LEGAL_DOC","direct","STG_DIM_CLOS_LEGAL_PARTY","LEGAL_DOC",""
"DIM_CLOS_LEGAL_PARTY","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","STG_DIM_CLOS_LEGAL_PARTY.EFF_DATE","direct","STG_DIM_CLOS_LEGAL_PARTY","EFF_DATE",""
"DIM_CLOS_LEGAL_PARTY","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","STG_DIM_CLOS_LEGAL_PARTY.EXP_DATE","direct","STG_DIM_CLOS_LEGAL_PARTY","EXP_DATE",""
"DIM_CLOS_LEGAL_PARTY","LEGAL_TYPE","true","string(50)","","Vai trò pháp lý chuẩn hóa (LEGAL_REPRESENTATIVE, CUSTOMER, COLLATERAL_OWNER, MAIN_CONTRIBUTING_MEMBERS, OTHER)","LEFT JOIN REF_CLOS_LEGAL ON OBJ_TYPE=<current>.OBJ_TYPE → REF_CLOS_LEGAL.LEGAL_TYPE","join","REF_CLOS_LEGAL","LEGAL_TYPE","PHÁI SINH tại PDTD_DTM. BC2 lọc LEGAL_TYPE='CUSTOMER' khi tra CIF"
