"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_LOS_ORG_UNIT","DIMENSION_KEY","false","number","PK","PK — Driving: STG_DIM_LOS_ORG_UNIT","STG_DIM_LOS_ORG_UNIT.DIMENSION_KEY","direct","STG_DIM_LOS_ORG_UNIT","DIMENSION_KEY","Giữ nguyên giá trị từ SB_DWH qua vùng chìa STG_DTM, không sinh sequence mới"
"DIM_LOS_ORG_UNIT","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, dùng chung cho cả CLOS và RLOS","STG_DIM_LOS_ORG_UNIT.DATASOURCE","direct","STG_DIM_LOS_ORG_UNIT","DATASOURCE",""
"DIM_LOS_ORG_UNIT","ORG_UNIT_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng — dùng để Fact lookup vào DIM này","STG_DIM_LOS_ORG_UNIT.ORG_UNIT_SK","direct","STG_DIM_LOS_ORG_UNIT","ORG_UNIT_SK",""
"DIM_LOS_ORG_UNIT","COMPANY_CODE","false","string(50)","","Business key — mã đơn vị kinh doanh (PGD/CN, mức chi tiết nhất)","STG_DIM_LOS_ORG_UNIT.COMPANY_CODE","direct","STG_DIM_LOS_ORG_UNIT","COMPANY_CODE",""
"DIM_LOS_ORG_UNIT","COMPANY_NAME","true","string(200)","","Tên đơn vị kinh doanh","STG_DIM_LOS_ORG_UNIT.COMPANY_NAME","direct","STG_DIM_LOS_ORG_UNIT","COMPANY_NAME",""
"DIM_LOS_ORG_UNIT","COMPANY_ADDRESS","true","string(500)","","Địa chỉ đơn vị kinh doanh","STG_DIM_LOS_ORG_UNIT.COMPANY_ADDRESS","direct","STG_DIM_LOS_ORG_UNIT","COMPANY_ADDRESS",""
"DIM_LOS_ORG_UNIT","COMPANY_EMAIL","true","string(200)","","Email đơn vị kinh doanh","STG_DIM_LOS_ORG_UNIT.COMPANY_EMAIL","direct","STG_DIM_LOS_ORG_UNIT","COMPANY_EMAIL",""
"DIM_LOS_ORG_UNIT","ZONE","true","number","","Mã khu vực nội bộ theo LOS","STG_DIM_LOS_ORG_UNIT.ZONE","direct","STG_DIM_LOS_ORG_UNIT","ZONE",""
"DIM_LOS_ORG_UNIT","BRANCH_CODE","true","string(50)","","Mã chi nhánh","STG_DIM_LOS_ORG_UNIT.BRANCH_CODE","direct","STG_DIM_LOS_ORG_UNIT","BRANCH_CODE",""
"DIM_LOS_ORG_UNIT","BRANCH_NAME","true","string(200)","","Tên chi nhánh","STG_DIM_LOS_ORG_UNIT.BRANCH_NAME","direct","STG_DIM_LOS_ORG_UNIT","BRANCH_NAME",""
"DIM_LOS_ORG_UNIT","CITY","true","string(100)","","Mã tỉnh/thành phố của chi nhánh","STG_DIM_LOS_ORG_UNIT.CITY","direct","STG_DIM_LOS_ORG_UNIT","CITY",""
"DIM_LOS_ORG_UNIT","DISTRICT","true","string(100)","","Mã quận/huyện của chi nhánh","STG_DIM_LOS_ORG_UNIT.DISTRICT","direct","STG_DIM_LOS_ORG_UNIT","DISTRICT",""
"DIM_LOS_ORG_UNIT","REGION_CODE","true","number","","Mã khu vực địa lý","STG_DIM_LOS_ORG_UNIT.REGION_CODE","direct","STG_DIM_LOS_ORG_UNIT","REGION_CODE",""
"DIM_LOS_ORG_UNIT","REGION_NAME","true","string(200)","","Tên khu vực địa lý","STG_DIM_LOS_ORG_UNIT.REGION_NAME","direct","STG_DIM_LOS_ORG_UNIT","REGION_NAME","Ghi chú người dùng: khu vực chuẩn hóa dùng cho BC10/BC11 (qua TMP_REF_COMPANY_REGION_KHCN/KHDN) là khái niệm KHÁC với REGION_CODE/REGION_NAME này — 2 nguồn khác nhau (LOS vs T24-side mapping riêng), không hợp nhất"
"DIM_LOS_ORG_UNIT","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","STG_DIM_LOS_ORG_UNIT.EFF_DATE","direct","STG_DIM_LOS_ORG_UNIT","EFF_DATE","Do SB_DWH quản lý, bê nguyên qua vùng chìa — không tính lại SCD2 ở DTM"
"DIM_LOS_ORG_UNIT","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","STG_DIM_LOS_ORG_UNIT.EXP_DATE","direct","STG_DIM_LOS_ORG_UNIT","EXP_DATE","Do SB_DWH quản lý, bê nguyên qua vùng chìa"
