"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_LOS_USER","DIMENSION_KEY","false","number","PK","PK — Driving: STG_DIM_LOS_USER","STG_DIM_LOS_USER.DIMENSION_KEY","direct","STG_DIM_LOS_USER","DIMENSION_KEY","Giữ nguyên giá trị từ SB_DWH qua vùng chìa STG_DTM, không sinh sequence mới"
"DIM_LOS_USER","DATASOURCE","false","string(10)","","Nguồn hệ dùng chung cho cả hai hệ CLOS và RLOS","STG_DIM_LOS_USER.DATASOURCE","direct","STG_DIM_LOS_USER","DATASOURCE",""
"DIM_LOS_USER","USER_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng — dùng để Fact lookup vào DIM này. Mặc định -1 (dòng Unknown) khi lookup không khớp","STG_DIM_LOS_USER.USER_SK","direct","STG_DIM_LOS_USER","USER_SK",""
"DIM_LOS_USER","USERNAME","false","string(100)","NK","Business key — tên tài khoản cán bộ xử lý hồ sơ trên ứng dụng LOS","STG_DIM_LOS_USER.USERNAME","direct","STG_DIM_LOS_USER","USERNAME",""
"DIM_LOS_USER","EMPLOYEE_NAME","true","string(200)","","Tên nhân viên","STG_DIM_LOS_USER.EMPLOYEE_NAME","direct","STG_DIM_LOS_USER","EMPLOYEE_NAME",""
"DIM_LOS_USER","EMPLOYEE_STATUS","true","string(50)","","Trạng thái tài khoản","STG_DIM_LOS_USER.EMPLOYEE_STATUS","direct","STG_DIM_LOS_USER","EMPLOYEE_STATUS",""
"DIM_LOS_USER","EMAIL","true","string(200)","","Email","STG_DIM_LOS_USER.EMAIL","direct","STG_DIM_LOS_USER","EMAIL",""
"DIM_LOS_USER","IP_PHONE","true","string(50)","","Số máy nội bộ","STG_DIM_LOS_USER.IP_PHONE","direct","STG_DIM_LOS_USER","IP_PHONE",""
"DIM_LOS_USER","SB_CODE","true","string(50)","","Mã SB của cán bộ","STG_DIM_LOS_USER.SB_CODE","direct","STG_DIM_LOS_USER","SB_CODE",""
"DIM_LOS_USER","ID_CUSTOMER","true","string(50)","","Mã khách hàng gắn với tài khoản (nếu có)","STG_DIM_LOS_USER.ID_CUSTOMER","direct","STG_DIM_LOS_USER","ID_CUSTOMER",""
"DIM_LOS_USER","COMPANY_CODE","true","string(50)","","Mã chi nhánh/ĐVKD quản lý tài khoản","STG_DIM_LOS_USER.COMPANY_CODE","direct","STG_DIM_LOS_USER","COMPANY_CODE",""
