"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_RLOS_APPLICANT","DIMENSION_KEY","false","number","PK","PK — Driving: STG_DIM_RLOS_APPLICANT","STG_DIM_RLOS_APPLICANT.DIMENSION_KEY","direct","STG_DIM_RLOS_APPLICANT","DIMENSION_KEY","Giữ nguyên giá trị từ SB_DWH qua vùng chìa STG_DTM"
"DIM_RLOS_APPLICANT","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","STG_DIM_RLOS_APPLICANT.DATASOURCE","direct","STG_DIM_RLOS_APPLICANT","DATASOURCE",""
"DIM_RLOS_APPLICANT","APPLICANT_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng — dùng để Fact lookup vào DIM này. Mặc định -1 (dòng Unknown) khi lookup không khớp","STG_DIM_RLOS_APPLICANT.APPLICANT_SK","direct","STG_DIM_RLOS_APPLICANT","APPLICANT_SK",""
"DIM_RLOS_APPLICANT","WI_NAME","false","string(100)","NK","Business key — mã hồ sơ RLOS","STG_DIM_RLOS_APPLICANT.WI_NAME","direct","STG_DIM_RLOS_APPLICANT","WI_NAME",""
"DIM_RLOS_APPLICANT","FULL_NAME","true","string(200)","","Họ tên đầy đủ","STG_DIM_RLOS_APPLICANT.FULL_NAME","direct","STG_DIM_RLOS_APPLICANT","FULL_NAME",""
"DIM_RLOS_APPLICANT","DATE_OF_BIRTH","true","date","","Ngày sinh","STG_DIM_RLOS_APPLICANT.DATE_OF_BIRTH","direct","STG_DIM_RLOS_APPLICANT","DATE_OF_BIRTH",""
"DIM_RLOS_APPLICANT","GENDER","true","string(20)","","Giới tính","STG_DIM_RLOS_APPLICANT.GENDER","direct","STG_DIM_RLOS_APPLICANT","GENDER",""
"DIM_RLOS_APPLICANT","MARRIAGE_STATUS","true","string(100)","","Tình trạng hôn nhân","STG_DIM_RLOS_APPLICANT.MARRIAGE_STATUS","direct","STG_DIM_RLOS_APPLICANT","MARRIAGE_STATUS",""
"DIM_RLOS_APPLICANT","EDUCATION_LEVEL","true","string(100)","","Trình độ học vấn","STG_DIM_RLOS_APPLICANT.EDUCATION_LEVEL","direct","STG_DIM_RLOS_APPLICANT","EDUCATION_LEVEL",""
"DIM_RLOS_APPLICANT","VEHICLE","true","string(100)","","Phương tiện đi lại","STG_DIM_RLOS_APPLICANT.VEHICLE","direct","STG_DIM_RLOS_APPLICANT","VEHICLE",""
