"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_RLOS_APPLICATION","DIMENSION_KEY","false","number","PK","PK — Driving: STG_DIM_RLOS_APPLICATION","STG_DIM_RLOS_APPLICATION.DIMENSION_KEY","direct","STG_DIM_RLOS_APPLICATION","DIMENSION_KEY","Giữ nguyên giá trị từ SB_DWH qua vùng chìa STG_DTM"
"DIM_RLOS_APPLICATION","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","STG_DIM_RLOS_APPLICATION.DATASOURCE","direct","STG_DIM_RLOS_APPLICATION","DATASOURCE",""
"DIM_RLOS_APPLICATION","APPLICATION_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng — dùng để Fact lookup vào DIM này. Mặc định -1 (dòng Unknown) khi lookup không khớp","STG_DIM_RLOS_APPLICATION.APPLICATION_SK","direct","STG_DIM_RLOS_APPLICATION","APPLICATION_SK",""
"DIM_RLOS_APPLICATION","WI_NAME","false","string(100)","NK","Business key — mã hồ sơ tín dụng RLOS","STG_DIM_RLOS_APPLICATION.WI_NAME","direct","STG_DIM_RLOS_APPLICATION","WI_NAME",""
"DIM_RLOS_APPLICATION","LOANCASEID","true","string(100)","","Mã khoản vay gắn với hồ sơ","STG_DIM_RLOS_APPLICATION.LOANCASEID","direct","STG_DIM_RLOS_APPLICATION","LOANCASEID",""
"DIM_RLOS_APPLICATION","STREAM","true","string(200)","","Luồng nghiệp vụ của hồ sơ","STG_DIM_RLOS_APPLICATION.STREAM","direct","STG_DIM_RLOS_APPLICATION","STREAM",""
"DIM_RLOS_APPLICATION","CHANGE_REQUEST","true","string(200)","","Yêu cầu điều chỉnh hồ sơ","STG_DIM_RLOS_APPLICATION.CHANGE_REQUEST","direct","STG_DIM_RLOS_APPLICATION","CHANGE_REQUEST",""
"DIM_RLOS_APPLICATION","CHANGE_TYPE","true","string(500)","","Loại thay đổi điều kiện phê duyệt","STG_DIM_RLOS_APPLICATION.CHANGE_TYPE","direct","STG_DIM_RLOS_APPLICATION","CHANGE_TYPE",""
"DIM_RLOS_APPLICATION","POLICY","true","string(200)","","Chính sách tín dụng áp dụng cho hồ sơ","STG_DIM_RLOS_APPLICATION.POLICY","direct","STG_DIM_RLOS_APPLICATION","POLICY",""
"DIM_RLOS_APPLICATION","CAMPAIGN","true","string(200)","","Chương trình bán áp dụng cho hồ sơ","STG_DIM_RLOS_APPLICATION.CAMPAIGN","direct","STG_DIM_RLOS_APPLICATION","CAMPAIGN",""
"DIM_RLOS_APPLICATION","PROOF_OF_INCOME","true","string(200)","","Hình thức chứng minh thu nhập","STG_DIM_RLOS_APPLICATION.PROOF_OF_INCOME","direct","STG_DIM_RLOS_APPLICATION","PROOF_OF_INCOME",""
"DIM_RLOS_APPLICATION","CUS_SEGMENT","true","string(100)","","Phân khúc khách hàng theo LOS","STG_DIM_RLOS_APPLICATION.CUS_SEGMENT","direct","STG_DIM_RLOS_APPLICATION","CUS_SEGMENT",""
"DIM_RLOS_APPLICATION","BI_CUS_SEGMENT","true","string(50)","","Phân khúc khách hàng chuẩn hóa để hiển thị trên báo cáo","STG_DIM_RLOS_APPLICATION.BI_CUS_SEGMENT","direct","STG_DIM_RLOS_APPLICATION","BI_CUS_SEGMENT",""
"DIM_RLOS_APPLICATION","COLL_REQUIRE","true","string(10)","","Sản phẩm có yêu cầu tài sản bảo đảm hay không","STG_DIM_RLOS_APPLICATION.COLL_REQUIRE","direct","STG_DIM_RLOS_APPLICATION","COLL_REQUIRE",""
"DIM_RLOS_APPLICATION","IS_SEC_PRODUCT","true","string(10)","","Hồ sơ có sản phẩm phụ đi kèm hay không","STG_DIM_RLOS_APPLICATION.IS_SEC_PRODUCT","direct","STG_DIM_RLOS_APPLICATION","IS_SEC_PRODUCT",""
"DIM_RLOS_APPLICATION","DEVIATION_FLAG","true","string(10)","","Hồ sơ có ngoại lệ chính sách hay không","STG_DIM_RLOS_APPLICATION.DEVIATION_FLAG","direct","STG_DIM_RLOS_APPLICATION","DEVIATION_FLAG",""
"DIM_RLOS_APPLICATION","EMPLOYEE_CODE","true","string(50)","","Mã cán bộ quản lý hồ sơ","STG_DIM_RLOS_APPLICATION.EMPLOYEE_CODE","direct","STG_DIM_RLOS_APPLICATION","EMPLOYEE_CODE",""
"DIM_RLOS_APPLICATION","EMPLOYEE_NAME","true","string(200)","","Tên cán bộ quản lý hồ sơ","STG_DIM_RLOS_APPLICATION.EMPLOYEE_NAME","direct","STG_DIM_RLOS_APPLICATION","EMPLOYEE_NAME",""
"DIM_RLOS_APPLICATION","CREATION_DATE","true","date","","Ngày khởi tạo hồ sơ","STG_DIM_RLOS_APPLICATION.CREATION_DATE","direct","STG_DIM_RLOS_APPLICATION","CREATION_DATE",""
"DIM_RLOS_APPLICATION","RESULT_MAIN_CARD_ID","true","string(100)","","Mã thẻ chính do hệ thẻ (T24) trả về","STG_DIM_RLOS_APPLICATION.RESULT_MAIN_CARD_ID","direct","STG_DIM_RLOS_APPLICATION","RESULT_MAIN_CARD_ID",""
"DIM_RLOS_APPLICATION","APP_GRP","true","string(50)","","Cấp thẩm quyền phê duyệt của hồ sơ","STG_DIM_RLOS_APPLICATION.APP_GRP","direct","STG_DIM_RLOS_APPLICATION","APP_GRP",""
"DIM_RLOS_APPLICATION","DEVIATION_G3","true","string(10)","","Hồ sơ có từ 3 ngoại lệ chính sách trở lên hay không","STG_DIM_RLOS_APPLICATION.DEVIATION_G3","direct","STG_DIM_RLOS_APPLICATION","DEVIATION_G3",""
"DIM_RLOS_APPLICATION","LAST_APPROVAL_DATE","true","date","","Ngày phê duyệt gần nhất của hồ sơ","STG_DIM_RLOS_APPLICATION.LAST_APPROVAL_DATE","direct","STG_DIM_RLOS_APPLICATION","LAST_APPROVAL_DATE",""
"DIM_RLOS_APPLICATION","APPROVED_AMT_FINAL","true","number(20,2)","","Hạn mức phê duyệt cuối cùng","STG_DIM_RLOS_APPLICATION.APPROVED_AMT_FINAL","direct","STG_DIM_RLOS_APPLICATION","APPROVED_AMT_FINAL",""
"DIM_RLOS_APPLICATION","CURRENCY_CODE","true","string(10)","","Loại tiền","STG_DIM_RLOS_APPLICATION.CURRENCY_CODE","direct","STG_DIM_RLOS_APPLICATION","CURRENCY_CODE",""
"DIM_RLOS_APPLICATION","APPROVED_TERM","true","number(5)","","Kỳ hạn phê duyệt","STG_DIM_RLOS_APPLICATION.APPROVED_TERM","direct","STG_DIM_RLOS_APPLICATION","APPROVED_TERM",""
"DIM_RLOS_APPLICATION","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","STG_DIM_RLOS_APPLICATION.EFF_DATE","direct","STG_DIM_RLOS_APPLICATION","EFF_DATE",""
"DIM_RLOS_APPLICATION","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","STG_DIM_RLOS_APPLICATION.EXP_DATE","direct","STG_DIM_RLOS_APPLICATION","EXP_DATE",""
"DIM_RLOS_APPLICATION","BI_FLOW","true","string(50)","","Luồng nghiệp vụ chuẩn hóa để hiển thị trên báo cáo","LEFT JOIN REF_RLOS_FLOW ON REF_RLOS_FLOW.STREAM = STG_DIM_RLOS_APPLICATION.STREAM → REF_RLOS_FLOW.BI_FLOW","join","REF_RLOS_FLOW","BI_FLOW","PHÁI SINH tại PDTD_DTM"
"DIM_RLOS_APPLICATION","REF_PRODUCT","true","string(200)","","Nhóm sản phẩm dùng để tra cam kết SLA (BC5)","JOIN STG_FCT_RLOS_APPLICATION_DAILY ON STG_FCT_RLOS_APPLICATION_DAILY.APPLICATION_SK = STG_DIM_RLOS_APPLICATION.APPLICATION_SK → JOIN STG_DIM_RLOS_PRODUCT ON STG_DIM_RLOS_PRODUCT.PRODUCT_SK = STG_FCT_RLOS_APPLICATION_DAILY.PRODUCT_SK → LEFT JOIN RLOS_REF_SLA_TDKHCN ON (CASE WHEN RLOS_REF_SLA_TDKHCN.PRODUCT_LINE = 'Trường Change Request' THEN RLOS_REF_SLA_TDKHCN.PRODUCT_LINE = STG_DIM_RLOS_APPLICATION.CHANGE_TYPE ELSE RLOS_REF_SLA_TDKHCN.PRODUCT_LINE = STG_DIM_RLOS_PRODUCT.PRODUCT_LINE_NAME END) AND (RLOS_REF_SLA_TDKHCN.DEVIATION_G3 IS NULL OR RLOS_REF_SLA_TDKHCN.DEVIATION_G3 = STG_DIM_RLOS_APPLICATION.DEVIATION_G3) AND (RLOS_REF_SLA_TDKHCN.SECONDARY_PRODUCTLINE IS NULL OR RLOS_REF_SLA_TDKHCN.SECONDARY_PRODUCTLINE = CASE WHEN STG_DIM_RLOS_APPLICATION.IS_SEC_PRODUCT = 'Có' THEN 'YES' WHEN STG_DIM_RLOS_APPLICATION.IS_SEC_PRODUCT = 'Không' THEN 'NO' END) AND RLOS_REF_SLA_TDKHCN.APP_GRP = STG_DIM_RLOS_APPLICATION.APP_GRP → RLOS_REF_SLA_TDKHCN.REF_PRODUCT","join","RLOS_REF_SLA_TDKHCN","REF_PRODUCT","PRODUCT_LINE_NAME lấy gián tiếp qua STG_FCT_RLOS_APPLICATION_DAILY.PRODUCT_SK → STG_DIM_RLOS_PRODUCT (DIM này không có PRODUCT_SK trực tiếp). DEVIATION_G3/SECONDARY_PRODUCTLINE bỏ qua điều kiện nếu REF_ để trống (SRS BC5/BC9, review 2026-09-18)"
"DIM_RLOS_APPLICATION","SLA_CREDIT_OFFICER","true","number(10,2)","","Cam kết giờ cho chuyên viên tín dụng","JOIN STG_FCT_RLOS_APPLICATION_DAILY ON STG_FCT_RLOS_APPLICATION_DAILY.APPLICATION_SK = STG_DIM_RLOS_APPLICATION.APPLICATION_SK → JOIN STG_DIM_RLOS_PRODUCT ON STG_DIM_RLOS_PRODUCT.PRODUCT_SK = STG_FCT_RLOS_APPLICATION_DAILY.PRODUCT_SK → LEFT JOIN RLOS_REF_SLA_TDKHCN ON (CASE WHEN RLOS_REF_SLA_TDKHCN.PRODUCT_LINE = 'Trường Change Request' THEN RLOS_REF_SLA_TDKHCN.PRODUCT_LINE = STG_DIM_RLOS_APPLICATION.CHANGE_TYPE ELSE RLOS_REF_SLA_TDKHCN.PRODUCT_LINE = STG_DIM_RLOS_PRODUCT.PRODUCT_LINE_NAME END) AND (RLOS_REF_SLA_TDKHCN.DEVIATION_G3 IS NULL OR RLOS_REF_SLA_TDKHCN.DEVIATION_G3 = STG_DIM_RLOS_APPLICATION.DEVIATION_G3) AND (RLOS_REF_SLA_TDKHCN.SECONDARY_PRODUCTLINE IS NULL OR RLOS_REF_SLA_TDKHCN.SECONDARY_PRODUCTLINE = CASE WHEN STG_DIM_RLOS_APPLICATION.IS_SEC_PRODUCT = 'Có' THEN 'YES' WHEN STG_DIM_RLOS_APPLICATION.IS_SEC_PRODUCT = 'Không' THEN 'NO' END) AND RLOS_REF_SLA_TDKHCN.APP_GRP = STG_DIM_RLOS_APPLICATION.APP_GRP → RLOS_REF_SLA_TDKHCN.SLA_CREDIT_OFFICER","join","RLOS_REF_SLA_TDKHCN","SLA_CREDIT_OFFICER","Cùng LEFT JOIN như cột REF_PRODUCT"
