"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_RLOS_COREPAYER","DIMENSION_KEY","false","number","PK","PK — Driving: STG_DIM_RLOS_COREPAYER","STG_DIM_RLOS_COREPAYER.DIMENSION_KEY","direct","STG_DIM_RLOS_COREPAYER","DIMENSION_KEY","Giữ nguyên giá trị từ SB_DWH qua vùng chìa STG_DTM"
"DIM_RLOS_COREPAYER","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","STG_DIM_RLOS_COREPAYER.DATASOURCE","direct","STG_DIM_RLOS_COREPAYER","DATASOURCE",""
"DIM_RLOS_COREPAYER","COREPAYER_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng","STG_DIM_RLOS_COREPAYER.COREPAYER_SK","direct","STG_DIM_RLOS_COREPAYER","COREPAYER_SK",""
"DIM_RLOS_COREPAYER","WI_NAME","false","string(100)","NK","Business key — mã hồ sơ RLOS","STG_DIM_RLOS_COREPAYER.WI_NAME","direct","STG_DIM_RLOS_COREPAYER","WI_NAME",""
"DIM_RLOS_COREPAYER","ID_NO_CO","false","string(100)","NK","Business key — nhãn thứ tự người đồng trả nợ","STG_DIM_RLOS_COREPAYER.ID_NO_CO","direct","STG_DIM_RLOS_COREPAYER","ID_NO_CO",""
"DIM_RLOS_COREPAYER","REL_TO_APPLICANT","false","string(200)","NK","Business key — quan hệ với người đề nghị vay chính","STG_DIM_RLOS_COREPAYER.REL_TO_APPLICANT","direct","STG_DIM_RLOS_COREPAYER","REL_TO_APPLICANT",""
"DIM_RLOS_COREPAYER","FULL_NAME","true","string(200)","","Họ tên đầy đủ","STG_DIM_RLOS_COREPAYER.FULL_NAME","direct","STG_DIM_RLOS_COREPAYER","FULL_NAME",""
"DIM_RLOS_COREPAYER","DATE_OF_BIRTH","true","date","","Ngày sinh","STG_DIM_RLOS_COREPAYER.DATE_OF_BIRTH","direct","STG_DIM_RLOS_COREPAYER","DATE_OF_BIRTH",""
"DIM_RLOS_COREPAYER","NATIONALITY","true","string(100)","","Quốc tịch","STG_DIM_RLOS_COREPAYER.NATIONALITY","direct","STG_DIM_RLOS_COREPAYER","NATIONALITY",""
"DIM_RLOS_COREPAYER","TITLE","true","string(30)","","Danh xưng","STG_DIM_RLOS_COREPAYER.TITLE","direct","STG_DIM_RLOS_COREPAYER","TITLE",""
"DIM_RLOS_COREPAYER","HOUSEHOLD","true","string(100)","","Số sổ hộ khẩu","STG_DIM_RLOS_COREPAYER.HOUSEHOLD","direct","STG_DIM_RLOS_COREPAYER","HOUSEHOLD",""
"DIM_RLOS_COREPAYER","PHONE_1","true","string(50)","","Số điện thoại di động chính","STG_DIM_RLOS_COREPAYER.PHONE_1","direct","STG_DIM_RLOS_COREPAYER","PHONE_1",""
"DIM_RLOS_COREPAYER","PHONE_2","true","string(50)","","Số điện thoại phụ","STG_DIM_RLOS_COREPAYER.PHONE_2","direct","STG_DIM_RLOS_COREPAYER","PHONE_2",""
"DIM_RLOS_COREPAYER","HOME_PHONE","true","string(50)","","Số điện thoại cố định","STG_DIM_RLOS_COREPAYER.HOME_PHONE","direct","STG_DIM_RLOS_COREPAYER","HOME_PHONE",""
"DIM_RLOS_COREPAYER","ADD_ID_COREPAYER","true","string(500)","","Số giấy tờ chính của corepayer","STG_DIM_RLOS_COREPAYER.ADD_ID_COREPAYER","direct","STG_DIM_RLOS_COREPAYER","ADD_ID_COREPAYER",""
"DIM_RLOS_COREPAYER","ADD_ID_OTHER_COREPAYER","true","string(1000)","","Số giấy tờ khác của corepayer","STG_DIM_RLOS_COREPAYER.ADD_ID_OTHER_COREPAYER","direct","STG_DIM_RLOS_COREPAYER","ADD_ID_OTHER_COREPAYER",""
"DIM_RLOS_COREPAYER","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","STG_DIM_RLOS_COREPAYER.EFF_DATE","direct","STG_DIM_RLOS_COREPAYER","EFF_DATE",""
"DIM_RLOS_COREPAYER","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","STG_DIM_RLOS_COREPAYER.EXP_DATE","direct","STG_DIM_RLOS_COREPAYER","EXP_DATE",""
