"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_RLOS_EXCEPTION_REASON","DIMENSION_KEY","false","number","PK","PK — Driving: STG_DIM_RLOS_EXCEPTION_REASON","STG_DIM_RLOS_EXCEPTION_REASON.DIMENSION_KEY","direct","STG_DIM_RLOS_EXCEPTION_REASON","DIMENSION_KEY","Giữ nguyên giá trị từ SB_DWH qua vùng chìa STG_DTM"
"DIM_RLOS_EXCEPTION_REASON","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","STG_DIM_RLOS_EXCEPTION_REASON.DATASOURCE","direct","STG_DIM_RLOS_EXCEPTION_REASON","DATASOURCE",""
"DIM_RLOS_EXCEPTION_REASON","EXCEPTION_REASON_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng — dùng để Fact lookup vào DIM này. Mặc định -1 (dòng Unknown) khi lookup không khớp","STG_DIM_RLOS_EXCEPTION_REASON.EXCEPTION_REASON_SK","direct","STG_DIM_RLOS_EXCEPTION_REASON","EXCEPTION_REASON_SK","review 2026-09-22 (self-review, sửa lại): đổi etl_logic_type từ generated về đúng direct — ở tầng PDTD_DTM cột _SK có nguồn cụ thể (copy nguyên từ STG_DIM_RLOS_EXCEPTION_REASON.EXCEPTION_REASON_SK qua vùng chìa STG_DTM), không phải tự sinh không có nguồn như tầng SB_DWH. Đối chiếu 11/11 file PDTD_DTM DIM khác cùng cấu trúc (VD DIM_CLOS_EXCEPTION_REASON) đều dùng direct — sửa đổi trước đó (từ direct sang generated) là hồi quy sai"
"DIM_RLOS_EXCEPTION_REASON","ACTIVITYNAME","false","string(200)","NK","Business key — tên bước phát sinh nội dung cần làm rõ","STG_DIM_RLOS_EXCEPTION_REASON.ACTIVITYNAME","direct","STG_DIM_RLOS_EXCEPTION_REASON","ACTIVITYNAME",""
"DIM_RLOS_EXCEPTION_REASON","DECISION_CODE","false","string(200)","NK","Business key — mã quyết định tại bước xử lý","STG_DIM_RLOS_EXCEPTION_REASON.DECISION_CODE","direct","STG_DIM_RLOS_EXCEPTION_REASON","DECISION_CODE",""
"DIM_RLOS_EXCEPTION_REASON","EXCEPTION_CATEGORY","false","string(500)","NK","Business key — phân nhóm nội dung cần làm rõ","STG_DIM_RLOS_EXCEPTION_REASON.EXCEPTION_CATEGORY","direct","STG_DIM_RLOS_EXCEPTION_REASON","EXCEPTION_CATEGORY",""
"DIM_RLOS_EXCEPTION_REASON","EXCEPTION_NAME","false","string(500)","NK","Business key — tên nội dung cần làm rõ","STG_DIM_RLOS_EXCEPTION_REASON.EXCEPTION_NAME","direct","STG_DIM_RLOS_EXCEPTION_REASON","EXCEPTION_NAME",""
"DIM_RLOS_EXCEPTION_REASON","EXCEPTION_CODE","true","string(50)","","Mã nội dung cần làm rõ","STG_DIM_RLOS_EXCEPTION_REASON.EXCEPTION_CODE","direct","STG_DIM_RLOS_EXCEPTION_REASON","EXCEPTION_CODE",""
"DIM_RLOS_EXCEPTION_REASON","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","STG_DIM_RLOS_EXCEPTION_REASON.EFF_DATE","direct","STG_DIM_RLOS_EXCEPTION_REASON","EFF_DATE",""
"DIM_RLOS_EXCEPTION_REASON","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","STG_DIM_RLOS_EXCEPTION_REASON.EXP_DATE","direct","STG_DIM_RLOS_EXCEPTION_REASON","EXP_DATE",""
