"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_RLOS_GEO","DIMENSION_KEY","false","number","PK","PK — Driving: STG_DIM_RLOS_GEO","STG_DIM_RLOS_GEO.DIMENSION_KEY","direct","STG_DIM_RLOS_GEO","DIMENSION_KEY","Giữ nguyên giá trị từ SB_DWH qua vùng chìa STG_DTM"
"DIM_RLOS_GEO","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","STG_DIM_RLOS_GEO.DATASOURCE","direct","STG_DIM_RLOS_GEO","DATASOURCE",""
"DIM_RLOS_GEO","GEO_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng","STG_DIM_RLOS_GEO.GEO_SK","direct","STG_DIM_RLOS_GEO","GEO_SK",""
"DIM_RLOS_GEO","CITY_CODE","false","string(50)","NK","Business key — mã tỉnh thành","STG_DIM_RLOS_GEO.CITY_CODE","direct","STG_DIM_RLOS_GEO","CITY_CODE",""
"DIM_RLOS_GEO","CITY_NAME","true","string(200)","","Tên tỉnh thành","STG_DIM_RLOS_GEO.CITY_NAME","direct","STG_DIM_RLOS_GEO","CITY_NAME",""
"DIM_RLOS_GEO","CITY_NAME_VN","true","string(200)","","Tên tỉnh thành tiếng Việt có dấu","STG_DIM_RLOS_GEO.CITY_NAME_VN","direct","STG_DIM_RLOS_GEO","CITY_NAME_VN",""
"DIM_RLOS_GEO","DISTRICT_CODE","true","string(50)","NK","Mã quận huyện","STG_DIM_RLOS_GEO.DISTRICT_CODE","direct","STG_DIM_RLOS_GEO","DISTRICT_CODE",""
"DIM_RLOS_GEO","DISTRICT_NAME","true","string(200)","","Tên quận huyện","STG_DIM_RLOS_GEO.DISTRICT_NAME","direct","STG_DIM_RLOS_GEO","DISTRICT_NAME",""
"DIM_RLOS_GEO","DISTRICT_NAME_VN","true","string(200)","","Tên quận huyện tiếng Việt có dấu","STG_DIM_RLOS_GEO.DISTRICT_NAME_VN","direct","STG_DIM_RLOS_GEO","DISTRICT_NAME_VN",""
"DIM_RLOS_GEO","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","STG_DIM_RLOS_GEO.EFF_DATE","direct","STG_DIM_RLOS_GEO","EFF_DATE",""
"DIM_RLOS_GEO","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","STG_DIM_RLOS_GEO.EXP_DATE","direct","STG_DIM_RLOS_GEO","EXP_DATE",""
