"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_RLOS_PRODUCT","DIMENSION_KEY","false","number","PK","PK — Driving: STG_DIM_RLOS_PRODUCT","STG_DIM_RLOS_PRODUCT.DIMENSION_KEY","direct","STG_DIM_RLOS_PRODUCT","DIMENSION_KEY","Giữ nguyên giá trị từ SB_DWH qua vùng chìa STG_DTM"
"DIM_RLOS_PRODUCT","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","STG_DIM_RLOS_PRODUCT.DATASOURCE","direct","STG_DIM_RLOS_PRODUCT","DATASOURCE",""
"DIM_RLOS_PRODUCT","PRODUCT_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng","STG_DIM_RLOS_PRODUCT.PRODUCT_SK","direct","STG_DIM_RLOS_PRODUCT","PRODUCT_SK",""
"DIM_RLOS_PRODUCT","PRODUCT_LINE_CODE","false","string(100)","NK","Business key — mã dòng sản phẩm","STG_DIM_RLOS_PRODUCT.PRODUCT_LINE_CODE","direct","STG_DIM_RLOS_PRODUCT","PRODUCT_LINE_CODE",""
"DIM_RLOS_PRODUCT","PRODUCT_LINE_NAME","true","string(200)","","Tên dòng sản phẩm","STG_DIM_RLOS_PRODUCT.PRODUCT_LINE_NAME","direct","STG_DIM_RLOS_PRODUCT","PRODUCT_LINE_NAME",""
"DIM_RLOS_PRODUCT","SECONDARY_PRODUCT","true","string(100)","","Sản phẩm phụ đi kèm","STG_DIM_RLOS_PRODUCT.SECONDARY_PRODUCT","direct","STG_DIM_RLOS_PRODUCT","SECONDARY_PRODUCT",""
"DIM_RLOS_PRODUCT","SUB_PRODUCT_CODE","false","string(100)","NK","Mã sản phẩm nhánh","STG_DIM_RLOS_PRODUCT.SUB_PRODUCT_CODE","direct","STG_DIM_RLOS_PRODUCT","SUB_PRODUCT_CODE",""
"DIM_RLOS_PRODUCT","PRODUCT_NAME","true","string(150)","NK","Tên sản phẩm tín dụng chi tiết","STG_DIM_RLOS_PRODUCT.PRODUCT_NAME","direct","STG_DIM_RLOS_PRODUCT","PRODUCT_NAME",""
"DIM_RLOS_PRODUCT","SCORE_REQUIRED","true","string(10)","","Cờ yêu cầu chấm điểm","STG_DIM_RLOS_PRODUCT.SCORE_REQUIRED","direct","STG_DIM_RLOS_PRODUCT","SCORE_REQUIRED",""
"DIM_RLOS_PRODUCT","SCORE_MODEL","true","string(100)","","Mô hình chấm điểm áp dụng","STG_DIM_RLOS_PRODUCT.SCORE_MODEL","direct","STG_DIM_RLOS_PRODUCT","SCORE_MODEL",""
"DIM_RLOS_PRODUCT","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","STG_DIM_RLOS_PRODUCT.EFF_DATE","direct","STG_DIM_RLOS_PRODUCT","EFF_DATE",""
"DIM_RLOS_PRODUCT","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","STG_DIM_RLOS_PRODUCT.EXP_DATE","direct","STG_DIM_RLOS_PRODUCT","EXP_DATE",""
