"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_T24_CUSTOMER","DIMENSION_KEY","false","number","PK","PK — Driving: STG_DIM_CUSTOMER","STG_DIM_CUSTOMER.DIMENSION_KEY","direct","STG_DIM_CUSTOMER","DIMENSION_KEY","Giữ nguyên DIMENSION_KEY của bảng chiều tương ứng bên SB_DWH (qua vùng chìa STG_DTM), không sinh sequence mới. Bảng đặc thù nguồn T24, không đi qua CDC của LOS"
"DIM_T24_CUSTOMER","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'T24'","'T24'","computed","","","Bảng nguồn T24 core banking, không thuộc STG_LOS (CLOS/RLOS)"
"DIM_T24_CUSTOMER","CUSTOMER_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng — dùng để Fact lookup vào DIM này","= DIMENSION_KEY (cùng dòng)","generated","","","Mặc định -1 nếu không có giá trị phù hợp"
"DIM_T24_CUSTOMER","CUSTOMER_ID","false","string(50)","NK","Business key — mã khách hàng CIF","STG_DIM_CUSTOMER.CUSTOMER","direct","STG_DIM_CUSTOMER","CUSTOMER","1:1 từ SB_DWH.DIM_CUSTOMER.CUSTOMER"
"DIM_T24_CUSTOMER","SHORT_NAME","true","string(200)","","Tên khách hàng theo T24","STG_DIM_CUSTOMER_VW.SHORT_NAME","join","STG_DIM_CUSTOMER_VW","SHORT_NAME","LEFT JOIN STG_DIM_CUSTOMER_VW theo CUSTOMER_ID — 1:1 từ SB_DWH.DIM_CUSTOMER_VW.SHORT_NAME"
"DIM_T24_CUSTOMER","LEGAL_ID","true","string(100)","","Số giấy tờ định danh đã chuẩn hóa — cột nối về LOS","STG_DIM_CUSTOMER.LEGAL_ID","direct","STG_DIM_CUSTOMER","LEGAL_ID","Khớp DIM_CLOS_CUSTOMER.ORG_LEGAL_ID / DIM_RLOS_APPLICANT.ADD_ID, ADD_ID_OTHER"
"DIM_T24_CUSTOMER","LEGAL_DOC_NAME","true","string(100)","","Loại giấy tờ định danh","STG_DIM_CUSTOMER.LEGAL_DOC_NAME","direct","STG_DIM_CUSTOMER","LEGAL_DOC_NAME","Phải khớp cùng lúc với LEGAL_ID khi tra"
"DIM_T24_CUSTOMER","DATE_OF_BIRTH","true","date","","Ngày sinh","STG_DIM_CUSTOMER.DATE_OF_BIRTH","direct","STG_DIM_CUSTOMER","DATE_OF_BIRTH",""
"DIM_T24_CUSTOMER","GENDER","true","string(20)","","Giới tính","STG_DIM_CUSTOMER.GENDER","direct","STG_DIM_CUSTOMER","GENDER",""
"DIM_T24_CUSTOMER","SEAB_CU_SEGMENT","true","string(20)","","Phân khúc khách hàng theo T24","STG_DIM_CUSTOMER_VW.SEAB_CU_SEGMENT","join","STG_DIM_CUSTOMER_VW","SEAB_CU_SEGMENT","LEFT JOIN STG_DIM_CUSTOMER_VW theo CUSTOMER_ID. BC10 lọc khách hàng cá nhân, BC11 lọc khách hàng doanh nghiệp bằng điều kiện NOT IN ('14','21') — lọc ở tầng report, không lọc ở ETL"
"DIM_T24_CUSTOMER","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi","STG_DIM_CUSTOMER.EFF_DATE","direct","STG_DIM_CUSTOMER","EFF_DATE","Do SB_DWH quản lý, bê nguyên qua vùng chìa — không tính lại ở DTM"
"DIM_T24_CUSTOMER","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","STG_DIM_CUSTOMER.EXP_DATE","direct","STG_DIM_CUSTOMER","EXP_DATE","Do SB_DWH quản lý, bê nguyên qua vùng chìa. Bê nguyên toàn bộ lịch sử (kể cả dòng đã đóng), không lọc EXP_DATE IS NULL khi nạp"
