"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_T24_LOAN","DIMENSION_KEY","false","number","PK","PK — Driving: STG_DIM_LOAN","STG_DIM_LOAN.DIMENSION_KEY","direct","STG_DIM_LOAN","DIMENSION_KEY","Giữ nguyên DIMENSION_KEY của bảng chiều tương ứng bên SB_DWH (qua vùng chìa STG_DTM), không sinh sequence mới. Không đi qua CDC của LOS"
"DIM_T24_LOAN","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'T24'","'T24'","computed","","","Bảng nguồn T24 core banking, không thuộc STG_LOS (CLOS/RLOS)"
"DIM_T24_LOAN","CONTRACT_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng — dùng để Fact lookup vào DIM này","= DIMENSION_KEY (cùng dòng)","generated","","","Mặc định -1 nếu không có giá trị phù hợp"
"DIM_T24_LOAN","CONTRACT","false","string(100)","NK","Business key — mã hợp đồng khoản vay theo T24","STG_DIM_LOAN.CONTRACT","direct","STG_DIM_LOAN","CONTRACT","1:1 từ SB_DWH.DIM_LOAN.CONTRACT"
"DIM_T24_LOAN","VALUE_DATE","true","date","","Ngày giải ngân","STG_DIM_LOAN.VALUE_DATE","direct","STG_DIM_LOAN","VALUE_DATE","Trường VALUE_DATE của BC10, BC11"
"DIM_T24_LOAN","MATURITY_DATE","true","date","","Ngày đáo hạn","STG_DIM_LOAN.MATURITY_DATE","direct","STG_DIM_LOAN","MATURITY_DATE","Trường MATURITY_DATE của BC10, BC11"
"DIM_T24_LOAN","REC_STATUS","true","string(20)","","Trạng thái hợp đồng (Active/Deactive)","STG_DIM_LOAN.REC_STATUS","direct","STG_DIM_LOAN","REC_STATUS","Trường STATUS của BC10, BC11"
"DIM_T24_LOAN","CONTRACT_REF","true","string(100)","","Mã hợp đồng tham chiếu","STG_DIM_LOAN.CONTRACT_REF","direct","STG_DIM_LOAN","CONTRACT_REF","Trường CONTRACT_REF của BC10, BC11"
"DIM_T24_LOAN","REF_VALUE_DATE","true","date","","Ngày hiệu lực của hợp đồng tham chiếu","STG_DIM_LOAN.REF_VALUE_DATE","direct","STG_DIM_LOAN","REF_VALUE_DATE","Trường REF_VALUE_DATE của BC10, BC11"
"DIM_T24_LOAN","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi","STG_DIM_LOAN.EFF_DATE","direct","STG_DIM_LOAN","EFF_DATE","Do SB_DWH quản lý, bê nguyên qua vùng chìa — không tính lại ở DTM"
"DIM_T24_LOAN","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","STG_DIM_LOAN.EXP_DATE","direct","STG_DIM_LOAN","EXP_DATE","Do SB_DWH quản lý, bê nguyên qua vùng chìa. Join qua CONTRACT_SK (surrogate) từ STG_FCT_LOAN không cần lọc EXP_DATE IS NULL — khác join qua business key CO_CODE của DIM_T24_COMPANY"
