"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"FCT_CLOS_APPLICATION_DAILY","DAYID","false","date","PK","PK (1/2) — Driving: STG_FCT_CLOS_APPLICATION_DAILY. Ngày dữ liệu","STG_FCT_CLOS_APPLICATION_DAILY.DAYID","direct","STG_FCT_CLOS_APPLICATION_DAILY","DAYID","Bê nguyên 1:1 từ SB_DWH (qua vùng chìa STG_DTM), cùng grain/PK"
"FCT_CLOS_APPLICATION_DAILY","WI_NAME","false","string(100)","PK","PK (2/2) — mã hồ sơ tín dụng CLOS","STG_FCT_CLOS_APPLICATION_DAILY.WI_NAME","direct","STG_FCT_CLOS_APPLICATION_DAILY","WI_NAME",""
"FCT_CLOS_APPLICATION_DAILY","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","STG_FCT_CLOS_APPLICATION_DAILY.DATASOURCE","direct","STG_FCT_CLOS_APPLICATION_DAILY","DATASOURCE",""
"FCT_CLOS_APPLICATION_DAILY","APPLICATION_SK","false","number","","Khóa tới DIM_CLOS_APPLICATION","STG_FCT_CLOS_APPLICATION_DAILY.APPLICATION_SK","direct","STG_FCT_CLOS_APPLICATION_DAILY","APPLICATION_SK",""
"FCT_CLOS_APPLICATION_DAILY","CURRENT_WORKSTEP_SK","false","number","","Khóa tới DIM_CLOS_WORKSTEP hiện tại","STG_FCT_CLOS_APPLICATION_DAILY.CURRENT_WORKSTEP_SK","direct","STG_FCT_CLOS_APPLICATION_DAILY","CURRENT_WORKSTEP_SK",""
"FCT_CLOS_APPLICATION_DAILY","LAST_WORKSTEP_SK","false","number","","Khóa tới DIM_CLOS_WORKSTEP của sự kiện hoàn tất gần nhất","STG_FCT_CLOS_APPLICATION_DAILY.LAST_WORKSTEP_SK","direct","STG_FCT_CLOS_APPLICATION_DAILY","LAST_WORKSTEP_SK",""
"FCT_CLOS_APPLICATION_DAILY","LAST_DECISION_SK","false","number","","Khóa tới DIM_CLOS_DECISION của sự kiện hoàn tất gần nhất","STG_FCT_CLOS_APPLICATION_DAILY.LAST_DECISION_SK","direct","STG_FCT_CLOS_APPLICATION_DAILY","LAST_DECISION_SK",""
"FCT_CLOS_APPLICATION_DAILY","LAST_USER_SK","false","number","","Khóa tới DIM_LOS_USER","STG_FCT_CLOS_APPLICATION_DAILY.LAST_USER_SK","direct","STG_FCT_CLOS_APPLICATION_DAILY","LAST_USER_SK",""
"FCT_CLOS_APPLICATION_DAILY","PRODUCT_SK","false","number","","Khóa tới DIM_CLOS_PRODUCT","STG_FCT_CLOS_APPLICATION_DAILY.PRODUCT_SK","direct","STG_FCT_CLOS_APPLICATION_DAILY","PRODUCT_SK",""
"FCT_CLOS_APPLICATION_DAILY","ORG_UNIT_SK","false","number","","Khóa tới DIM_LOS_ORG_UNIT","STG_FCT_CLOS_APPLICATION_DAILY.ORG_UNIT_SK","direct","STG_FCT_CLOS_APPLICATION_DAILY","ORG_UNIT_SK",""
