"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"FCT_CLOS_COLLATERAL","DAYID","false","date","PK","PK (1/3) — Driving: STG_FCT_CLOS_COLLATERAL. Ngày dữ liệu","STG_FCT_CLOS_COLLATERAL.DAYID","direct","STG_FCT_CLOS_COLLATERAL","DAYID","Bê nguyên 1:1 từ SB_DWH (qua vùng chìa STG_DTM), cùng grain/PK"
"FCT_CLOS_COLLATERAL","WI_NAME","false","string(100)","PK","PK (2/3) — mã hồ sơ tín dụng CLOS","STG_FCT_CLOS_COLLATERAL.WI_NAME","direct","STG_FCT_CLOS_COLLATERAL","WI_NAME",""
"FCT_CLOS_COLLATERAL","COLLATERAL_BK","false","string(64)","PK","PK (3/3) — khóa nghiệp vụ của dòng tài sản","STG_FCT_CLOS_COLLATERAL.COLLATERAL_BK","direct","STG_FCT_CLOS_COLLATERAL","COLLATERAL_BK",""
"FCT_CLOS_COLLATERAL","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","STG_FCT_CLOS_COLLATERAL.DATASOURCE","direct","STG_FCT_CLOS_COLLATERAL","DATASOURCE",""
"FCT_CLOS_COLLATERAL","APPLICATION_SK","false","number","","Khóa tới DIM_CLOS_APPLICATION","STG_FCT_CLOS_COLLATERAL.APPLICATION_SK","direct","STG_FCT_CLOS_COLLATERAL","APPLICATION_SK",""
"FCT_CLOS_COLLATERAL","COLLATERAL_TYPE_SK","false","number","","Khóa tới DIM_CLOS_COLLATERAL_TYPE","STG_FCT_CLOS_COLLATERAL.COLLATERAL_TYPE_SK","direct","STG_FCT_CLOS_COLLATERAL","COLLATERAL_TYPE_SK",""
"FCT_CLOS_COLLATERAL","COLLATERAL_TYPE_CODE","true","string(100)","","Mã loại tài sản bảo đảm","STG_FCT_CLOS_COLLATERAL.COLLATERAL_TYPE_CODE","direct","STG_FCT_CLOS_COLLATERAL","COLLATERAL_TYPE_CODE",""
"FCT_CLOS_COLLATERAL","DESCRIPTION","true","string(4000)","","Diễn giải tài sản bảo đảm","STG_FCT_CLOS_COLLATERAL.DESCRIPTION","direct","STG_FCT_CLOS_COLLATERAL","DESCRIPTION",""
"FCT_CLOS_COLLATERAL","OWNER_NAME","true","string(200)","","Chủ sở hữu tài sản","STG_FCT_CLOS_COLLATERAL.OWNER_NAME","direct","STG_FCT_CLOS_COLLATERAL","OWNER_NAME",""
"FCT_CLOS_COLLATERAL","COLL_MGMT_METHOD","true","string(4000)","","Phương thức quản lý tài sản","STG_FCT_CLOS_COLLATERAL.COLL_MGMT_METHOD","direct","STG_FCT_CLOS_COLLATERAL","COLL_MGMT_METHOD",""
"FCT_CLOS_COLLATERAL","APPRAISED_VALUE","true","number(20,2)","","Giá trị định giá của tài sản","STG_FCT_CLOS_COLLATERAL.APPRAISED_VALUE","direct","STG_FCT_CLOS_COLLATERAL","APPRAISED_VALUE",""
"FCT_CLOS_COLLATERAL","LOAN_RATE_LTV","true","number(5,2)","","Tỷ lệ cho vay trên giá trị tài sản","STG_FCT_CLOS_COLLATERAL.LOAN_RATE_LTV","direct","STG_FCT_CLOS_COLLATERAL","LOAN_RATE_LTV",""
