"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"FCT_CLOS_LOAN_DISBURSEMENT","DAYID","false","date","PK","PK (1/2) — Driving: STG_FCT_LOAN. Ngày ảnh chụp số liệu, KHÔNG phải ngày nghiệp vụ","TRUNC(STG_FCT_LOAN.DAYID)","direct","STG_FCT_LOAN","DAYID",""
"FCT_CLOS_LOAN_DISBURSEMENT","CONTRACT","false","string(100)","PK","PK (2/2) — mã hợp đồng khoản vay","STG_FCT_LOAN.CONTRACT","direct","STG_FCT_LOAN","CONTRACT","1:1 từ SB_DWH.FCT_LOAN.CONTRACT"
"FCT_CLOS_LOAN_DISBURSEMENT","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'T24'","'T24'","computed","","","Bảng nguồn T24 core banking (STG_FCT_LOAN), không thuộc STG_LOS"
"FCT_CLOS_LOAN_DISBURSEMENT","CUSTOMER_SK","false","number","","Khóa tới DIM_T24_CUSTOMER","STG_FCT_LOAN.CUSTOMER_SK","direct","STG_FCT_LOAN","CUSTOMER_SK","Surrogate có sẵn, tra thẳng DIM_T24_CUSTOMER.DIMENSION_KEY, không tự lookup qua LEGAL_ID. Mặc định -1 nếu không khớp"
"FCT_CLOS_LOAN_DISBURSEMENT","COMPANY_SK","false","number","","Khóa tới DIM_T24_COMPANY","JOIN DIM_T24_COMPANY ON COMPANY_CODE=STG_FCT_LOAN.CO_CODE (chỉ bản ghi hiện hành, COMPANY_EXP_DATE IS NULL) → DIMENSION_KEY","join","DIM_T24_COMPANY","DIMENSION_KEY","Mặc định -1. Nguồn của BRANCH_NAME/COMPANY_NAME cho BC11"
"FCT_CLOS_LOAN_DISBURSEMENT","CONTRACT_SK","false","number","","Khóa tới DIM_T24_LOAN","STG_FCT_LOAN.CONTRACT_SK","direct","STG_FCT_LOAN","CONTRACT_SK","Surrogate có sẵn, tra thẳng DIM_T24_LOAN.DIMENSION_KEY. Mặc định -1. Nguồn của VALUE_DATE/MATURITY_DATE/REC_STATUS/CONTRACT_REF/REF_VALUE_DATE cho BC11"
"FCT_CLOS_LOAN_DISBURSEMENT","SEAB_PRODUCTS_DE_SK","false","number","","Khóa tới DIM_T24_SEAB_PRODUCTS_DE","STG_FCT_LOAN.SEAB_PRODUCTS_DE_SK","direct","STG_FCT_LOAN","SEAB_PRODUCTS_DE_SK","Surrogate có sẵn, tra thẳng DIM_T24_SEAB_PRODUCTS_DE.DIMENSION_KEY; SRS ghi SEAB_PRODUCTS_SK, coi là thiếu chính tả. Mặc định -1. Nguồn của PRODUCT_T24 cho BC11"
"FCT_CLOS_LOAN_DISBURSEMENT","APPLICATION_SK","false","number","","Khóa tới DIM_CLOS_APPLICATION, tra theo SEAB_LOS_ID","JOIN DIM_CLOS_APPLICATION ON WI_NAME=STG_FCT_LOAN.SEAB_LOS_ID → DIMENSION_KEY","join","DIM_CLOS_APPLICATION","DIMENSION_KEY","KHÔNG để NULL — không tra được thì gán -1 (Unknown), tránh phép JOIN của OAS rớt dòng"
"FCT_CLOS_LOAN_DISBURSEMENT","SEAB_LOS_ID","true","string(100)","","Mã hồ sơ LOS do T24 lưu, gắn với hợp đồng","STG_FCT_LOAN.SEAB_LOS_ID","direct","STG_FCT_LOAN","SEAB_LOS_ID",""
"FCT_CLOS_LOAN_DISBURSEMENT","ZONE","true","string(50)","","Tên vùng của đơn vị kinh doanh","LEFT JOIN TMP_REF_COMPANY_REGION_KHDN ON COMPANY_CODE=STG_FCT_LOAN.CO_CODE → VUNG","join","TMP_REF_COMPANY_REGION_KHDN","VUNG","Lưu trực tiếp trên fact (không tách FK riêng) vì nguồn là bảng REF_ tĩnh, không phải DIM SCD2"
"FCT_CLOS_LOAN_DISBURSEMENT","DISBURSEMENT_AMT","true","number(20,2)","","Số tiền giải ngân","ABS(STG_FCT_LOAN.FIRST_DISBURSEMENT_AMT)","computed","STG_FCT_LOAN","FIRST_DISBURSEMENT_AMT","Trường DISBURSEMENT_AMT_T24 của BC11"
"FCT_CLOS_LOAN_DISBURSEMENT","CUR_BALANCE","true","number(20,2)","","Dư nợ hiện tại","(ABS(NVL(BALANCE,0)) + ABS(NVL(PD_BALANCE,0))) * REVAL_RATE","computed","STG_FCT_LOAN","BALANCE",""
"FCT_CLOS_LOAN_DISBURSEMENT","NO_DAYS_OVERDUE","true","number(6)","","Số ngày quá hạn","self-join STG_FCT_LOAN (b) ON a.PD_CONTRACT = b.CONTRACT, lấy b.NO_DAYS_OVERDUE","computed","STG_FCT_LOAN","NO_DAYS_OVERDUE",""
"FCT_CLOS_LOAN_DISBURSEMENT","CUR_BUCKET","true","number(2)","","Nhóm nợ","CASE WHEN NO_DAYS_OVERDUE > 360 THEN 5 WHEN > 180 THEN 4 WHEN > 90 THEN 3 WHEN >= 10 THEN 2 ELSE 1 END","computed","","","Cùng self-join PD_CONTRACT như NO_DAYS_OVERDUE"
"FCT_CLOS_LOAN_DISBURSEMENT","LIMIT_REFERENCE","true","string(100)","","Mã hạn mức","STG_FCT_LOAN.LIMIT_REF","direct","STG_FCT_LOAN","LIMIT_REF","Trường LIMIT_REFERENCE của BC11. Giữ trên fact (không chuyển DIM_T24_LOAN) vì nguồn là chính STG_FCT_LOAN, không phải STG_DIM_LOAN"
"FCT_CLOS_LOAN_DISBURSEMENT","CUST_GROUP","true","string(100)","","Nhóm khách hàng","JOIN DIM_CLOS_APPLICATION ON DIMENSION_KEY=<current>.APPLICATION_SK → CUST_GROUP","join","DIM_CLOS_APPLICATION","CUST_GROUP","Trường CUST_GROUP của BC11"
"FCT_CLOS_LOAN_DISBURSEMENT","LOANCASEID","true","string(100)","","Mã khoản vay gắn với hồ sơ cha","CASE WHEN DIM_CLOS_APPLICATION.CHANGE_REQUEST='New' THEN DIM_CLOS_APPLICATION.LOANCASEID ELSE NULL END, join qua APPLICATION_SK","join","DIM_CLOS_APPLICATION","LOANCASEID","CHỈ giữ giá trị khi hồ sơ có CHANGE_REQUEST='New' (đúng công thức SRS BC11), còn lại NULL dù DIM có giá trị"
"FCT_CLOS_LOAN_DISBURSEMENT","APPROVAL_WINAME_LOS","true","string(100)","","Mã hồ sơ cha đã được phê duyệt","JOIN DIM_CLOS_APPLICATION ON DIMENSION_KEY=<current>.APPLICATION_SK → FIRST_APPROVED_WI_NAME","join","DIM_CLOS_APPLICATION","FIRST_APPROVED_WI_NAME","Trường APPROVAL_WINAME_LOS của BC11"
"FCT_CLOS_LOAN_DISBURSEMENT","APPROVAL_DATE","true","date","","Ngày phê duyệt","JOIN DIM_CLOS_APPLICATION ON DIMENSION_KEY=<current>.APPLICATION_SK → FIRST_APPROVED_DATE","join","DIM_CLOS_APPLICATION","FIRST_APPROVED_DATE","Trường APPROVAL_DATE của BC11"
