"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"FCT_CLOS_WORKSTEP_EVENT","DAYID","false","date","PK","PK (1/4) — Driving: STG_FCT_CLOS_WORKSTEP_EVENT. Ngày phiên bản được ghi nhận","STG_FCT_CLOS_WORKSTEP_EVENT.DAYID","direct","STG_FCT_CLOS_WORKSTEP_EVENT","DAYID","Bê nguyên 1:1 từ SB_DWH (qua vùng chìa STG_DTM), cùng grain/PK"
"FCT_CLOS_WORKSTEP_EVENT","WI_NAME","false","string(100)","PK","PK (2/4) — mã hồ sơ tín dụng CLOS","STG_FCT_CLOS_WORKSTEP_EVENT.WI_NAME","direct","STG_FCT_CLOS_WORKSTEP_EVENT","WI_NAME",""
"FCT_CLOS_WORKSTEP_EVENT","WORKSTEP_CODE","false","string(200)","PK","PK (3/4) — mã bước xử lý trên workflow","STG_FCT_CLOS_WORKSTEP_EVENT.WORKSTEP_CODE","direct","STG_FCT_CLOS_WORKSTEP_EVENT","WORKSTEP_CODE",""
"FCT_CLOS_WORKSTEP_EVENT","ENTRYDATE","false","timestamp","PK","PK (4/4) — thời điểm hồ sơ vào bước xử lý","STG_FCT_CLOS_WORKSTEP_EVENT.ENTRYDATE","direct","STG_FCT_CLOS_WORKSTEP_EVENT","ENTRYDATE",""
"FCT_CLOS_WORKSTEP_EVENT","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","STG_FCT_CLOS_WORKSTEP_EVENT.DATASOURCE","direct","STG_FCT_CLOS_WORKSTEP_EVENT","DATASOURCE",""
"FCT_CLOS_WORKSTEP_EVENT","WORKSTEP_SK","false","number","","Khóa tới DIM_CLOS_WORKSTEP","STG_FCT_CLOS_WORKSTEP_EVENT.WORKSTEP_SK","direct","STG_FCT_CLOS_WORKSTEP_EVENT","WORKSTEP_SK",""
"FCT_CLOS_WORKSTEP_EVENT","DECISION_SK","false","number","","Khóa tới DIM_CLOS_DECISION","STG_FCT_CLOS_WORKSTEP_EVENT.DECISION_SK","direct","STG_FCT_CLOS_WORKSTEP_EVENT","DECISION_SK",""
"FCT_CLOS_WORKSTEP_EVENT","USER_SK","false","number","","Khóa tới DIM_LOS_USER","STG_FCT_CLOS_WORKSTEP_EVENT.USER_SK","direct","STG_FCT_CLOS_WORKSTEP_EVENT","USER_SK",""
"FCT_CLOS_WORKSTEP_EVENT","APPLICATION_SK","false","number","","Khóa tới DIM_CLOS_APPLICATION","STG_FCT_CLOS_WORKSTEP_EVENT.APPLICATION_SK","direct","STG_FCT_CLOS_WORKSTEP_EVENT","APPLICATION_SK",""
"FCT_CLOS_WORKSTEP_EVENT","EXITDATE","true","timestamp","","Thời điểm hồ sơ ra khỏi bước xử lý","STG_FCT_CLOS_WORKSTEP_EVENT.EXITDATE","direct","STG_FCT_CLOS_WORKSTEP_EVENT","EXITDATE",""
"FCT_CLOS_WORKSTEP_EVENT","DECISION_CODE","true","string(200)","","Mã quyết định tại bước xử lý","STG_FCT_CLOS_WORKSTEP_EVENT.DECISION_CODE","direct","STG_FCT_CLOS_WORKSTEP_EVENT","DECISION_CODE",""
"FCT_CLOS_WORKSTEP_EVENT","USERNAME","true","string(100)","","Tên tài khoản người xử lý hồ sơ","STG_FCT_CLOS_WORKSTEP_EVENT.USERNAME","direct","STG_FCT_CLOS_WORKSTEP_EVENT","USERNAME",""
"FCT_CLOS_WORKSTEP_EVENT","REMARKS","true","string(4000)","","Ghi chú tại bước xử lý","STG_FCT_CLOS_WORKSTEP_EVENT.REMARKS","direct","STG_FCT_CLOS_WORKSTEP_EVENT","REMARKS",""
"FCT_CLOS_WORKSTEP_EVENT","TAT_SOURCE_SEC","true","number(12)","","Thời gian xử lý do hệ nguồn ghi, đơn vị giây","STG_FCT_CLOS_WORKSTEP_EVENT.TAT_SOURCE_SEC","direct","STG_FCT_CLOS_WORKSTEP_EVENT","TAT_SOURCE_SEC",""
"FCT_CLOS_WORKSTEP_EVENT","TAT_CALENDAR_HOUR","true","number(18,6)","","Thời gian xử lý theo lịch tự nhiên, đơn vị giờ","STG_FCT_CLOS_WORKSTEP_EVENT.TAT_CALENDAR_HOUR","direct","STG_FCT_CLOS_WORKSTEP_EVENT","TAT_CALENDAR_HOUR",""
"FCT_CLOS_WORKSTEP_EVENT","TAT_WORKING_HOUR","true","number(18,6)","","Thời gian xử lý theo giờ làm việc, đơn vị giờ","STG_FCT_CLOS_WORKSTEP_EVENT.TAT_WORKING_HOUR","direct","STG_FCT_CLOS_WORKSTEP_EVENT","TAT_WORKING_HOUR",""
