"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"FCT_LOS_KPI_YTD_DAILY","DAYID","false","date","PK","PK — Driving: DIM_DATE (chạy theo từng ngày). Ngày dữ liệu",":ETL_DATE","direct","DIM_DATE","DAYID","Không có bảng nguồn nào có grain 1 dòng/ngày sẵn — DAYID là tham số chạy ETL hàng ngày"
"FCT_LOS_KPI_YTD_DAILY","SLHS_RLOS_DAY","true","number(12)","","Số hồ sơ RLOS được phê duyệt, phát sinh trong ngày","COUNT hồ sơ trên FCT_LOS_KPI_APPLICATION (DATASOURCE='RLOS') WHERE PROCESSED_DATE=:ETL_DATE AND IS_TEST_ACCOUNT != 'Y' AND (JOIN DIM_RLOS_APPLICATION qua APPLICATION_SK) BI_FLOW IN ('BL','KHCN_HO') AND (JOIN DIM_LOS_ORG_UNIT qua ORG_UNIT_SK) COMPANY_CODE NOT IN ('VN0010401','VN0010101','VN0010002')","join","FCT_LOS_KPI_APPLICATION","WI_NAME","Trường SLHS_RLOS của BC9 (số ngày). Nhóm 1/Nhóm 2 của SRS bù trừ hoàn toàn nên không cần tách theo SUB_PRODUCT/PRODUCT_NAME"
"FCT_LOS_KPI_YTD_DAILY","SLHS_RLOS","true","number(14)","","Lũy kế từ 1/1","SLHS_RLOS(D) = SLHS_RLOS(D-1) + SLHS_RLOS_DAY(D), reset về 0 vào ngày 1/1 mỗi năm","computed","FCT_LOS_KPI_YTD_DAILY","SLHS_RLOS_DAY","Trường SLHS_RLOS của BC9. Self-reference D-1 trên chính bảng này"
"FCT_LOS_KPI_YTD_DAILY","SLGN_RLOS_DAY","true","number(12)","","Số hồ sơ RLOS đã giải ngân (tồn tại hợp đồng trên STG_FCT_LOAN), phát sinh trong ngày","COUNT hồ sơ trên FCT_LOS_KPI_APPLICATION (DATASOURCE='RLOS') WHERE PROCESSED_DATE=:ETL_DATE AND IS_TEST_ACCOUNT != 'Y' AND BI_FLOW IN ('BL','KHCN_HO') AND COMPANY_CODE NOT IN ('VN0010401','VN0010101','VN0010002') AND EXISTS (SELECT 1 FROM STG_FCT_LOAN WHERE SEAB_LOS_ID = WI_NAME)","join","STG_FCT_LOAN","SEAB_LOS_ID","Trường SLGN_RLOS của BC9. Cùng 2 điều kiện join như SLHS_RLOS_DAY"
"FCT_LOS_KPI_YTD_DAILY","SLGN_RLOS","true","number(14)","","Lũy kế từ 1/1","SLGN_RLOS(D) = SLGN_RLOS(D-1) + SLGN_RLOS_DAY(D), reset về 0 vào ngày 1/1 mỗi năm","computed","FCT_LOS_KPI_YTD_DAILY","SLGN_RLOS_DAY","Trường SLGN_RLOS của BC9"
"FCT_LOS_KPI_YTD_DAILY","SLHS_CLOS_DAY","true","number(12)","","Số hồ sơ CLOS được phê duyệt, phát sinh trong ngày","COUNT hồ sơ trên FCT_LOS_KPI_APPLICATION (DATASOURCE='CLOS') WHERE PROCESSED_DATE=:ETL_DATE AND IS_TEST_ACCOUNT != 'Y' AND VAR_STR12 IS NOT NULL AND (JOIN DIM_CLOS_APPLICATION qua APPLICATION_SK) STREAM = 'Phê duyệt tín dụng'","join","FCT_LOS_KPI_APPLICATION","VAR_STR12","Trường SLHS_CLOS của BC9. STREAM là điều kiện tương đương BI_FLOW của RLOS, riêng cho CLOS"
"FCT_LOS_KPI_YTD_DAILY","SLHS_CLOS","true","number(14)","","Lũy kế từ 1/1","SLHS_CLOS(D) = SLHS_CLOS(D-1) + SLHS_CLOS_DAY(D), reset về 0 vào ngày 1/1 mỗi năm","computed","FCT_LOS_KPI_YTD_DAILY","SLHS_CLOS_DAY","Trường SLHS_CLOS của BC9"
"FCT_LOS_KPI_YTD_DAILY","SLGN_CLOS_DAY","true","number(12)","","Số hồ sơ CLOS đã giải ngân, phát sinh trong ngày","COUNT hồ sơ trên FCT_LOS_KPI_APPLICATION (DATASOURCE='CLOS') WHERE PROCESSED_DATE=:ETL_DATE AND IS_TEST_ACCOUNT != 'Y' AND VAR_STR12 IS NOT NULL AND STREAM = 'Phê duyệt tín dụng' AND (EXISTS hợp đồng nhánh LD: LISTAGG(STG_FCT_LOAN.CONTRACT) nhóm theo WFINSTRUMENTTABLE.VAR_STR12, khóa JOIN vào STG_FCT_LOAN vẫn là SEAB_LOS_ID+CUSTOMER_CODE OR EXISTS hợp đồng nhánh MD: STG_DTM.STG_FCT_MD theo SEAB_LOS_ID+CUSTOMER)","join","STG_FCT_LOAN","CONTRACT","Trường SLGN_CLOS của BC9. review 2026-09-21: nhánh LD LISTAGG nhóm theo VAR_STR12 (không đổi khóa JOIN SEAB_LOS_ID+CUSTOMER_CODE, chỉ đổi cách GROUP BY sau khi join). Đếm HỒ SƠ (1 hồ sơ=1 khách hàng T24), không đếm số lượng hợp đồng"
"FCT_LOS_KPI_YTD_DAILY","SLGN_CLOS","true","number(14)","","Lũy kế từ 1/1","SLGN_CLOS(D) = SLGN_CLOS(D-1) + SLGN_CLOS_DAY(D), reset về 0 vào ngày 1/1 mỗi năm","computed","FCT_LOS_KPI_YTD_DAILY","SLGN_CLOS_DAY","Trường SLGN_CLOS của BC9"
"FCT_LOS_KPI_YTD_DAILY","TAT_RLOS_SEC_SUM_HOUR_DAY","true","number(18,6)","","Tổng TAT_APPLICATION_HOUR của hồ sơ RLOS CÓ tài sản bảo đảm, phát sinh trong ngày","SUM(TAT_APPLICATION_HOUR) trên FCT_LOS_KPI_APPLICATION (DATASOURCE='RLOS') WHERE PROCESSED_DATE=:ETL_DATE AND IS_TEST_ACCOUNT != 'Y' AND COLLREQUIRE='YES' (SEC)","join","FCT_LOS_KPI_APPLICATION","TAT_APPLICATION_HOUR","Tử số của TAT_RLOS_SEC (phái sinh ở report), lọc SEC theo COLLREQUIRE trên DIM_RLOS_APPLICATION"
"FCT_LOS_KPI_YTD_DAILY","TAT_RLOS_SEC_CASE_CNT_DAY","true","number(12)","","Số hồ sơ RLOS có tài sản bảo đảm, phát sinh trong ngày","COUNT hồ sơ trên FCT_LOS_KPI_APPLICATION (DATASOURCE='RLOS') WHERE PROCESSED_DATE=:ETL_DATE AND IS_TEST_ACCOUNT != 'Y' AND COLLREQUIRE='YES'","join","FCT_LOS_KPI_APPLICATION","WI_NAME","Mẫu số của TAT_RLOS_SEC, cùng điều kiện lọc trên"
"FCT_LOS_KPI_YTD_DAILY","TAT_RLOS_SEC_SUM_HOUR_YTD","true","number(20,6)","","Lũy kế từ 1/1","TAT_RLOS_SEC_SUM_HOUR_YTD(D) = TAT_RLOS_SEC_SUM_HOUR_YTD(D-1) + TAT_RLOS_SEC_SUM_HOUR_DAY(D), reset về 0 vào ngày 1/1","computed","FCT_LOS_KPI_YTD_DAILY","TAT_RLOS_SEC_SUM_HOUR_DAY",""
"FCT_LOS_KPI_YTD_DAILY","TAT_RLOS_SEC_CASE_CNT_YTD","true","number(14)","","Lũy kế từ 1/1","TAT_RLOS_SEC_CASE_CNT_YTD(D) = TAT_RLOS_SEC_CASE_CNT_YTD(D-1) + TAT_RLOS_SEC_CASE_CNT_DAY(D), reset về 0 vào ngày 1/1","computed","FCT_LOS_KPI_YTD_DAILY","TAT_RLOS_SEC_CASE_CNT_DAY",""
"FCT_LOS_KPI_YTD_DAILY","TAT_RLOS_UNSEC_SUM_HOUR_DAY","true","number(18,6)","","Tổng TAT_APPLICATION_HOUR của hồ sơ RLOS KHÔNG có tài sản bảo đảm, phát sinh trong ngày","SUM(TAT_APPLICATION_HOUR) trên FCT_LOS_KPI_APPLICATION (DATASOURCE='RLOS') WHERE PROCESSED_DATE=:ETL_DATE AND IS_TEST_ACCOUNT != 'Y' AND COLLREQUIRE='NO' (UNSEC)","join","FCT_LOS_KPI_APPLICATION","TAT_APPLICATION_HOUR","Tử số của TAT_RLOS_UNSEC, lọc UNSEC theo COLLREQUIRE trên DIM_RLOS_APPLICATION"
"FCT_LOS_KPI_YTD_DAILY","TAT_RLOS_UNSEC_CASE_CNT_DAY","true","number(12)","","Số hồ sơ RLOS không có tài sản bảo đảm, phát sinh trong ngày","COUNT hồ sơ trên FCT_LOS_KPI_APPLICATION (DATASOURCE='RLOS') WHERE PROCESSED_DATE=:ETL_DATE AND IS_TEST_ACCOUNT != 'Y' AND COLLREQUIRE='NO'","join","FCT_LOS_KPI_APPLICATION","WI_NAME","Mẫu số của TAT_RLOS_UNSEC"
"FCT_LOS_KPI_YTD_DAILY","TAT_RLOS_UNSEC_SUM_HOUR_YTD","true","number(20,6)","","Lũy kế từ 1/1","TAT_RLOS_UNSEC_SUM_HOUR_YTD(D) = TAT_RLOS_UNSEC_SUM_HOUR_YTD(D-1) + TAT_RLOS_UNSEC_SUM_HOUR_DAY(D), reset về 0 vào ngày 1/1","computed","FCT_LOS_KPI_YTD_DAILY","TAT_RLOS_UNSEC_SUM_HOUR_DAY",""
"FCT_LOS_KPI_YTD_DAILY","TAT_RLOS_UNSEC_CASE_CNT_YTD","true","number(14)","","Lũy kế từ 1/1","TAT_RLOS_UNSEC_CASE_CNT_YTD(D) = TAT_RLOS_UNSEC_CASE_CNT_YTD(D-1) + TAT_RLOS_UNSEC_CASE_CNT_DAY(D), reset về 0 vào ngày 1/1","computed","FCT_LOS_KPI_YTD_DAILY","TAT_RLOS_UNSEC_CASE_CNT_DAY",""
"FCT_LOS_KPI_YTD_DAILY","TAT_CLOS_SUM_HOUR_DAY","true","number(18,6)","","Tổng TAT_APPLICATION_HOUR của hồ sơ CLOS, phát sinh trong ngày","SUM(TAT_APPLICATION_HOUR) trên FCT_LOS_KPI_APPLICATION (DATASOURCE='CLOS') WHERE PROCESSED_DATE=:ETL_DATE AND IS_TEST_ACCOUNT != 'Y' AND (JOIN DIM_CLOS_APPLICATION qua APPLICATION_SK) STREAM = 'Phê duyệt tín dụng'","join","FCT_LOS_KPI_APPLICATION","TAT_APPLICATION_HOUR","Không lọc VAR_STR12 (SRS không nhắc điều kiện này cho TAT_CLOS). STREAM là điều kiện riêng cho TAT_CLOS theo SRS BC9"
"FCT_LOS_KPI_YTD_DAILY","TAT_CLOS_CASE_CNT_DAY","true","number(12)","","Số hồ sơ CLOS, phát sinh trong ngày","COUNT hồ sơ trên FCT_LOS_KPI_APPLICATION (DATASOURCE='CLOS') WHERE PROCESSED_DATE=:ETL_DATE AND IS_TEST_ACCOUNT != 'Y' AND STREAM = 'Phê duyệt tín dụng'","join","FCT_LOS_KPI_APPLICATION","WI_NAME","Mẫu số của TAT_CLOS, cùng điều kiện lọc (bao gồm STREAM)"
"FCT_LOS_KPI_YTD_DAILY","TAT_CLOS_SUM_HOUR_YTD","true","number(20,6)","","Lũy kế từ 1/1","TAT_CLOS_SUM_HOUR_YTD(D) = TAT_CLOS_SUM_HOUR_YTD(D-1) + TAT_CLOS_SUM_HOUR_DAY(D), reset về 0 vào ngày 1/1","computed","FCT_LOS_KPI_YTD_DAILY","TAT_CLOS_SUM_HOUR_DAY",""
"FCT_LOS_KPI_YTD_DAILY","TAT_CLOS_CASE_CNT_YTD","true","number(14)","","Lũy kế từ 1/1","TAT_CLOS_CASE_CNT_YTD(D) = TAT_CLOS_CASE_CNT_YTD(D-1) + TAT_CLOS_CASE_CNT_DAY(D), reset về 0 vào ngày 1/1","computed","FCT_LOS_KPI_YTD_DAILY","TAT_CLOS_CASE_CNT_DAY",""
"FCT_LOS_KPI_YTD_DAILY","QUY_DOI_RLOS_DAY","true","number(14,4)","","Tổng QUY_DOI của hồ sơ RLOS, phát sinh trong ngày","SUM(QUY_DOI) trên FCT_LOS_KPI_APPLICATION (DATASOURCE='RLOS') WHERE PROCESSED_DATE=:ETL_DATE AND IS_TEST_ACCOUNT != 'Y'","join","FCT_LOS_KPI_APPLICATION","QUY_DOI","SUM lại từ QUY_DOI đã tính sẵn, KHÔNG tính lại công thức POINT*8/VOLUME ở đây"
"FCT_LOS_KPI_YTD_DAILY","QUY_DOI_RLOS","true","number(16,4)","","Lũy kế từ 1/1","QUY_DOI_RLOS(D) = QUY_DOI_RLOS(D-1) + QUY_DOI_RLOS_DAY(D), reset về 0 vào ngày 1/1","computed","FCT_LOS_KPI_YTD_DAILY","QUY_DOI_RLOS_DAY","Trường QUY_DOI_RLOS của BC9"
"FCT_LOS_KPI_YTD_DAILY","QUY_DOI_CLOS_DAY","true","number(14,4)","","Tổng QUY_DOI của hồ sơ CLOS, phát sinh trong ngày","SUM(QUY_DOI) trên FCT_LOS_KPI_APPLICATION (DATASOURCE='CLOS') WHERE PROCESSED_DATE=:ETL_DATE AND IS_TEST_ACCOUNT != 'Y'","join","FCT_LOS_KPI_APPLICATION","QUY_DOI",""
"FCT_LOS_KPI_YTD_DAILY","QUY_DOI_CLOS","true","number(16,4)","","Lũy kế từ 1/1","QUY_DOI_CLOS(D) = QUY_DOI_CLOS(D-1) + QUY_DOI_CLOS_DAY(D), reset về 0 vào ngày 1/1","computed","FCT_LOS_KPI_YTD_DAILY","QUY_DOI_CLOS_DAY","Trường QUY_DOI_CLOS của BC9"
"FCT_LOS_KPI_YTD_DAILY","NEW_USER_CNT_DAY","true","number(8)","","Số USERNAME mới đủ điều kiện tính nhân sự trong ngày","COUNT trên REF_LOS_KPI_USER_YEAR WHERE KPI_YEAR = YEAR(:ETL_DATE) AND TRUNC(FIRST_ELIGIBLE_TS) = :ETL_DATE","join","REF_LOS_KPI_USER_YEAR","FIRST_ELIGIBLE_TS","2 tài khoản test đã bị loại tại nguồn REF_LOS_KPI_USER_YEAR, không cần lọc lại ở đây"
"FCT_LOS_KPI_YTD_DAILY","NHAN_SU","true","number(8)","","Lũy kế từ 1/1","NHAN_SU(D) = NHAN_SU(D-1) + NEW_USER_CNT_DAY(D), reset về 0 vào ngày 1/1","computed","FCT_LOS_KPI_YTD_DAILY","NEW_USER_CNT_DAY","Tương đương COUNT DISTINCT USERNAME lũy kế, không đếm trùng vì REF_LOS_KPI_USER_YEAR chỉ INSERT 1 lần/user/năm. Trường NHAN_SU của BC9"
