"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"FCT_RLOS_APPLICATION_DAILY","DAYID","false","date","PK","Ngày dữ liệu","STG_FCT_RLOS_APPLICATION_DAILY.DAYID","direct","STG_FCT_RLOS_APPLICATION_DAILY","DAYID",""
"FCT_RLOS_APPLICATION_DAILY","WI_NAME","false","string(100)","PK","Mã hồ sơ tín dụng RLOS","STG_FCT_RLOS_APPLICATION_DAILY.WI_NAME","direct","STG_FCT_RLOS_APPLICATION_DAILY","WI_NAME",""
"FCT_RLOS_APPLICATION_DAILY","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","STG_FCT_RLOS_APPLICATION_DAILY.DATASOURCE","direct","STG_FCT_RLOS_APPLICATION_DAILY","DATASOURCE",""
"FCT_RLOS_APPLICATION_DAILY","APPLICATION_SK","false","number","","Khóa tới DIM_RLOS_APPLICATION","STG_FCT_RLOS_APPLICATION_DAILY.APPLICATION_SK","direct","STG_FCT_RLOS_APPLICATION_DAILY","APPLICATION_SK",""
"FCT_RLOS_APPLICATION_DAILY","CURRENT_WORKSTEP_SK","false","number","","Khóa tới DIM_RLOS_WORKSTEP hiện tại","STG_FCT_RLOS_APPLICATION_DAILY.CURRENT_WORKSTEP_SK","direct","STG_FCT_RLOS_APPLICATION_DAILY","CURRENT_WORKSTEP_SK",""
"FCT_RLOS_APPLICATION_DAILY","LAST_WORKSTEP_SK","false","number","","Khóa tới DIM_RLOS_WORKSTEP của sự kiện hoàn tất gần nhất","STG_FCT_RLOS_APPLICATION_DAILY.LAST_WORKSTEP_SK","direct","STG_FCT_RLOS_APPLICATION_DAILY","LAST_WORKSTEP_SK",""
"FCT_RLOS_APPLICATION_DAILY","LAST_DECISION_SK","false","number","","Khóa tới DIM_RLOS_DECISION của sự kiện hoàn tất gần nhất","STG_FCT_RLOS_APPLICATION_DAILY.LAST_DECISION_SK","direct","STG_FCT_RLOS_APPLICATION_DAILY","LAST_DECISION_SK",""
"FCT_RLOS_APPLICATION_DAILY","LAST_USER_SK","false","number","","Khóa tới DIM_LOS_USER","STG_FCT_RLOS_APPLICATION_DAILY.LAST_USER_SK","direct","STG_FCT_RLOS_APPLICATION_DAILY","LAST_USER_SK",""
"FCT_RLOS_APPLICATION_DAILY","PRODUCT_SK","false","number","","Khóa tới DIM_RLOS_PRODUCT","STG_FCT_RLOS_APPLICATION_DAILY.PRODUCT_SK","direct","STG_FCT_RLOS_APPLICATION_DAILY","PRODUCT_SK",""
"FCT_RLOS_APPLICATION_DAILY","ORG_UNIT_SK","false","number","","Khóa tới DIM_LOS_ORG_UNIT","STG_FCT_RLOS_APPLICATION_DAILY.ORG_UNIT_SK","direct","STG_FCT_RLOS_APPLICATION_DAILY","ORG_UNIT_SK",""
