"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"FCT_RLOS_COLLATERAL","DAYID","false","date","PK","Ngày dữ liệu","STG_FCT_RLOS_COLLATERAL.DAYID","direct","STG_FCT_RLOS_COLLATERAL","DAYID","Bê nguyên 1:1 từ SB_DWH (qua vùng chìa STG_DTM), cùng grain/PK"
"FCT_RLOS_COLLATERAL","WI_NAME","false","string(100)","PK","Mã hồ sơ tín dụng RLOS","STG_FCT_RLOS_COLLATERAL.WI_NAME","direct","STG_FCT_RLOS_COLLATERAL","WI_NAME",""
"FCT_RLOS_COLLATERAL","COLLATERAL_BK","false","string(64)","PK","Khóa nghiệp vụ của dòng tài sản","STG_FCT_RLOS_COLLATERAL.COLLATERAL_BK","direct","STG_FCT_RLOS_COLLATERAL","COLLATERAL_BK",""
"FCT_RLOS_COLLATERAL","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","STG_FCT_RLOS_COLLATERAL.DATASOURCE","direct","STG_FCT_RLOS_COLLATERAL","DATASOURCE",""
"FCT_RLOS_COLLATERAL","APPLICATION_SK","false","number","","Khóa tới DIM_RLOS_APPLICATION","STG_FCT_RLOS_COLLATERAL.APPLICATION_SK","direct","STG_FCT_RLOS_COLLATERAL","APPLICATION_SK",""
"FCT_RLOS_COLLATERAL","COLLATERAL_TYPE_CODE","true","string(100)","","Nhãn phân loại nguồn của tài sản","STG_FCT_RLOS_COLLATERAL.COLLATERAL_TYPE_CODE","direct","STG_FCT_RLOS_COLLATERAL","COLLATERAL_TYPE_CODE",""
"FCT_RLOS_COLLATERAL","CERTIFICATE_NO","true","string(500)","","Số giấy chứng nhận tài sản","STG_FCT_RLOS_COLLATERAL.CERTIFICATE_NO","direct","STG_FCT_RLOS_COLLATERAL","CERTIFICATE_NO",""
"FCT_RLOS_COLLATERAL","DESCRIPTION","true","string(4000)","","Mô tả tài sản bảo đảm","STG_FCT_RLOS_COLLATERAL.DESCRIPTION","direct","STG_FCT_RLOS_COLLATERAL","DESCRIPTION",""
"FCT_RLOS_COLLATERAL","OWNER_NAME","true","string(200)","","Chủ sở hữu tài sản","STG_FCT_RLOS_COLLATERAL.OWNER_NAME","direct","STG_FCT_RLOS_COLLATERAL","OWNER_NAME",""
"FCT_RLOS_COLLATERAL","REL_TO_CUSTOMER","true","string(200)","","Quan hệ giữa chủ tài sản và khách hàng","STG_FCT_RLOS_COLLATERAL.REL_TO_CUSTOMER","direct","STG_FCT_RLOS_COLLATERAL","REL_TO_CUSTOMER",""
"FCT_RLOS_COLLATERAL","USING_PURPOSE","true","string(255)","","Mục đích sử dụng của bất động sản","STG_FCT_RLOS_COLLATERAL.USING_PURPOSE","direct","STG_FCT_RLOS_COLLATERAL","USING_PURPOSE",""
"FCT_RLOS_COLLATERAL","VEHICLE_TYPE","true","string(100)","","Loại phương tiện vận tải","STG_FCT_RLOS_COLLATERAL.VEHICLE_TYPE","direct","STG_FCT_RLOS_COLLATERAL","VEHICLE_TYPE",""
"FCT_RLOS_COLLATERAL","BRAND","true","string(200)","","Hãng của phương tiện vận tải","STG_FCT_RLOS_COLLATERAL.BRAND","direct","STG_FCT_RLOS_COLLATERAL","BRAND",""
"FCT_RLOS_COLLATERAL","CONTROL_POSTER","true","string(100)","","Biển số kiểm soát của phương tiện","STG_FCT_RLOS_COLLATERAL.CONTROL_POSTER","direct","STG_FCT_RLOS_COLLATERAL","CONTROL_POSTER",""
"FCT_RLOS_COLLATERAL","VALPAPER_TYPE","true","string(100)","","Loại giấy tờ có giá","STG_FCT_RLOS_COLLATERAL.VALPAPER_TYPE","direct","STG_FCT_RLOS_COLLATERAL","VALPAPER_TYPE",""
"FCT_RLOS_COLLATERAL","NUMBERSIGN","true","string(200)","","Số hiệu giấy tờ có giá","STG_FCT_RLOS_COLLATERAL.NUMBERSIGN","direct","STG_FCT_RLOS_COLLATERAL","NUMBERSIGN",""
"FCT_RLOS_COLLATERAL","IS_ASSET_FORMED","true","string(10)","","Tài sản đã hình thành hay chưa","STG_FCT_RLOS_COLLATERAL.IS_ASSET_FORMED","direct","STG_FCT_RLOS_COLLATERAL","IS_ASSET_FORMED",""
"FCT_RLOS_COLLATERAL","IS_FORMED_FROM_LOAN","true","string(100)","","Loại tài sản hình thành từ vốn vay","STG_FCT_RLOS_COLLATERAL.IS_FORMED_FROM_LOAN","direct","STG_FCT_RLOS_COLLATERAL","IS_FORMED_FROM_LOAN",""
"FCT_RLOS_COLLATERAL","APPRAISED_VALUE","true","number(20,2)","","Giá trị định giá của tài sản","STG_FCT_RLOS_COLLATERAL.APPRAISED_VALUE","direct","STG_FCT_RLOS_COLLATERAL","APPRAISED_VALUE",""
"FCT_RLOS_COLLATERAL","LOAN_RATE_LTV","true","number(5,2)","","Tỷ lệ cho vay trên giá trị tài sản","STG_FCT_RLOS_COLLATERAL.LOAN_RATE_LTV","direct","STG_FCT_RLOS_COLLATERAL","LOAN_RATE_LTV",""
"FCT_RLOS_COLLATERAL","TYPES_OF_COLLATERALS","true","string(500)","","Phục vụ trực tiếp BC3.TYPES_OF_COLLATERALS","STG_FCT_RLOS_COLLATERAL.TYPES_OF_COLLATERALS","direct","STG_FCT_RLOS_COLLATERAL","TYPES_OF_COLLATERALS",""
