"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"FCT_RLOS_LOAN_DISBURSEMENT","DAYID","false","date","PK","PK (1/2) — Driving: STG_FCT_LOAN. Ngày ảnh chụp số liệu, KHÔNG phải ngày nghiệp vụ","STG_FCT_LOAN.DAYID","direct","STG_FCT_LOAN","DAYID","Grain HỢP ĐỒNG (khác grain hồ sơ của mọi bảng LOS khác), không phải SCD2 — bảng là ảnh chụp theo DAYID. Vùng chìa STG_DTM.STG_FCT_LOAN chỉ giữ dữ liệu đúng ngày hiện tại — ETL phải chạy đúng ngày, không đọc bù được nếu trễ"
"FCT_RLOS_LOAN_DISBURSEMENT","CONTRACT","false","string(100)","PK","PK (2/2) — mã hợp đồng khoản vay","STG_FCT_LOAN.CONTRACT","direct","STG_FCT_LOAN","CONTRACT","1:1 từ SB_DWH.FCT_LOAN.CONTRACT"
"FCT_RLOS_LOAN_DISBURSEMENT","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'T24'","'T24'","computed","","","Bảng nguồn T24 core banking (STG_FCT_LOAN), không thuộc STG_LOS"
"FCT_RLOS_LOAN_DISBURSEMENT","CUSTOMER_SK","false","number","","Khóa tới DIM_T24_CUSTOMER","STG_FCT_LOAN.CUSTOMER_SK","direct","STG_FCT_LOAN","CUSTOMER_SK","Surrogate có sẵn, tra thẳng DIM_T24_CUSTOMER.DIMENSION_KEY, không tự lookup qua LEGAL_ID. Mặc định -1 nếu không khớp"
"FCT_RLOS_LOAN_DISBURSEMENT","COMPANY_SK","false","number","","Khóa tới DIM_T24_COMPANY","LEFT JOIN STG_DIM_COMPANY ON STG_DIM_COMPANY.COMPANY_CODE = STG_FCT_LOAN.CO_CODE AND STG_DIM_COMPANY.EXP_DATE IS NULL → STG_DIM_COMPANY.DIMENSION_KEY","join","STG_DIM_COMPANY","DIMENSION_KEY","Mặc định -1. Nguồn của BRANCH_NAME/COMPANY_NAME cho BC10. review 2026-09-22: sửa JOIN trần thành LEFT JOIN (mermaid HLD 2.1.4/2.3.2.8 xác nhận đây là LEFT JOIN, chỉ bản ghi hiện hành COMPANY_EXP_DATE IS NULL phía nguồn — viết đúng thành DIM_T24_COMPANY.EXP_DATE IS NULL). review 2026-09-22: sửa source_table sang đúng tên bảng lát cắt trên STG_DTM là STG_DIM_COMPANY (SB_DWH/STG_DTM không có prefix T24_ — prefix này chỉ xuất hiện ở tên bảng đích PDTD_DTM để phân biệt nguồn hệ thống)"
"FCT_RLOS_LOAN_DISBURSEMENT","CONTRACT_SK","false","number","","Khóa tới DIM_T24_LOAN","STG_FCT_LOAN.CONTRACT_SK","direct","STG_FCT_LOAN","CONTRACT_SK","Surrogate có sẵn, tra thẳng DIM_T24_LOAN.DIMENSION_KEY. Mặc định -1. Nguồn của VALUE_DATE/MATURITY_DATE/REC_STATUS/CONTRACT_REF/REF_VALUE_DATE cho BC10"
"FCT_RLOS_LOAN_DISBURSEMENT","SEAB_PRODUCTS_DE_SK","false","number","","Khóa tới DIM_T24_SEAB_PRODUCTS_DE","STG_FCT_LOAN.SEAB_PRODUCTS_DE_SK","direct","STG_FCT_LOAN","SEAB_PRODUCTS_DE_SK","Surrogate có sẵn, tra thẳng DIM_T24_SEAB_PRODUCTS_DE.DIMENSION_KEY; SRS ghi SEAB_PRODUCTS_SK, coi là thiếu chính tả. Mặc định -1. Nguồn của PRODUCT_T24 cho BC10"
"FCT_RLOS_LOAN_DISBURSEMENT","APPLICATION_SK","false","number","","Khóa tới DIM_RLOS_APPLICATION, tra theo SEAB_LOS_ID","LEFT JOIN STG_DIM_RLOS_APPLICATION ON STG_DIM_RLOS_APPLICATION.WI_NAME = STG_FCT_LOAN.SEAB_LOS_ID → STG_DIM_RLOS_APPLICATION.DIMENSION_KEY","join","STG_DIM_RLOS_APPLICATION","DIMENSION_KEY","KHÔNG để NULL — không tra được thì gán -1 (Unknown), tránh phép JOIN của OAS rớt dòng. review 2026-09-22: bỏ ký hiệu <current>, viết rõ table_name.column_name (SEAB_LOS_ID là cột trên chính driving table STG_FCT_LOAN). review 2026-09-22: sửa source_table sang đúng tên lát cắt STG_DIM_RLOS_APPLICATION (nguồn PDTD_DTM luôn là STG_<table_name> trên STG_DTM, không phải tên gốc SB_DWH)"
"FCT_RLOS_LOAN_DISBURSEMENT","SEAB_LOS_ID","true","string(100)","","Mã hồ sơ LOS do T24 lưu, gắn với hợp đồng","STG_FCT_LOAN.SEAB_LOS_ID","direct","STG_FCT_LOAN","SEAB_LOS_ID",""
"FCT_RLOS_LOAN_DISBURSEMENT","ZONE","true","string(50)","","Tên vùng của đơn vị kinh doanh","LEFT JOIN TMP_REF_COMPANY_REGION_KHCN ON COMPANY_CODE=STG_FCT_LOAN.CO_CODE → ZONE","join","TMP_REF_COMPANY_REGION_KHCN","ZONE","Lưu trực tiếp trên fact (không tách FK riêng) vì nguồn là bảng REF_ tĩnh, không phải DIM SCD2"
