"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"FCT_RLOS_WORKSTEP_EVENT","DAYID","false","date","PK","PK (1/4) — Driving: STG_FCT_RLOS_WORKSTEP_EVENT. Ngày phiên bản được ghi nhận","STG_FCT_RLOS_WORKSTEP_EVENT.DAYID","direct","STG_FCT_RLOS_WORKSTEP_EVENT","DAYID","Bê nguyên 1:1 từ SB_DWH (qua vùng chìa STG_DTM), cùng grain/PK"
"FCT_RLOS_WORKSTEP_EVENT","WI_NAME","false","string(100)","PK","PK (2/4) — mã hồ sơ tín dụng RLOS","STG_FCT_RLOS_WORKSTEP_EVENT.WI_NAME","direct","STG_FCT_RLOS_WORKSTEP_EVENT","WI_NAME",""
"FCT_RLOS_WORKSTEP_EVENT","WORKSTEP_CODE","false","string(200)","PK","PK (3/4) — mã bước xử lý trên workflow","STG_FCT_RLOS_WORKSTEP_EVENT.WORKSTEP_CODE","direct","STG_FCT_RLOS_WORKSTEP_EVENT","WORKSTEP_CODE",""
"FCT_RLOS_WORKSTEP_EVENT","ENTRYDATE","false","timestamp","PK","PK (4/4) — thời điểm hồ sơ vào bước xử lý","STG_FCT_RLOS_WORKSTEP_EVENT.ENTRYDATE","direct","STG_FCT_RLOS_WORKSTEP_EVENT","ENTRYDATE",""
"FCT_RLOS_WORKSTEP_EVENT","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","STG_FCT_RLOS_WORKSTEP_EVENT.DATASOURCE","direct","STG_FCT_RLOS_WORKSTEP_EVENT","DATASOURCE",""
"FCT_RLOS_WORKSTEP_EVENT","WORKSTEP_SK","false","number","","Khóa tới DIM_RLOS_WORKSTEP","STG_FCT_RLOS_WORKSTEP_EVENT.WORKSTEP_SK","direct","STG_FCT_RLOS_WORKSTEP_EVENT","WORKSTEP_SK",""
"FCT_RLOS_WORKSTEP_EVENT","DECISION_SK","false","number","","Khóa tới DIM_RLOS_DECISION","STG_FCT_RLOS_WORKSTEP_EVENT.DECISION_SK","direct","STG_FCT_RLOS_WORKSTEP_EVENT","DECISION_SK",""
"FCT_RLOS_WORKSTEP_EVENT","USER_SK","false","number","","Khóa tới DIM_LOS_USER","STG_FCT_RLOS_WORKSTEP_EVENT.USER_SK","direct","STG_FCT_RLOS_WORKSTEP_EVENT","USER_SK",""
"FCT_RLOS_WORKSTEP_EVENT","APPLICATION_SK","false","number","","Khóa tới DIM_RLOS_APPLICATION","STG_FCT_RLOS_WORKSTEP_EVENT.APPLICATION_SK","direct","STG_FCT_RLOS_WORKSTEP_EVENT","APPLICATION_SK",""
"FCT_RLOS_WORKSTEP_EVENT","EXITDATE","true","timestamp","","Thời điểm hồ sơ ra khỏi bước xử lý","STG_FCT_RLOS_WORKSTEP_EVENT.EXITDATE","direct","STG_FCT_RLOS_WORKSTEP_EVENT","EXITDATE",""
"FCT_RLOS_WORKSTEP_EVENT","DECISION_CODE","true","string(200)","","Mã quyết định tại bước xử lý","STG_FCT_RLOS_WORKSTEP_EVENT.DECISION_CODE","direct","STG_FCT_RLOS_WORKSTEP_EVENT","DECISION_CODE",""
"FCT_RLOS_WORKSTEP_EVENT","USERNAME","true","string(100)","","Tên tài khoản người xử lý hồ sơ","STG_FCT_RLOS_WORKSTEP_EVENT.USERNAME","direct","STG_FCT_RLOS_WORKSTEP_EVENT","USERNAME",""
"FCT_RLOS_WORKSTEP_EVENT","REMARKS","true","string(4000)","","Ghi chú tại bước xử lý","STG_FCT_RLOS_WORKSTEP_EVENT.REMARKS","direct","STG_FCT_RLOS_WORKSTEP_EVENT","REMARKS",""
"FCT_RLOS_WORKSTEP_EVENT","REASON_CODE","true","string(50)","","Mã lý do hủy hồ sơ","STG_FCT_RLOS_WORKSTEP_EVENT.REASON_CODE","direct","STG_FCT_RLOS_WORKSTEP_EVENT","REASON_CODE",""
"FCT_RLOS_WORKSTEP_EVENT","REASON_DESC","true","string(500)","","Diễn giải lý do hủy hồ sơ","STG_FCT_RLOS_WORKSTEP_EVENT.REASON_DESC","direct","STG_FCT_RLOS_WORKSTEP_EVENT","REASON_DESC",""
"FCT_RLOS_WORKSTEP_EVENT","TAT_SOURCE_SEC","true","number(12)","","Thời gian xử lý do hệ nguồn ghi, đơn vị giây","STG_FCT_RLOS_WORKSTEP_EVENT.TAT_SOURCE_SEC","direct","STG_FCT_RLOS_WORKSTEP_EVENT","TAT_SOURCE_SEC",""
"FCT_RLOS_WORKSTEP_EVENT","TAT_CALENDAR_HOUR","true","number(18,6)","","Thời gian xử lý theo lịch tự nhiên, đơn vị giờ","STG_FCT_RLOS_WORKSTEP_EVENT.TAT_CALENDAR_HOUR","direct","STG_FCT_RLOS_WORKSTEP_EVENT","TAT_CALENDAR_HOUR",""
"FCT_RLOS_WORKSTEP_EVENT","TAT_WORKING_HOUR","true","number(18,6)","","Thời gian xử lý theo giờ làm việc, đơn vị giờ","STG_FCT_RLOS_WORKSTEP_EVENT.TAT_WORKING_HOUR","direct","STG_FCT_RLOS_WORKSTEP_EVENT","TAT_WORKING_HOUR",""
"FCT_RLOS_WORKSTEP_EVENT","TAT_CPC_HOUR","true","number(18,6)","","Thời gian xử lý theo giờ cam kết SLA, đơn vị giờ","STG_FCT_RLOS_WORKSTEP_EVENT.TAT_CPC_HOUR","direct","STG_FCT_RLOS_WORKSTEP_EVENT","TAT_CPC_HOUR",""
"FCT_RLOS_WORKSTEP_EVENT","EVENT_SEQ_ASC","true","number(5)","","Thứ tự sự kiện theo chiều cũ đến mới","STG_FCT_RLOS_WORKSTEP_EVENT.EVENT_SEQ_ASC","direct","STG_FCT_RLOS_WORKSTEP_EVENT","EVENT_SEQ_ASC",""
"FCT_RLOS_WORKSTEP_EVENT","BI_FLAG_APPROVAL","true","string(50)","","Đánh dấu lần phê duyệt đầu hay lần phê duyệt lại","STG_FCT_RLOS_WORKSTEP_EVENT.BI_FLAG_APPROVAL","direct","STG_FCT_RLOS_WORKSTEP_EVENT","BI_FLAG_APPROVAL",""
"FCT_RLOS_WORKSTEP_EVENT","PRE_WORKSTEP_CODE","true","string(200)","","Bước xử lý liền trước","STG_FCT_RLOS_WORKSTEP_EVENT.PRE_WORKSTEP_CODE","direct","STG_FCT_RLOS_WORKSTEP_EVENT","PRE_WORKSTEP_CODE",""
"FCT_RLOS_WORKSTEP_EVENT","PROCESSED_DATE","true","date","","Ngày xử lý chung của hồ sơ","STG_FCT_RLOS_WORKSTEP_EVENT.PROCESSED_DATE","direct","STG_FCT_RLOS_WORKSTEP_EVENT","PROCESSED_DATE",""
"FCT_RLOS_WORKSTEP_EVENT","WORKSTEP_FLAG","true","string(200)","","Trạng thái tổng hợp hồ sơ dạng mô tả","STG_FCT_RLOS_WORKSTEP_EVENT.WORKSTEP_FLAG","direct","STG_FCT_RLOS_WORKSTEP_EVENT","WORKSTEP_FLAG",""
