"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_CLOS_APPLICATION","DIMENSION_KEY","false","number","PK","PK — Driving: NG_SB_CLOS_EXTTABLE. Bảng master của hồ sơ CLOS — 1 hồ sơ = đúng 1 dòng (WI_NAME là khóa chính)","","generated","","","Sinh bằng Oracle sequence tại SB_DWH. Đổi driving từ NG_SB_CLOS_CUST_INFO sang NG_SB_CLOS_EXTTABLE (review 2026-09-22) — CUST_INFO có grain thật là WI_NAME+EMP_CODE (phát sinh nhiều dòng khi đổi nhân viên xử lý), không đảm bảo 1:1 WI_NAME như EXTTABLE. Xem CLOS - Metadata.xlsx, sheet 2. Table Review"
"DIM_CLOS_APPLICATION","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'CLOS' sau khi tách vật lý CLOS/RLOS","'CLOS'","computed","","",""
"DIM_CLOS_APPLICATION","APPLICATION_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng — dùng để Fact lookup vào DIM này","= DIMENSION_KEY (cùng dòng)","generated","","","Mặc định -1 nếu không có giá trị phù hợp"
"DIM_CLOS_APPLICATION","WI_NAME","false","string(100)","NK","Business key — mã hồ sơ tín dụng CLOS","NG_SB_CLOS_EXTTABLE.WI_NAME","direct","NG_SB_CLOS_EXTTABLE","WI_NAME","UNIQUE (WI_NAME, EFF_DATE). Khóa chính thật của NG_SB_CLOS_EXTTABLE, không cần khử trùng lặp"
"DIM_CLOS_APPLICATION","LOANCASEID","true","string(100)","","Mã khoản vay gắn với hồ sơ, giữ nguyên văn không lọc (DTM lọc riêng theo nhu cầu BC11)","NG_SB_CLOS_EXTTABLE.LOANCASEID","direct","NG_SB_CLOS_EXTTABLE","LOANCASEID","Cùng bảng driving, không cần JOIN nữa"
"DIM_CLOS_APPLICATION","FIRST_APPROVED_WI_NAME","true","string(100)","","Mã hồ sơ cha (BC11.APPROVAL_WINAME_LOS)","MIN(NG_SB_CLOS_EXTTABLE.WI_NAME) GROUP BY NG_SB_CLOS_EXTTABLE.LOANCASEID","computed","NG_SB_CLOS_EXTTABLE","WI_NAME","Đúng nguyên văn SRS BC11, không lọc WORKSTEP/DECISION nào thêm. review 2026-09-22: aggregate hoàn toàn trên chính driving table (không cần đọc bảng khác) nên viết gọn dạng GROUP BY trực tiếp, không cần LEFT JOIN + subquery self-join lại chính driving table — gán cho mọi hồ sơ cùng LOANCASEID"
"DIM_CLOS_APPLICATION","FIRST_APPROVED_DATE","true","date","","Ngày phê duyệt (BC11.APPROVAL_DATE)","LEFT JOIN (SELECT NG_SB_CLOS_ENTRY_EXIT.WINAME, MAX(NG_SB_CLOS_ENTRY_EXIT.EXITDATE) AS FIRST_APPROVED_DATE FROM NG_SB_CLOS_ENTRY_EXIT WHERE NG_SB_CLOS_ENTRY_EXIT.USERNAME IS NOT NULL AND NG_SB_CLOS_ENTRY_EXIT.WORKSTEP IN ('CreditApproval', 'CreditCommittee') AND NG_SB_CLOS_ENTRY_EXIT.DECISION IN ('Submit', 'Send To HOSupport', 'Send To PostSanction') GROUP BY NG_SB_CLOS_ENTRY_EXIT.WINAME) NG_SB_CLOS_ENTRY_EXIT ON NG_SB_CLOS_ENTRY_EXIT.WINAME = NG_SB_CLOS_EXTTABLE.WI_NAME → NG_SB_CLOS_ENTRY_EXIT.FIRST_APPROVED_DATE","computed","NG_SB_CLOS_ENTRY_EXIT","EXITDATE","Không đi cặp cùng WI_NAME với FIRST_APPROVED_WI_NAME — SRS định nghĩa 2 cột độc lập, khác bảng nguồn. review 2026-09-22: chuẩn hoá dạng LEFT JOIN + subquery, bỏ ký hiệu <current> (xem self_review.md mục RV — etl_logic dùng <current>)"
"DIM_CLOS_APPLICATION","STREAM","true","string(200)","","Luồng nghiệp vụ của hồ sơ","LEFT JOIN NG_SB_CLOS_APPROVAL ON NG_SB_CLOS_APPROVAL.WI_NAME = NG_SB_CLOS_EXTTABLE.WI_NAME → NG_SB_CLOS_APPROVAL.STREAM","join","NG_SB_CLOS_APPROVAL","STREAM","Grain NG_SB_CLOS_APPROVAL = 1 dòng/hồ sơ nên không cần subquery khử trùng lặp như NG_SB_CLOS_CUST_INFO. review 2026-09-22: viết rõ mệnh đề JOIN trong etl_logic thay vì chỉ ghi source_table.source_column"
"DIM_CLOS_APPLICATION","APPROVAL_TYPE","true","string(200)","","Loại luồng phê duyệt","LEFT JOIN NG_SB_CLOS_APPROVAL ON NG_SB_CLOS_APPROVAL.WI_NAME = NG_SB_CLOS_EXTTABLE.WI_NAME → NG_SB_CLOS_APPROVAL.STREAM","join","NG_SB_CLOS_APPROVAL","STREAM","Đọc theo nghĩa luồng phê duyệt tại bước kiểm soát nhập liệu — cùng cột nguồn với STREAM. review 2026-09-22: viết rõ mệnh đề JOIN trong etl_logic"
"DIM_CLOS_APPLICATION","CHANGE_REQUEST","true","string(200)","","Yêu cầu điều chỉnh hồ sơ","LEFT JOIN NG_SB_CLOS_CHANGEREQ ON NG_SB_CLOS_CHANGEREQ.WI_NAME = NG_SB_CLOS_EXTTABLE.WI_NAME → NG_SB_CLOS_CHANGEREQ.CHANGE_REQUEST","join","NG_SB_CLOS_CHANGEREQ","CHANGE_REQUEST","Grain NG_SB_CLOS_CHANGEREQ = 1 dòng/hồ sơ theo khóa nghiệp vụ WI_NAME (dữ liệu đồng bộ lấy bản mới nhất theo thời gian cập nhật — xem CLOS - Metadata.xlsx) nên không cần subquery khử trùng lặp. review 2026-09-22: viết rõ mệnh đề JOIN trong etl_logic"
