"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_CLOS_CUSTOMER","DIMENSION_KEY","false","number","PK","PK — Driving: NG_SB_CLOS_CUST_INFO","","generated","","","Sinh bằng Oracle sequence tại SB_DWH"
"DIM_CLOS_CUSTOMER","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'CLOS'","'CLOS'","computed","","",""
"DIM_CLOS_CUSTOMER","CUSTOMER_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng — dùng để Fact lookup vào DIM này","= DIMENSION_KEY (cùng dòng)","generated","","","Mặc định -1"
"DIM_CLOS_CUSTOMER","WI_NAME","false","string(100)","NK","Business key — mã hồ sơ CLOS, quan hệ 1:1 với hồ sơ","NG_SB_CLOS_CUST_INFO.WI_NAME","direct","NG_SB_CLOS_CUST_INFO","WI_NAME","LEFT JOIN thẳng, không cần tiêu chí chọn dòng — người dùng đã xác nhận mỗi hồ sơ chỉ có đúng 1 dòng trên NG_SB_CLOS_CUST_INFO"
"DIM_CLOS_CUSTOMER","FULL_NAME","true","string(200)","","Tên doanh nghiệp khách hàng","NG_SB_CLOS_CUST_INFO.CUSTOMER_NAME","direct","NG_SB_CLOS_CUST_INFO","CUSTOMER_NAME",""
"DIM_CLOS_CUSTOMER","ZONE","true","string(200)","","Khu vực/vùng quản lý tự khai theo hồ sơ (BC1/BC2.ZONE)","NG_SB_CLOS_CUST_INFO.ZONEE","direct","NG_SB_CLOS_CUST_INFO","ZONEE","LÀM GIÀU review 2026-09-21, đóng gap tài liệu BC1/BC2. Đổi tên bỏ chữ E cuối. Khác bản chất với DIM_LOS_ORG_UNIT.ZONE (mã nội bộ chuẩn hóa, dùng làm khóa join) — đây là giá trị tự khai gắn với hồ sơ/khách hàng"
"DIM_CLOS_CUSTOMER","APP_DATE","true","date","","Ngày khởi tạo/nộp hồ sơ","NG_SB_CLOS_CUST_INFO.APP_DATE","direct","NG_SB_CLOS_CUST_INFO","APP_DATE","LÀM GIÀU review 2026-09-21"
"DIM_CLOS_CUSTOMER","LOAN_PURPOSE","true","string(200)","","Mục đích vay (có/không tạo doanh thu)","NG_SB_CLOS_CUST_INFO.LOAN_PURPOSE","direct","NG_SB_CLOS_CUST_INFO","LOAN_PURPOSE","LÀM GIÀU"
"DIM_CLOS_CUSTOMER","CUST_CATEGORY","true","string(200)","","Phân loại khách hàng","NG_SB_CLOS_CUST_INFO.CUST_CATEGORY","direct","NG_SB_CLOS_CUST_INFO","CUST_CATEGORY","LÀM GIÀU. Metadata: dữ liệu ghi nhận cả loại hình pháp lý lẫn giá trị dạng mã số trong cùng cột — cần BA xác nhận quy tắc chuẩn"
"DIM_CLOS_CUSTOMER","PRECUSTGROUP","true","string(100)","","Phân khúc khách hàng trước xử lý","NG_SB_CLOS_CUST_INFO.PRECUSTGROUP","direct","NG_SB_CLOS_CUST_INFO","PRECUSTGROUP","LÀM GIÀU, cùng bộ giá trị với CUST_GROUP (SME/MSME/JSC/SOC/NBFI/FDI). Cần BA xác nhận khác biệt cụ thể với CUST_GROUP trên DIM_CLOS_APPLICATION"
"DIM_CLOS_CUSTOMER","LG_REQ","true","string(10)","","Cờ yêu cầu bảo lãnh (Letter of Guarantee)","NG_SB_CLOS_CUST_INFO.LG_REQ","direct","NG_SB_CLOS_CUST_INFO","LG_REQ","LÀM GIÀU (boolean true/false). Cần BA xác nhận ý nghĩa và điều kiện phát sinh cụ thể"
"DIM_CLOS_CUSTOMER","FI_REQ","true","string(10)","","Cờ yêu cầu (tương tự LG_REQ)","NG_SB_CLOS_CUST_INFO.FI_REQ","direct","NG_SB_CLOS_CUST_INFO","FI_REQ","LÀM GIÀU (boolean true/false). Cần BA xác nhận ý nghĩa"
"DIM_CLOS_CUSTOMER","PHONE_REQ","true","string(10)","","Cờ yêu cầu xác minh điện thoại (tương tự LG_REQ)","NG_SB_CLOS_CUST_INFO.PHONE_REQ","direct","NG_SB_CLOS_CUST_INFO","PHONE_REQ","LÀM GIÀU (boolean true/false). Cần BA xác nhận ý nghĩa"
"DIM_CLOS_CUSTOMER","EMAIL","true","string(200)","","Email liên hệ của khách hàng/hồ sơ","NG_SB_CLOS_CUST_INFO.EMAIL","direct","NG_SB_CLOS_CUST_INFO","EMAIL","LÀM GIÀU"
"DIM_CLOS_CUSTOMER","DISTANCE_BRANCH_CUSTOMER","true","string(100)","","Dải khoảng cách từ khách hàng đến chi nhánh xử lý (đã phân nhóm sẵn)","NG_SB_CLOS_CUST_INFO.DISTANCE_BRANCH_CUSTOMER","direct","NG_SB_CLOS_CUST_INFO","DISTANCE_BRANCH_CUSTOMER","LÀM GIÀU. Cần BA xác nhận đơn vị đo (nghi vấn km)"
"DIM_CLOS_CUSTOMER","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","CDC/thay đổi thuộc tính khách hàng — gán = v_batch_date","scd2","NG_SB_CLOS_CUST_INFO","","review 2026-09-22: đổi biến tham số ngày ETL từ :P_DATE sang v_batch_date cho khớp quy ước biến batch chuẩn"
"DIM_CLOS_CUSTOMER","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","NULL","scd2","","","Đóng bằng EFF_DATE(bản ghi mới) - 1 giây khi phát hiện thay đổi"
