"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_CLOS_EXCEPTION_REASON","DIMENSION_KEY","false","number","PK","PK — Driving: NG_SB_CLOS_MAS_EXCEPTION","","generated","","","Sinh bằng Oracle sequence tại SB_DWH"
"DIM_CLOS_EXCEPTION_REASON","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'CLOS'","'CLOS'","computed","","",""
"DIM_CLOS_EXCEPTION_REASON","EXCEPTION_REASON_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng — dùng để Fact lookup vào DIM này","= DIMENSION_KEY (cùng dòng)","generated","","","Mặc định -1 nếu không có giá trị phù hợp"
"DIM_CLOS_EXCEPTION_REASON","ACTIVITYNAME","false","string(200)","NK","Business key — tên bước phát sinh nội dung cần làm rõ","NG_SB_CLOS_MAS_EXCEPTION.ACTIVITYNAME","direct","NG_SB_CLOS_MAS_EXCEPTION","ACTIVITYNAME",""
"DIM_CLOS_EXCEPTION_REASON","DECISION_CODE","false","string(200)","NK","Business key — mã quyết định tại bước xử lý","NG_SB_CLOS_MAS_EXCEPTION.DECISION","direct","NG_SB_CLOS_MAS_EXCEPTION","DECISION","Đổi tên thêm hậu tố CODE cho thống nhất với DIM_CLOS_DECISION"
"DIM_CLOS_EXCEPTION_REASON","EXCEPTION_CATEGORY","false","string(500)","NK","Business key — phân nhóm nội dung cần làm rõ","NG_SB_CLOS_MAS_EXCEPTION.EXCEPTION_CATEGORY","direct","NG_SB_CLOS_MAS_EXCEPTION","EXCEPTION_CATEGORY",""
"DIM_CLOS_EXCEPTION_REASON","EXCEPTION_NAME","false","string(500)","NK","Business key — tên nội dung cần làm rõ","NG_SB_CLOS_MAS_EXCEPTION.EXCEPTION_NAME","direct","NG_SB_CLOS_MAS_EXCEPTION","EXCEPTION_NAME",""
"DIM_CLOS_EXCEPTION_REASON","EXCEPTION_CODE","true","string(50)","","Mã nội dung cần làm rõ","CASE WHEN INSTR(NG_SB_CLOS_MAS_EXCEPTION.EXCEPTION_CATEGORY, ':') > 0 THEN REGEXP_SUBSTR(NG_SB_CLOS_MAS_EXCEPTION.EXCEPTION_CATEGORY, '^[^:]+') ELSE NULL END","computed","NG_SB_CLOS_MAS_EXCEPTION","EXCEPTION_CATEGORY",""
"DIM_CLOS_EXCEPTION_REASON","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","CDC — so sánh bản ghi cũ/mới của NG_SB_CLOS_MAS_EXCEPTION tại mỗi lần ETL chạy, gán = v_batch_date","scd2","NG_SB_CLOS_MAS_EXCEPTION","","Bảng LOẠI 1, khóa CDC khai đủ tổ hợp khóa tự nhiên"
"DIM_CLOS_EXCEPTION_REASON","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","NULL","scd2","","","Đóng bằng EFF_DATE(bản ghi mới) - 1 giây khi CDC phát hiện thay đổi"
