"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_CLOS_LEGAL_PARTY","DIMENSION_KEY","false","number","PK","PK — Driving: NG_SB_CLOS_CUST_INFO_LEGAL","","generated","","","Sinh bằng Oracle sequence tại SB_DWH"
"DIM_CLOS_LEGAL_PARTY","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'CLOS'","'CLOS'","computed","","",""
"DIM_CLOS_LEGAL_PARTY","LEGAL_PARTY_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng — dùng để Fact lookup vào DIM này","= DIMENSION_KEY (cùng dòng)","generated","","","Mặc định -1"
"DIM_CLOS_LEGAL_PARTY","WI_NAME","false","string(100)","NK","Business key (1/5) — mã hồ sơ CLOS. Quan hệ 1:N với hồ sơ, N không giới hạn","NG_SB_CLOS_CUST_INFO_LEGAL.WI_NAME","direct","NG_SB_CLOS_CUST_INFO_LEGAL","WI_NAME","1 người có thể giữ nhiều vai trò trên cùng hồ sơ"
"DIM_CLOS_LEGAL_PARTY","ID_NUMBER","false","string(100)","NK","Business key (2/5) — số giấy tờ định danh","NG_SB_CLOS_CUST_INFO_LEGAL.ID_NUMBER","direct","NG_SB_CLOS_CUST_INFO_LEGAL","ID_NUMBER",""
"DIM_CLOS_LEGAL_PARTY","FULL_NAME","true","string(200)","NK","Business key (3/5) — họ tên/tên đối tượng. Nằm trong khóa theo cơ chế full-row-key, không phải vì bản thân có ý nghĩa định danh","NG_SB_CLOS_CUST_INFO_LEGAL.NAMEE","direct","NG_SB_CLOS_CUST_INFO_LEGAL","NAMEE","Xem ghi chú SCD2 full-row-key bên dưới"
"DIM_CLOS_LEGAL_PARTY","OBJ_TYPE","true","string(100)","NK","Business key (4/5) — loại đối tượng của giấy tờ pháp lý. Bắt buộc trong khóa vì 1 người (cùng ID_NUMBER) có thể giữ nhiều vai trò khác nhau trên cùng hồ sơ","NG_SB_CLOS_CUST_INFO_LEGAL.OBJ_TYPE","direct","NG_SB_CLOS_CUST_INFO_LEGAL","OBJ_TYPE","Thiếu OBJ_TYPE trong khóa sẽ khiến ETL SCD2 hiểu nhầm 2 vai trò song song là 2 phiên bản của cùng 1 bản ghi, làm mất dữ liệu 1 vai trò"
"DIM_CLOS_LEGAL_PARTY","LEGAL_DOC","true","string(100)","NK","Business key (5/5) — tên loại giấy tờ pháp lý. Nằm trong khóa theo cơ chế full-row-key","NG_SB_CLOS_CUST_INFO_LEGAL.LEGAL_DOC","direct","NG_SB_CLOS_CUST_INFO_LEGAL","LEGAL_DOC","Xem ghi chú SCD2 full-row-key bên dưới"
"DIM_CLOS_LEGAL_PARTY","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2) — cơ chế full-row-key","Tổ hợp 5 cột NK (WI_NAME, ID_NUMBER, FULL_NAME, OBJ_TYPE, LEGAL_DOC) mới xuất hiện (kể cả chỉ khác 1 ký tự so với dòng đã có) → INSERT dòng mới, EFF_DATE = v_batch_date","scd2","NG_SB_CLOS_CUST_INFO_LEGAL","","review 2026-09-17: NG_SB_CLOS_CUST_INFO_LEGAL có KEY CDC RỖNG (DS_BANG_202608.xlsx) — không có định danh nghiệp vụ ổn định độc lập với nội dung mô tả. SCD2 so khớp bằng toàn bộ 5 cột nghiệp vụ thay vì CDC nguồn. review 2026-09-22: đổi biến tham số ngày ETL từ :P_DATE sang v_batch_date cho khớp quy ước biến batch chuẩn"
"DIM_CLOS_LEGAL_PARTY","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","Tổ hợp 5 cột NK đang hiện hành (EXP_DATE IS NULL) nhưng KHÔNG còn xuất hiện ở lần đọc nguồn mới nhất → gán EXP_DATE = v_batch_date, đóng phiên bản","scd2","","","Không có khái niệm UPDATE tại chỗ — mọi thay đổi nội dung (kể cả sửa chính tả) đều thể hiện thành đóng phiên bản cũ + mở phiên bản mới. Không làm thay đổi cấu trúc DIMENSION_KEY/LEGAL_PARTY_SK dùng làm FK ở FCT_CLOS_APPLICATION_PARTY/DIM_CLOS_CUSTOMER. review 2026-09-22: đổi biến tham số ngày ETL từ :P_DATE sang v_batch_date"
