"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_LOS_ORG_UNIT","DIMENSION_KEY","false","number","PK","PK — Driving: NG_SB_RLOS_MAS_COMPANY","","generated","","","Sinh bằng Oracle sequence tại SB_DWH"
"DIM_LOS_ORG_UNIT","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, dùng chung cho cả CLOS và RLOS","'LOS'","computed","","","Luôn cố định giá trị 'LOS'"
"DIM_LOS_ORG_UNIT","ORG_UNIT_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng — dùng để Fact lookup vào DIM này","= DIMENSION_KEY (cùng dòng)","generated","","","Mặc định -1 (dòng Unknown) nếu không có giá trị phù hợp"
"DIM_LOS_ORG_UNIT","COMPANY_CODE","false","string(50)","","Business key — mã đơn vị kinh doanh (PGD/CN, mức chi tiết nhất), dùng làm join-anchor","NG_SB_RLOS_MAS_COMPANY.COMPANY_CODE","direct","NG_SB_RLOS_MAS_COMPANY","COMPANY_CODE","review 2026-09-18: đổi nguồn từ hồ sơ LOS (NG_SB_CLOS_CUST_INFO/NG_SB_RLOS_APPLICANT_GENERAL) sang bảng danh mục thật NG_SB_RLOS_MAS_COMPANY, dùng chung cho cả CLOS/RLOS"
"DIM_LOS_ORG_UNIT","COMPANY_NAME","true","string(200)","","Tên đơn vị kinh doanh","NG_SB_RLOS_MAS_COMPANY.COMPANY_NAME_VN","direct","NG_SB_RLOS_MAS_COMPANY","COMPANY_NAME_VN",""
"DIM_LOS_ORG_UNIT","COMPANY_ADDRESS","true","string(500)","","Địa chỉ đơn vị kinh doanh","NG_SB_RLOS_MAS_COMPANY.COMPANY_ADDRESS_VN","direct","NG_SB_RLOS_MAS_COMPANY","COMPANY_ADDRESS_VN","Mới bổ sung review 2026-09-18, chưa xác nhận báo cáo nào cần — bê theo nguyên tắc thiết kế dư thừa ở Dimension"
"DIM_LOS_ORG_UNIT","COMPANY_EMAIL","true","string(200)","","Email đơn vị kinh doanh","NG_SB_RLOS_MAS_COMPANY.COMPANY_EMAIL","direct","NG_SB_RLOS_MAS_COMPANY","COMPANY_EMAIL","Mới bổ sung review 2026-09-18, chưa xác nhận báo cáo nào cần"
"DIM_LOS_ORG_UNIT","ZONE","true","number","","Mã khu vực nội bộ theo LOS (khác REGION_CODE của MAS_REGION)","NG_SB_RLOS_MAS_COMPANY.ZONE","direct","NG_SB_RLOS_MAS_COMPANY","ZONE","Mới bổ sung review 2026-09-18"
"DIM_LOS_ORG_UNIT","BRANCH_CODE","true","string(50)","","Mã chi nhánh","JOIN NG_SB_RLOS_MAS_BRANCH ON NG_SB_RLOS_MAS_BRANCH.BRANCH_ID = NG_SB_RLOS_MAS_COMPANY.BRANCH_ID → NG_SB_RLOS_MAS_BRANCH.BRANCH_ID","join","NG_SB_RLOS_MAS_BRANCH","BRANCH_ID","LEFT JOIN theo BRANCH_ID (review 2026-09-18)"
"DIM_LOS_ORG_UNIT","BRANCH_NAME","true","string(200)","","Tên chi nhánh","JOIN NG_SB_RLOS_MAS_BRANCH ON NG_SB_RLOS_MAS_BRANCH.BRANCH_ID = NG_SB_RLOS_MAS_COMPANY.BRANCH_ID → NG_SB_RLOS_MAS_BRANCH.BRANCH_NAME_VN","join","NG_SB_RLOS_MAS_BRANCH","BRANCH_NAME_VN",""
"DIM_LOS_ORG_UNIT","CITY","true","string(100)","","Mã tỉnh/thành phố của chi nhánh","JOIN NG_SB_RLOS_MAS_BRANCH ON NG_SB_RLOS_MAS_BRANCH.BRANCH_ID = NG_SB_RLOS_MAS_COMPANY.BRANCH_ID → NG_SB_RLOS_MAS_BRANCH.CITY","join","NG_SB_RLOS_MAS_BRANCH","CITY","Mới bổ sung review 2026-09-18"
"DIM_LOS_ORG_UNIT","DISTRICT","true","string(100)","","Mã quận/huyện của chi nhánh","JOIN NG_SB_RLOS_MAS_BRANCH ON NG_SB_RLOS_MAS_BRANCH.BRANCH_ID = NG_SB_RLOS_MAS_COMPANY.BRANCH_ID → NG_SB_RLOS_MAS_BRANCH.DISTRICT","join","NG_SB_RLOS_MAS_BRANCH","DISTRICT","Mới bổ sung review 2026-09-18"
"DIM_LOS_ORG_UNIT","REGION_CODE","true","number","","Mã khu vực địa lý","JOIN NG_SB_RLOS_MAS_BRANCH ON NG_SB_RLOS_MAS_BRANCH.BRANCH_ID = NG_SB_RLOS_MAS_COMPANY.BRANCH_ID → JOIN NG_SB_RLOS_MAS_REGION ON NG_SB_RLOS_MAS_REGION.REGION_CODE = NG_SB_RLOS_MAS_BRANCH.REGION → NG_SB_RLOS_MAS_REGION.REGION_CODE","join","NG_SB_RLOS_MAS_REGION","REGION_CODE","Multi-hop: MAS_COMPANY → MAS_BRANCH (theo BRANCH_ID) → MAS_REGION (theo REGION_CODE = BRANCH.REGION), review 2026-09-18"
"DIM_LOS_ORG_UNIT","REGION_NAME","true","string(200)","","Tên khu vực địa lý","JOIN NG_SB_RLOS_MAS_BRANCH ON NG_SB_RLOS_MAS_BRANCH.BRANCH_ID = NG_SB_RLOS_MAS_COMPANY.BRANCH_ID → JOIN NG_SB_RLOS_MAS_REGION ON NG_SB_RLOS_MAS_REGION.REGION_CODE = NG_SB_RLOS_MAS_BRANCH.REGION → NG_SB_RLOS_MAS_REGION.REGION_NAME_VN","join","NG_SB_RLOS_MAS_REGION","REGION_NAME_VN","Multi-hop, cùng đường JOIN với REGION_CODE"
"DIM_LOS_ORG_UNIT","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","CDC — so sánh bản ghi cũ/mới của NG_SB_RLOS_MAS_COMPANY/MAS_BRANCH/MAS_REGION tại mỗi lần ETL chạy, gán = ngày phát hiện thay đổi (:P_DATE)","scd2","NG_SB_RLOS_MAS_COMPANY","","3 bảng nguồn không có KEY CDC trong DS_BANG_202608.xlsx và không có cột EFF_DATE khai báo tay như MAP_* — EFF_DATE do ETL tự tính qua CDC, khác cơ chế DIM_LOS_USER/DIM_CLOS_PRODUCT... (dùng EFF_DATE nhập tay trên MAP_)"
"DIM_LOS_ORG_UNIT","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","NULL","scd2","","","Đóng bằng EFF_DATE(bản ghi mới phát hiện qua CDC) - 1 giây khi CDC phát hiện thay đổi — đây là logic UPDATE khi đóng bản cũ, không phải giá trị khởi tạo khi INSERT"
