"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_LOS_USER","DIMENSION_KEY","false","number","PK","PK — Driving: NG_SB_RLOS_MAS_USER","","generated","","","Sinh bằng Oracle sequence tại SB_DWH"
"DIM_LOS_USER","DATASOURCE","false","string(10)","","Nguồn hệ dùng chung cho cả hai hệ CLOS và RLOS — cột kỹ thuật","'LOS'","computed","","","Luôn cố định giá trị 'LOS'"
"DIM_LOS_USER","USER_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng — dùng để Fact lookup vào DIM này","= DIMENSION_KEY (cùng dòng)","generated","","","Mặc định -1 (dòng Unknown) nếu không có giá trị phù hợp"
"DIM_LOS_USER","USERNAME","false","string(100)","NK","Business key — tên tài khoản cán bộ xử lý hồ sơ trên ứng dụng LOS","NG_SB_RLOS_MAS_USER.LOGIN_ID","direct","NG_SB_RLOS_MAS_USER","LOGIN_ID","UNIQUE (USERNAME, EFF_DATE)"
"DIM_LOS_USER","EMPLOYEE_NAME","true","string(200)","","Tên nhân viên","NG_SB_RLOS_MAS_USER.EMPLOYEE_NAME","direct","NG_SB_RLOS_MAS_USER","EMPLOYEE_NAME","Mới bổ sung review 2026-09-18 — thiết kế dư thừa ở Dimension"
"DIM_LOS_USER","EMPLOYEE_STATUS","true","string(50)","","Trạng thái tài khoản","NG_SB_RLOS_MAS_USER.EMPLOYEE_STATUS","direct","NG_SB_RLOS_MAS_USER","EMPLOYEE_STATUS",""
"DIM_LOS_USER","EMAIL","true","string(200)","","Email","NG_SB_RLOS_MAS_USER.EMAIL","direct","NG_SB_RLOS_MAS_USER","EMAIL",""
"DIM_LOS_USER","IP_PHONE","true","string(50)","","Số máy nội bộ","NG_SB_RLOS_MAS_USER.IP_PHONE","direct","NG_SB_RLOS_MAS_USER","IP_PHONE",""
"DIM_LOS_USER","SB_CODE","true","string(50)","","Mã SB của cán bộ","NG_SB_RLOS_MAS_USER.SB_CODE","direct","NG_SB_RLOS_MAS_USER","SB_CODE",""
"DIM_LOS_USER","ID_CUSTOMER","true","string(50)","","Mã khách hàng gắn với tài khoản (nếu có)","NG_SB_RLOS_MAS_USER.ID_CUSTOMER","direct","NG_SB_RLOS_MAS_USER","ID_CUSTOMER",""
"DIM_LOS_USER","COMPANY_CODE","true","string(50)","","Mã chi nhánh/ĐVKD quản lý tài khoản","NG_SB_RLOS_MAS_USER.COMPANY_CODE","direct","NG_SB_RLOS_MAS_USER","COMPANY_CODE",""
"DIM_LOS_USER","COMPANY_NAME","true","string(200)","","Tên chi nhánh/ĐVKD quản lý tài khoản","NG_SB_RLOS_MAS_USER.COMPANY_NAME","direct","NG_SB_RLOS_MAS_USER","COMPANY_NAME",""
"DIM_LOS_USER","TITLE","true","string(100)","","Danh xưng/chức danh","NG_SB_RLOS_MAS_USER.TITLE","direct","NG_SB_RLOS_MAS_USER","TITLE",""
"DIM_LOS_USER","DEPARTMENT_CODE","true","string(50)","","Mã phòng ban","NG_SB_RLOS_MAS_USER.DEPARTMENT_CODE","direct","NG_SB_RLOS_MAS_USER","DEPARTMENT_CODE",""
"DIM_LOS_USER","DEPARTMENT_NAME","true","string(200)","","Tên phòng ban","NG_SB_RLOS_MAS_USER.DEPARTMENT_NAME","direct","NG_SB_RLOS_MAS_USER","DEPARTMENT_NAME",""
"DIM_LOS_USER","UWMAKER_GROUP","true","string(100)","","Nhóm thẩm định","NG_SB_RLOS_MAS_USER.UWMAKER_GROUP","direct","NG_SB_RLOS_MAS_USER","UWMAKER_GROUP","Chưa xác nhận báo cáo nào cần — theo dõi Section 3 #51"
"DIM_LOS_USER","UWCHECKER_GROUP","true","string(100)","","Nhóm kiểm soát thẩm định","NG_SB_RLOS_MAS_USER.UWCHECKER_GROUP","direct","NG_SB_RLOS_MAS_USER","UWCHECKER_GROUP","Chưa xác nhận báo cáo nào cần — theo dõi Section 3 #51"
"DIM_LOS_USER","AP_GROUP","true","string(100)","","Nhóm phê duyệt","NG_SB_RLOS_MAS_USER.AP_GROUP","direct","NG_SB_RLOS_MAS_USER","AP_GROUP","Chưa xác nhận báo cáo nào cần — theo dõi Section 3 #51"
"DIM_LOS_USER","PREDISB_MAKER_GROUP","true","string(100)","","Nhóm soạn thảo hồ sơ XLTD","NG_SB_RLOS_MAS_USER.PREDISB_MAKER_GROUP","direct","NG_SB_RLOS_MAS_USER","PREDISB_MAKER_GROUP","Chưa xác nhận báo cáo nào cần — theo dõi Section 3 #51"
"DIM_LOS_USER","PREDISB_GROUP","true","string(100)","","Nhóm kiểm soát soạn thảo hồ sơ XLTD","NG_SB_RLOS_MAS_USER.PREDISB_GROUP","direct","NG_SB_RLOS_MAS_USER","PREDISB_GROUP","Chưa xác nhận báo cáo nào cần — theo dõi Section 3 #51"
"DIM_LOS_USER","DISB_MAKER_GROUP","true","string(100)","","Nhóm giải ngân","NG_SB_RLOS_MAS_USER.DISB_MAKER_GROUP","direct","NG_SB_RLOS_MAS_USER","DISB_MAKER_GROUP","Chưa xác nhận báo cáo nào cần — theo dõi Section 3 #51"
"DIM_LOS_USER","DISB_CHECKER_GROUP","true","string(100)","","Nhóm kiểm soát giải ngân","NG_SB_RLOS_MAS_USER.DISB_CHECKER_GROUP","direct","NG_SB_RLOS_MAS_USER","DISB_CHECKER_GROUP","Chưa xác nhận báo cáo nào cần — theo dõi Section 3 #51"
"DIM_LOS_USER","HUB","true","string(100)","","Đơn vị/cụm xử lý","NG_SB_RLOS_MAS_USER.HUB","direct","NG_SB_RLOS_MAS_USER","HUB","Chưa xác nhận báo cáo nào cần — theo dõi Section 3 #51"
"DIM_LOS_USER","BRANCH_MANAGER_EMAIL","true","string(200)","","Email giám đốc chi nhánh quản lý tài khoản","NG_SB_RLOS_MAS_USER.BRANCH_MANAGER_EMAIL","direct","NG_SB_RLOS_MAS_USER","BRANCH_MANAGER_EMAIL",""
"DIM_LOS_USER","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","CDC — so sánh bản ghi cũ/mới của NG_SB_RLOS_MAS_USER tại mỗi lần ETL chạy, gán = v_batch_date","scd2","NG_SB_RLOS_MAS_USER","","MAS_USER không có KEY CDC/cột EFF_DATE khai báo tay như MAP_LOS_USER trước đây — EFF_DATE do ETL tự tính qua CDC. review 2026-09-22: đổi biến tham số ngày ETL từ :P_DATE sang v_batch_date cho khớp quy ước biến batch chuẩn"
"DIM_LOS_USER","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","NULL","scd2","","","Đóng bằng EFF_DATE(bản ghi mới phát hiện qua CDC) - 1 giây khi CDC phát hiện thay đổi — logic UPDATE khi đóng bản cũ, không phải giá trị khởi tạo khi INSERT"
