"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_RLOS_APPLICANT","DIMENSION_KEY","false","number","PK","PK — Driving: NG_SB_RLOS_APPLICANT_GENERAL","","generated","","","Sinh bằng Oracle sequence tại SB_DWH"
"DIM_RLOS_APPLICANT","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'RLOS'","'RLOS'","computed","","",""
"DIM_RLOS_APPLICANT","APPLICANT_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng — dùng để Fact lookup vào DIM này","= DIMENSION_KEY (cùng dòng)","generated","","","Mặc định -1"
"DIM_RLOS_APPLICANT","WI_NAME","false","string(100)","NK","Business key — mã hồ sơ RLOS, quan hệ 1:1 với hồ sơ","NG_SB_RLOS_APPLICANT_GENERAL.WI_NAME","direct","NG_SB_RLOS_APPLICANT_GENERAL","WI_NAME",""
"DIM_RLOS_APPLICANT","FULL_NAME","true","string(200)","","Họ tên đầy đủ","NG_SB_RLOS_APPLICANT_GENERAL.FULL_NAME","direct","NG_SB_RLOS_APPLICANT_GENERAL","FULL_NAME",""
"DIM_RLOS_APPLICANT","DATE_OF_BIRTH","true","date","","Ngày sinh","NG_SB_RLOS_APPLICANT_GENERAL.DOB","direct","NG_SB_RLOS_APPLICANT_GENERAL","DOB",""
"DIM_RLOS_APPLICANT","GENDER","true","string(20)","","Giới tính","NG_SB_RLOS_APPLICANT_GENERAL.GENDER","direct","NG_SB_RLOS_APPLICANT_GENERAL","GENDER",""
"DIM_RLOS_APPLICANT","MARRIAGE_STATUS","true","string(100)","","Tình trạng hôn nhân","NG_SB_RLOS_APPLICANT_DETAIL.MARR_STATUS","join","NG_SB_RLOS_APPLICANT_DETAIL","MARR_STATUS","LEFT JOIN theo WI_NAME"
"DIM_RLOS_APPLICANT","EDUCATION_LEVEL","true","string(100)","","Trình độ học vấn","NG_SB_RLOS_APPLICANT_DETAIL.EDU_LEVEL","join","NG_SB_RLOS_APPLICANT_DETAIL","EDU_LEVEL","LEFT JOIN theo WI_NAME"
"DIM_RLOS_APPLICANT","VEHICLE","true","string(100)","","Phương tiện đi lại","NG_SB_RLOS_APPLICANT_DETAIL.VEHICLE","join","NG_SB_RLOS_APPLICANT_DETAIL","VEHICLE","LEFT JOIN theo WI_NAME"
"DIM_RLOS_APPLICANT","PERM_ADDRESS","true","string(500)","","Địa chỉ thường trú","NG_SB_RLOS_APPLICANT_DETAIL.PERM_ADD","join","NG_SB_RLOS_APPLICANT_DETAIL","PERM_ADD","LEFT JOIN theo WI_NAME"
"DIM_RLOS_APPLICANT","CURR_HOUSE_NO","true","string(200)","","Số nhà thuộc địa chỉ hiện tại","NG_SB_RLOS_APPLICANT_DETAIL.HOUSNO_CURR_RES","join","NG_SB_RLOS_APPLICANT_DETAIL","HOUSNO_CURR_RES","LEFT JOIN theo WI_NAME"
"DIM_RLOS_APPLICANT","CURR_WARD","true","string(100)","","Phường xã thuộc địa chỉ hiện tại","NG_SB_RLOS_APPLICANT_DETAIL.WARD_CURR_RES","join","NG_SB_RLOS_APPLICANT_DETAIL","WARD_CURR_RES","LEFT JOIN theo WI_NAME"
"DIM_RLOS_APPLICANT","GEO_SK","false","number","","Khóa tới DIM_RLOS_GEO, lookup theo CITY_CURR_RES + DISTRICT_CURR_RES","JOIN DIM_RLOS_GEO ON CITY_CODE=NG_SB_RLOS_APPLICANT_DETAIL.CITY_CURR_RES AND DISTRICT_CODE=NG_SB_RLOS_APPLICANT_DETAIL.DISTRICT_CURR_RES → DIMENSION_KEY","join","DIM_RLOS_GEO","DIMENSION_KEY","Mặc định -1"
"DIM_RLOS_APPLICANT","ADD_ID","true","string(500)","","Số giấy tờ chính (TCC/CC)","LISTAGG(NG_SB_RLOS_APPLICANT_IDGRID.ID_NUMBER, ';') WHERE WI_NAME=<current> AND ID_TYPE IN ('TCC','CC'), thứ tự nối: TCC trước, CC sau","computed","NG_SB_RLOS_APPLICANT_IDGRID","ID_NUMBER","Pivot theo ID_TYPE, nối chuỗi ; nếu nhiều dòng. Thứ tự nối là căn cứ để ETL tách ngược khi cần so khớp T24_CUSTOMER_SK"
