"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_RLOS_APPLICATION","DIMENSION_KEY","false","number","PK","PK — Driving: NG_SB_RLOS_APPLICANT_GENERAL","","generated","","","Sinh bằng Oracle sequence tại SB_DWH"
"DIM_RLOS_APPLICATION","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'RLOS'","'RLOS'","computed","","",""
"DIM_RLOS_APPLICATION","APPLICATION_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng — dùng để Fact lookup vào DIM này","= DIMENSION_KEY (cùng dòng)","generated","","","Mặc định -1"
"DIM_RLOS_APPLICATION","WI_NAME","false","string(100)","NK","Business key — mã hồ sơ tín dụng RLOS","NG_SB_RLOS_APPLICANT_GENERAL.WI_NAME","direct","NG_SB_RLOS_APPLICANT_GENERAL","WI_NAME","UNIQUE (WI_NAME, EFF_DATE)"
"DIM_RLOS_APPLICATION","LOANCASEID","true","string(100)","","Mã khoản vay gắn với hồ sơ, giữ nguyên văn không lọc","NG_SB_RLOS_EXTTABLE.LOANCASEID","join","NG_SB_RLOS_EXTTABLE","LOANCASEID","LEFT JOIN theo WI_NAME"
"DIM_RLOS_APPLICATION","STREAM","true","string(200)","","Luồng nghiệp vụ của hồ sơ","NG_SB_RLOS_APPROVAL.STREAM","join","NG_SB_RLOS_APPROVAL","STREAM","LEFT JOIN theo WI_NAME. Grain NG_SB_RLOS_APPROVAL = 1 dòng/hồ sơ"
"DIM_RLOS_APPLICATION","CHANGE_REQUEST","true","string(200)","","Yêu cầu điều chỉnh hồ sơ","NG_SB_RLOS_EXTTABLE.REQ_TYPE","join","NG_SB_RLOS_EXTTABLE","REQ_TYPE","LEFT JOIN theo WI_NAME"
"DIM_RLOS_APPLICATION","CHANGE_TYPE","true","string(500)","","Loại thay đổi điều kiện phê duyệt","NG_SB_RLOS_EXTTABLE.CHANGE_TYPE","join","NG_SB_RLOS_EXTTABLE","CHANGE_TYPE","Giữ nguyên giá trị thô. Dùng làm khóa either/or với PRODUCT_LINE khi tra cam kết SLA ở PDTD_DTM"
"DIM_RLOS_APPLICATION","POLICY","true","string(200)","","Chính sách tín dụng áp dụng cho hồ sơ","NG_SB_RLOS_APPLICANT_GENERAL.POLICY","direct","NG_SB_RLOS_APPLICANT_GENERAL","POLICY",""
"DIM_RLOS_APPLICATION","CAMPAIGN","true","string(200)","","Chương trình bán áp dụng cho hồ sơ","NG_SB_RLOS_APPLICANT_GENERAL.CAMPAIGN","direct","NG_SB_RLOS_APPLICANT_GENERAL","CAMPAIGN",""
