"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_RLOS_COREPAYER","DIMENSION_KEY","false","number","PK","PK — Driving: NG_SB_RLOS_COREPAYER_GENERAL","","generated","","","Sinh bằng Oracle sequence tại SB_DWH"
"DIM_RLOS_COREPAYER","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'RLOS'","'RLOS'","computed","","",""
"DIM_RLOS_COREPAYER","COREPAYER_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng — dùng để Fact lookup vào DIM này","= DIMENSION_KEY (cùng dòng)","generated","","","Mặc định -1"
"DIM_RLOS_COREPAYER","WI_NAME","false","string(100)","NK","Business key (1/3) — mã hồ sơ RLOS. Quan hệ 1:N với hồ sơ (0..4 corepayer)","NG_SB_RLOS_COREPAYER_GENERAL.WI_NAME","direct","NG_SB_RLOS_COREPAYER_GENERAL","WI_NAME",""
"DIM_RLOS_COREPAYER","ID_NO_CO","false","string(100)","NK","Business key (2/3) — nhãn thứ tự người đồng trả nợ (PIN: Corep1-4)","NG_SB_RLOS_COREPAYER_GENERAL.ID_NO_CO","direct","NG_SB_RLOS_COREPAYER_GENERAL","ID_NO_CO","Dùng để join NG_SB_RLOS_COREP_IDGRID.PIN lấy giấy tờ"
"DIM_RLOS_COREPAYER","REL_TO_APPLICANT","false","string(200)","NK","Business key (3/3) — quan hệ với người đề nghị vay chính","NG_SB_RLOS_COREPAYER_GENERAL.REL_TO_APPLICANT","direct","NG_SB_RLOS_COREPAYER_GENERAL","REL_TO_APPLICANT","Đưa vào khóa tự nhiên theo đúng KEY CDC khai trên DS_BANG_202608.xlsx — ID_NO_CO đơn thuần chưa đủ căn cứ đảm bảo không lặp trong cùng hồ sơ"
"DIM_RLOS_COREPAYER","FULL_NAME","true","string(200)","","Họ tên đầy đủ","NG_SB_RLOS_COREPAYER_GENERAL.FULL_NAME","direct","NG_SB_RLOS_COREPAYER_GENERAL","FULL_NAME",""
"DIM_RLOS_COREPAYER","DATE_OF_BIRTH","true","date","","Ngày sinh","NG_SB_RLOS_COREPAYER_GENERAL.DOB_CO","direct","NG_SB_RLOS_COREPAYER_GENERAL","DOB_CO",""
"DIM_RLOS_COREPAYER","NATIONALITY","true","string(100)","","Quốc tịch","NG_SB_RLOS_COREPAYER_GENERAL.NATIONALITY_CO","direct","NG_SB_RLOS_COREPAYER_GENERAL","NATIONALITY_CO",""
"DIM_RLOS_COREPAYER","TITLE","true","string(30)","","Danh xưng","NG_SB_RLOS_COREPAYER_GENERAL.TITLE_CO","direct","NG_SB_RLOS_COREPAYER_GENERAL","TITLE_CO","LÀM GIÀU review 2026-09-21, đối xứng với DIM_RLOS_APPLICANT.TITLE"
"DIM_RLOS_COREPAYER","HOUSEHOLD","true","string(100)","","Số sổ hộ khẩu","NG_SB_RLOS_COREPAYER_GENERAL.HOUSEHOLD","direct","NG_SB_RLOS_COREPAYER_GENERAL","HOUSEHOLD","LÀM GIÀU"
"DIM_RLOS_COREPAYER","PHONE_1","true","string(50)","","Số điện thoại di động chính","NG_SB_RLOS_COREPAYER_GENERAL.PHONE1","direct","NG_SB_RLOS_COREPAYER_GENERAL","PHONE1","LÀM GIÀU, đổi tên PHONE1→PHONE_1 cho nhất quán với DIM_RLOS_APPLICANT"
"DIM_RLOS_COREPAYER","PHONE_2","true","string(50)","","Số điện thoại phụ","NG_SB_RLOS_COREPAYER_GENERAL.PHONE2","direct","NG_SB_RLOS_COREPAYER_GENERAL","PHONE2","LÀM GIÀU, đổi tên PHONE2→PHONE_2"
"DIM_RLOS_COREPAYER","HOME_PHONE","true","string(50)","","Số điện thoại cố định","NG_SB_RLOS_COREPAYER_GENERAL.HOMEPHONE","direct","NG_SB_RLOS_COREPAYER_GENERAL","HOMEPHONE","LÀM GIÀU, đổi tên HOMEPHONE→HOME_PHONE cho nhất quán với DIM_RLOS_APPLICANT"
