"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_RLOS_GEO","DIMENSION_KEY","false","number","PK","PK — Driving: H_NG_SB_RLOS_MAS_CITY","","generated","","","Sinh bằng Oracle sequence tại SB_DWH"
"DIM_RLOS_GEO","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'RLOS'","'RLOS'","computed","","",""
"DIM_RLOS_GEO","GEO_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng — dùng để Fact lookup vào DIM này","= DIMENSION_KEY (cùng dòng)","generated","","","Mặc định -1 nếu không có giá trị phù hợp"
"DIM_RLOS_GEO","CITY_CODE","false","string(50)","NK","Business key — mã tỉnh thành","H_NG_SB_RLOS_MAS_CITY.CITY_CODE","direct","H_NG_SB_RLOS_MAS_CITY","CITY_CODE","Nối với NG_SB_RLOS_APPLICANT_DETAIL.CITY_CURR_RES khi FCT lookup"
"DIM_RLOS_GEO","CITY_NAME","true","string(200)","","Tên tỉnh thành","H_NG_SB_RLOS_MAS_CITY.CITY_NAME","direct","H_NG_SB_RLOS_MAS_CITY","CITY_NAME",""
"DIM_RLOS_GEO","CITY_NAME_VN","true","string(200)","","Tên tỉnh thành tiếng Việt có dấu","H_NG_SB_RLOS_MAS_CITY.CITY_NAME_VN","direct","H_NG_SB_RLOS_MAS_CITY","CITY_NAME_VN",""
"DIM_RLOS_GEO","DISTRICT_CODE","true","string(50)","NK","Mã quận huyện","LEFT JOIN H_NG_SB_RLOS_MAS_DISTRICT ON H_NG_SB_RLOS_MAS_DISTRICT.CITY_CODE = H_NG_SB_RLOS_MAS_CITY.CITY_CODE → H_NG_SB_RLOS_MAS_DISTRICT.DISTRICT_CODE","join","H_NG_SB_RLOS_MAS_DISTRICT","DISTRICT_CODE","Nối với NG_SB_RLOS_APPLICANT_DETAIL.DISTRICT_CURR_RES khi FCT lookup. Cần DEV xác nhận NULL thật có xảy ra không trước khi sinh LLD (Section 3 #25)"
"DIM_RLOS_GEO","DISTRICT_NAME","true","string(200)","","Tên quận huyện","LEFT JOIN H_NG_SB_RLOS_MAS_DISTRICT ON H_NG_SB_RLOS_MAS_DISTRICT.CITY_CODE = H_NG_SB_RLOS_MAS_CITY.CITY_CODE → H_NG_SB_RLOS_MAS_DISTRICT.DISTRICT_NAME","join","H_NG_SB_RLOS_MAS_DISTRICT","DISTRICT_NAME",""
"DIM_RLOS_GEO","DISTRICT_NAME_VN","true","string(200)","","Tên quận huyện tiếng Việt có dấu","LEFT JOIN H_NG_SB_RLOS_MAS_DISTRICT ON H_NG_SB_RLOS_MAS_DISTRICT.CITY_CODE = H_NG_SB_RLOS_MAS_CITY.CITY_CODE → CASE WHEN H_NG_SB_RLOS_MAS_DISTRICT.DISTRICT_NAME_VN IN ('#NA','#REF!') THEN NULL ELSE H_NG_SB_RLOS_MAS_DISTRICT.DISTRICT_NAME_VN END","computed","H_NG_SB_RLOS_MAS_DISTRICT","DISTRICT_NAME_VN","Loại giá trị lỗi còn sót từ khâu import Excel"
"DIM_RLOS_GEO","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","CDC — so sánh bản ghi cũ/mới tại mỗi lần ETL chạy, gán = v_batch_date","scd2","H_NG_SB_RLOS_MAS_CITY","",""
"DIM_RLOS_GEO","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","NULL","scd2","","","Đóng bằng EFF_DATE(bản ghi mới) - 1 giây khi CDC phát hiện thay đổi"
