"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"DIM_RLOS_PRODUCT","DIMENSION_KEY","false","number","PK","PK — Driving: NG_SB_RLOS_MAS_PRODUCT_LINE","","generated","","","Sinh bằng Oracle sequence tại SB_DWH"
"DIM_RLOS_PRODUCT","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'RLOS'","'RLOS'","computed","","",""
"DIM_RLOS_PRODUCT","PRODUCT_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng — dùng để Fact lookup vào DIM này","= DIMENSION_KEY (cùng dòng)","generated","","","Mặc định -1 nếu không có giá trị phù hợp"
"DIM_RLOS_PRODUCT","PRODUCT_LINE_CODE","false","string(100)","NK","Business key — mã dòng sản phẩm","NG_SB_RLOS_MAS_PRODUCT_LINE.PRODUCTLINE_CODE","direct","NG_SB_RLOS_MAS_PRODUCT_LINE","PRODUCTLINE_CODE","UNIQUE (PRODUCT_LINE_CODE, SUB_PRODUCT_CODE, PRODUCT_NAME, EFF_DATE)"
"DIM_RLOS_PRODUCT","PRODUCT_LINE_NAME","true","string(200)","","Tên dòng sản phẩm","NG_SB_RLOS_MAS_PRODUCT_LINE.PRODUCT_LINE_NAME","direct","NG_SB_RLOS_MAS_PRODUCT_LINE","PRODUCT_LINE_NAME","Mới bổ sung review 2026-09-18: bảng danh mục thật có cột tên riêng, khác giả định cũ"
"DIM_RLOS_PRODUCT","SECONDARY_PRODUCT","true","string(100)","","Sản phẩm phụ đi kèm (SeABuy/SeATeacher/SeAWoman/SeACivil/Thẻ tín dụng)","NG_SB_RLOS_MAS_PRODUCT_LINE.SECONDARY_PRODUCT","direct","NG_SB_RLOS_MAS_PRODUCT_LINE","SECONDARY_PRODUCT","Mới bổ sung review 2026-09-18. Không phải sản phẩm con của PRODUCT_LINE, xác nhận với EU vấn đề #10 Meeting note"
"DIM_RLOS_PRODUCT","SUB_PRODUCT_CODE","false","string(100)","NK","Mã sản phẩm nhánh","JOIN NG_SB_RLOS_MAS_SUB_PRODUCT ON PRODUCT_CODE=NG_SB_RLOS_MAS_PRODUCT_LINE.PRODUCTLINE_CODE → NG_SB_RLOS_MAS_SUB_PRODUCT.SUB_PRODUCT_CODE","join","NG_SB_RLOS_MAS_SUB_PRODUCT","SUB_PRODUCT_CODE","LEFT JOIN theo PRODUCT_CODE"
"DIM_RLOS_PRODUCT","PRODUCT_NAME","true","string(150)","NK","Tên sản phẩm tín dụng chi tiết","JOIN NG_SB_RLOS_MAS_SUB_PRODUCT ON PRODUCT_CODE=NG_SB_RLOS_MAS_PRODUCT_LINE.PRODUCTLINE_CODE → NG_SB_RLOS_MAS_SUB_PRODUCT.SUB_PRODUCT_NAME","join","NG_SB_RLOS_MAS_SUB_PRODUCT","SUB_PRODUCT_NAME",""
"DIM_RLOS_PRODUCT","SCORE_REQUIRED","true","string(10)","","Cờ yêu cầu chấm điểm","JOIN NG_SB_RLOS_MAS_SUB_PRODUCT ON PRODUCT_CODE=NG_SB_RLOS_MAS_PRODUCT_LINE.PRODUCTLINE_CODE → NG_SB_RLOS_MAS_SUB_PRODUCT.SCORE_REQUIRED","join","NG_SB_RLOS_MAS_SUB_PRODUCT","SCORE_REQUIRED","Mới bổ sung review 2026-09-18, chưa xác nhận báo cáo nào cần — thiết kế dư thừa, xem Section 3 #50"
"DIM_RLOS_PRODUCT","SCORE_MODEL","true","string(100)","","Mô hình chấm điểm áp dụng","JOIN NG_SB_RLOS_MAS_SUB_PRODUCT ON PRODUCT_CODE=NG_SB_RLOS_MAS_PRODUCT_LINE.PRODUCTLINE_CODE → NG_SB_RLOS_MAS_SUB_PRODUCT.SCORE_MODEL","join","NG_SB_RLOS_MAS_SUB_PRODUCT","SCORE_MODEL","Mới bổ sung review 2026-09-18, chưa xác nhận báo cáo nào cần — thiết kế dư thừa, xem Section 3 #50"
"DIM_RLOS_PRODUCT","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","CDC — so sánh bản ghi cũ/mới của NG_SB_RLOS_MAS_PRODUCT_LINE/MAS_SUB_PRODUCT tại mỗi lần ETL chạy, gán = ngày phát hiện thay đổi (:P_DATE)","scd2","NG_SB_RLOS_MAS_PRODUCT_LINE","","Không có cột EFF_DATE khai báo tay như MAP_RLOS_PRODUCT trước đây"
"DIM_RLOS_PRODUCT","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","NULL","scd2","","","Đóng bằng EFF_DATE(bản ghi mới phát hiện qua CDC) - 1 giây khi CDC phát hiện thay đổi"
