"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"FCT_CLOS_APPLICATION_DAILY","DAYID","false","date","PK","PK (1/2) — Driving: NG_SB_CLOS_ENTRY_EXIT. Ngày dữ liệu","v_batch_date","direct","NG_SB_CLOS_ENTRY_EXIT","","Ảnh chụp trạng thái cuối ngày. review 2026-09-22: :ETL_DATE là ký hiệu lỗi thời — bảng FCT snapshot theo ngày này sinh đúng 1 giá trị DAYID/lần chạy ETL, DAYID = v_batch_date tại thời điểm chạy"
"FCT_CLOS_APPLICATION_DAILY","WI_NAME","false","string(100)","PK","PK (2/2) — mã hồ sơ tín dụng CLOS","NG_SB_CLOS_ENTRY_EXIT.WINAME","direct","NG_SB_CLOS_ENTRY_EXIT","WINAME",""
"FCT_CLOS_APPLICATION_DAILY","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'CLOS'","'CLOS'","computed","","",""
"FCT_CLOS_APPLICATION_DAILY","APPLICATION_SK","false","number","","Khóa tới DIM_CLOS_APPLICATION","LEFT JOIN DIM_CLOS_APPLICATION ON DIM_CLOS_APPLICATION.WI_NAME = NG_SB_CLOS_ENTRY_EXIT.WINAME AND DAYID BETWEEN DIM_CLOS_APPLICATION.EFF_DATE AND NVL(DIM_CLOS_APPLICATION.EXP_DATE, DAYID) → DIM_CLOS_APPLICATION.DIMENSION_KEY","join","DIM_CLOS_APPLICATION","DIMENSION_KEY","Mặc định -1 nếu không khớp. Điều kiện thời gian dùng DAYID (cột PK snapshot của FCT), không phải v_batch_date của ETL run"
"FCT_CLOS_APPLICATION_DAILY","CURRENT_WORKSTEP_SK","false","number","","Khóa tới DIM_CLOS_WORKSTEP, bước hồ sơ đang đứng tại ngày DAYID","LEFT JOIN DIM_CLOS_WORKSTEP ON DIM_CLOS_WORKSTEP.WORKSTEP_CODE = NG_SB_CLOS_ENTRY_EXIT.WORKSTEP AND DAYID BETWEEN DIM_CLOS_WORKSTEP.EFF_DATE AND NVL(DIM_CLOS_WORKSTEP.EXP_DATE, DAYID) → DIM_CLOS_WORKSTEP.DIMENSION_KEY","join","DIM_CLOS_WORKSTEP","DIMENSION_KEY","Mặc định -1. WORKSTEP_CODE của bước hồ sơ đang đứng tại DAYID (bước gần nhất có ENTRYDATE<=DAYID và chưa hoàn tất/hoặc đang xử lý)"
"FCT_CLOS_APPLICATION_DAILY","LAST_WORKSTEP_SK","false","number","","Khóa tới DIM_CLOS_WORKSTEP của sự kiện hoàn tất gần nhất","LEFT JOIN DIM_CLOS_WORKSTEP ON DIM_CLOS_WORKSTEP.WORKSTEP_CODE = NG_SB_CLOS_ENTRY_EXIT.WORKSTEP AND DAYID BETWEEN DIM_CLOS_WORKSTEP.EFF_DATE AND NVL(DIM_CLOS_WORKSTEP.EXP_DATE, DAYID) → DIM_CLOS_WORKSTEP.DIMENSION_KEY","join","DIM_CLOS_WORKSTEP","DIMENSION_KEY","Mặc định -1. WORKSTEP_CODE lấy từ bản ghi NG_SB_CLOS_ENTRY_EXIT hoàn tất gần nhất (EXITDATE IS NOT NULL, MAX ENTRYDATE<=DAYID) — cùng bản ghi dùng cho LAST_ENTRYDATE/LAST_EXITDATE"
"FCT_CLOS_APPLICATION_DAILY","LAST_DECISION_SK","false","number","","Khóa tới DIM_CLOS_DECISION của sự kiện hoàn tất gần nhất","LEFT JOIN DIM_CLOS_DECISION ON DIM_CLOS_DECISION.DECISION_CODE = NG_SB_CLOS_ENTRY_EXIT.DECISION AND DAYID BETWEEN DIM_CLOS_DECISION.EFF_DATE AND NVL(DIM_CLOS_DECISION.EXP_DATE, DAYID) → DIM_CLOS_DECISION.DIMENSION_KEY","join","DIM_CLOS_DECISION","DIMENSION_KEY","Mặc định -1. DECISION_CODE lấy từ cùng bản ghi hoàn tất gần nhất dùng cho LAST_WORKSTEP_SK"
"FCT_CLOS_APPLICATION_DAILY","LAST_USER_SK","false","number","","Khóa tới DIM_LOS_USER của người xử lý sự kiện hoàn tất gần nhất","LEFT JOIN DIM_LOS_USER ON DIM_LOS_USER.USERNAME = NG_SB_CLOS_ENTRY_EXIT.USERNAME AND DAYID BETWEEN DIM_LOS_USER.EFF_DATE AND NVL(DIM_LOS_USER.EXP_DATE, DAYID) → DIM_LOS_USER.DIMENSION_KEY","join","DIM_LOS_USER","DIMENSION_KEY","Mặc định -1. USERNAME lấy từ cùng bản ghi hoàn tất gần nhất dùng cho LAST_WORKSTEP_SK/LAST_DECISION_SK"
"FCT_CLOS_APPLICATION_DAILY","PRODUCT_SK","false","number","","Khóa tới DIM_CLOS_PRODUCT","LEFT JOIN NG_SB_CLOS_CUST_INFO ON NG_SB_CLOS_CUST_INFO.WI_NAME = NG_SB_CLOS_ENTRY_EXIT.WINAME → LEFT JOIN DIM_CLOS_PRODUCT ON DIM_CLOS_PRODUCT.PRODUCT_LINE_CODE = NG_SB_CLOS_CUST_INFO.PRODUCT_LINE AND DIM_CLOS_PRODUCT.SUB_PRODUCT_CODE = NG_SB_CLOS_CUST_INFO.SUB_PRODUCT AND DAYID BETWEEN DIM_CLOS_PRODUCT.EFF_DATE AND NVL(DIM_CLOS_PRODUCT.EXP_DATE, DAYID) → DIM_CLOS_PRODUCT.DIMENSION_KEY","join","DIM_CLOS_PRODUCT","DIMENSION_KEY","review 2026-09-21, đóng PENDING BC2.PRODUCT_LINE/SUB_PRODUCT. NG_SB_CLOS_CUST_INFO.PRODUCT_LINE/SUB_PRODUCT xác nhận cùng khái niệm với DIM_CLOS_PRODUCT.PRODUCT_LINE_CODE/SUB_PRODUCT_CODE. Mặc định -1 nếu không khớp. Grain NG_SB_CLOS_CUST_INFO thật là WI_NAME+EMP_CODE — nếu phát sinh nhiều dòng/hồ sơ cần bổ sung điều kiện lọc dòng đại diện, xem cùng vấn đề đã ghi nhận ở DIM_CLOS_APPLICATION"
"FCT_CLOS_APPLICATION_DAILY","ORG_UNIT_SK","false","number","","Khóa tới DIM_LOS_ORG_UNIT","LEFT JOIN NG_SB_CLOS_CUST_INFO ON NG_SB_CLOS_CUST_INFO.WI_NAME = NG_SB_CLOS_ENTRY_EXIT.WINAME → LEFT JOIN DIM_LOS_ORG_UNIT ON DIM_LOS_ORG_UNIT.COMPANY_CODE = NG_SB_CLOS_CUST_INFO.COMPANY_CODE AND DAYID BETWEEN DIM_LOS_ORG_UNIT.EFF_DATE AND NVL(DIM_LOS_ORG_UNIT.EXP_DATE, DAYID) → DIM_LOS_ORG_UNIT.DIMENSION_KEY","join","DIM_LOS_ORG_UNIT","DIMENSION_KEY","review 2026-09-21, đóng gap tài liệu BC1/BC2.ZONE/BRANCH_CODE. Mặc định -1 nếu không khớp. Cùng lưu ý grain NG_SB_CLOS_CUST_INFO như PRODUCT_SK"
