"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"FCT_CLOS_COLLATERAL","DAYID","false","date","PK","PK (1/3) — Driving: NG_SB_CLOS_COLL_CD. Ngày dữ liệu",":ETL_DATE","direct","NG_SB_CLOS_COLL_CD","","Ảnh chụp đầy đủ theo ngày (quy trình A2)"
"FCT_CLOS_COLLATERAL","WI_NAME","false","string(100)","PK","PK (2/3) — mã hồ sơ tín dụng CLOS","NG_SB_CLOS_COLL_CD.WI_NAME","direct","NG_SB_CLOS_COLL_CD","WI_NAME",""
"FCT_CLOS_COLLATERAL","COLLATERAL_BK","false","string(64)","PK","PK (3/3) — khóa nghiệp vụ của dòng tài sản","STANDARD_HASH(TRIM(mọi cột không phải CLOB của NG_SB_CLOS_COLL_CD, loại trừ COLL_MGMT_APP/DESCRIPTION) || DATASOURCE || 'NG_SB_CLOS_COLL_CD', 'SHA256')","computed","NG_SB_CLOS_COLL_CD","","Chuẩn hóa trước khi hash: TRIM chuỗi, NULL quy về '<NULL>', DATE/NUMBER dùng format cố định không phụ thuộc NLS. Nguồn không khai khóa CDC nên phải hash"
"FCT_CLOS_COLLATERAL","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'CLOS'","'CLOS'","computed","","",""
"FCT_CLOS_COLLATERAL","APPLICATION_SK","false","number","","Khóa tới DIM_CLOS_APPLICATION theo phiên bản hiệu lực tại DAYID","JOIN DIM_CLOS_APPLICATION ON WI_NAME=<current>.WI_NAME AND EFF_DATE<=DAYID<EXP_DATE (hoặc EXP_DATE IS NULL) → DIMENSION_KEY","join","DIM_CLOS_APPLICATION","DIMENSION_KEY","Mặc định -1 nếu không khớp"
"FCT_CLOS_COLLATERAL","COLLATERAL_TYPE_SK","false","number","","Khóa tới DIM_CLOS_COLLATERAL_TYPE, lookup theo COLLATERAL_TYPE_CODE","JOIN DIM_CLOS_COLLATERAL_TYPE ON COLLATERAL_TYPE_CODE=NG_SB_CLOS_COLL_CD.COLLTYPE → DIMENSION_KEY","join","DIM_CLOS_COLLATERAL_TYPE","DIMENSION_KEY","Mặc định -1"
"FCT_CLOS_COLLATERAL","COLLATERAL_TYPE_CODE","true","string(100)","","Mã loại tài sản bảo đảm","NG_SB_CLOS_COLL_CD.COLLTYPE","direct","NG_SB_CLOS_COLL_CD","COLLTYPE",""
"FCT_CLOS_COLLATERAL","DESCRIPTION","true","string(4000)","","Diễn giải tài sản bảo đảm (CLOB)","NG_SB_CLOS_COLL_CD.DESCRIPTION","direct","NG_SB_CLOS_COLL_CD","DESCRIPTION",""
"FCT_CLOS_COLLATERAL","OWNER_NAME","true","string(200)","","Chủ sở hữu tài sản","NG_SB_CLOS_COLL_CD.COLL_OWNER","direct","NG_SB_CLOS_COLL_CD","COLL_OWNER",""
"FCT_CLOS_COLLATERAL","COLL_MGMT_METHOD","true","string(4000)","","Phương thức quản lý tài sản","NG_SB_CLOS_COLL_CD.COLL_MGMT_APP","direct","NG_SB_CLOS_COLL_CD","COLL_MGMT_APP","Người dùng thường không nhập trường này trên live nên phần lớn sẽ rỗng, nhưng BC3 vẫn liệt kê nên phải nạp"
"FCT_CLOS_COLLATERAL","APPRAISED_VALUE","true","number(20,2)","","Giá trị định giá của tài sản","TO_NUMBER(NG_SB_CLOS_COLL_CD.APPRAISED_VAL_FIG, định dạng Việt Nam: dấu chấm ngăn nghìn, dấu phẩy ngăn thập phân) hoặc NULL nếu lỗi ép kiểu","computed","NG_SB_CLOS_COLL_CD","APPRAISED_VAL_FIG","DEFAULT NULL ON CONVERSION ERROR"
"FCT_CLOS_COLLATERAL","LOAN_RATE_LTV","true","number(5,2)","","Tỷ lệ cho vay trên giá trị tài sản","TO_NUMBER(NG_SB_CLOS_COLL_CD.LTV, định dạng Việt Nam) hoặc NULL nếu lỗi ép kiểu","computed","NG_SB_CLOS_COLL_CD","LTV","Cùng quy tắc ép kiểu, đơn vị phần trăm"
