"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"FCT_CLOS_EXCEPTION","DAYID","false","date","PK","PK (1/5) — Driving: NG_SB_CLOS_EXCEPTION. Ngày dữ liệu","v_batch_date","direct","NG_SB_CLOS_EXCEPTION","","Ảnh chụp đầy đủ theo ngày (quy trình A2). Nguồn LOẠI 1, khóa CDC khai đủ WI_NAME+EXCEPTION_CATEGORY+RAISED_BY+RAISED_DATE_TIME. review 2026-09-22: đổi biến tham số ngày ETL từ :ETL_DATE sang v_batch_date cho khớp quy ước biến batch chuẩn"
"FCT_CLOS_EXCEPTION","WI_NAME","false","string(100)","PK","PK (2/5) — mã hồ sơ tín dụng CLOS","NG_SB_CLOS_EXCEPTION.WI_NAME","direct","NG_SB_CLOS_EXCEPTION","WI_NAME",""
"FCT_CLOS_EXCEPTION","APPLICATION_SK","false","number","","Khóa tới DIM_CLOS_APPLICATION theo phiên bản hiệu lực tại DAYID","LEFT JOIN DIM_CLOS_APPLICATION ON DIM_CLOS_APPLICATION.WI_NAME = NG_SB_CLOS_EXCEPTION.WI_NAME AND DIM_CLOS_APPLICATION.EFF_DATE <= DAYID AND (DIM_CLOS_APPLICATION.EXP_DATE > DAYID OR DIM_CLOS_APPLICATION.EXP_DATE IS NULL) → DIM_CLOS_APPLICATION.DIMENSION_KEY","join","DIM_CLOS_APPLICATION","DIMENSION_KEY","Mặc định -1. review 2026-09-22: viết rõ mệnh đề JOIN trong etl_logic, bỏ ký hiệu <current>"
"FCT_CLOS_EXCEPTION","EXCEPTION_REASON_SK","false","number","","Khóa tới DIM_CLOS_EXCEPTION_REASON — lookup 2 bước","LEFT JOIN DIM_CLOS_EXCEPTION_REASON ON DIM_CLOS_EXCEPTION_REASON.EXCEPTION_CATEGORY = NG_SB_CLOS_EXCEPTION.EXCEPTION_CATEGORY AND DIM_CLOS_EXCEPTION_REASON.EXCEPTION_NAME = NG_SB_CLOS_EXCEPTION.EXCEPTION_NAME AND EXISTS (SELECT 1 FROM NG_SB_CLOS_ENTRY_EXIT WHERE NG_SB_CLOS_ENTRY_EXIT.WINAME = NG_SB_CLOS_EXCEPTION.WI_NAME AND NG_SB_CLOS_ENTRY_EXIT.WORKSTEP = DIM_CLOS_EXCEPTION_REASON.ACTIVITYNAME AND NG_SB_CLOS_ENTRY_EXIT.DECISION = DIM_CLOS_EXCEPTION_REASON.DECISION_CODE) → DIM_CLOS_EXCEPTION_REASON.DIMENSION_KEY","join","DIM_CLOS_EXCEPTION_REASON","DIMENSION_KEY","Không phải lookup 1 cột đơn giản — bước (1) EXCEPTION_CATEGORY+EXCEPTION_NAME có thể khớp nhiều dòng DIM_CLOS_EXCEPTION_REASON (vì DIM còn phân biệt theo ACTIVITYNAME/DECISION_CODE); bước (2) EXISTS lọc còn đúng 1 dòng — chỉ giữ tổ hợp ACTIVITYNAME/DECISION_CODE đã thực sự xảy ra trong lịch sử xử lý hồ sơ trên NG_SB_CLOS_ENTRY_EXIT. Mặc định -1 nếu không còn dòng nào khớp. review 2026-09-22: viết lại không dùng alias rút gọn (a/d/h), toàn bộ table_name.column_name tường minh"
"FCT_CLOS_EXCEPTION","RAISED_BY_USER_SK","false","number","","Khóa tới DIM_LOS_USER, người nêu lý do","LEFT JOIN DIM_LOS_USER ON DIM_LOS_USER.USERNAME = NG_SB_CLOS_EXCEPTION.RAISED_BY AND DIM_LOS_USER.EFF_DATE <= DAYID AND (DIM_LOS_USER.EXP_DATE > DAYID OR DIM_LOS_USER.EXP_DATE IS NULL) → DIM_LOS_USER.DIMENSION_KEY","join","DIM_LOS_USER","DIMENSION_KEY","Mặc định -1. ĐÚNG GRAIN của bảng — 1 lần ghi nhận lý do có đúng 1 người nêu. review 2026-09-22: viết rõ điều kiện thời gian SCD2 thay vì mô tả 'điều kiện thời gian', bổ sung table.column prefix"
"FCT_CLOS_EXCEPTION","EXCEPTION_CATEGORY","false","string(500)","PK","PK (3/5) — phân nhóm nội dung cần làm rõ","NG_SB_CLOS_EXCEPTION.EXCEPTION_CATEGORY","direct","NG_SB_CLOS_EXCEPTION","EXCEPTION_CATEGORY",""
"FCT_CLOS_EXCEPTION","EXCEPTION_NAME","true","string(500)","","Tên nội dung cần làm rõ","NG_SB_CLOS_EXCEPTION.EXCEPTION_NAME","direct","NG_SB_CLOS_EXCEPTION","EXCEPTION_NAME",""
"FCT_CLOS_EXCEPTION","EXCEPTION_REMARKS","true","string(4000)","","Ghi chú của nội dung cần làm rõ","NG_SB_CLOS_EXCEPTION.EXCEPTION_REMARKS","direct","NG_SB_CLOS_EXCEPTION","EXCEPTION_REMARKS",""
"FCT_CLOS_EXCEPTION","RAISED_BY","false","string(100)","PK","PK (4/5) — người nêu nội dung cần làm rõ","NG_SB_CLOS_EXCEPTION.RAISED_BY","direct","NG_SB_CLOS_EXCEPTION","RAISED_BY","Cột RAISED_BY_USER_SK bên cạnh giữ khóa tới DIM"
"FCT_CLOS_EXCEPTION","RAISED_DATE_TIME","false","timestamp","PK","PK (5/5) — thời điểm nêu nội dung cần làm rõ","NG_SB_CLOS_EXCEPTION.RAISED_DATE_TIME","direct","NG_SB_CLOS_EXCEPTION","RAISED_DATE_TIME",""
