"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"FCT_CLOS_WORKSTEP_EVENT","DAYID","false","date","PK","PK (1/4) — Driving: NG_SB_CLOS_ENTRY_EXIT. Ngày phiên bản được ghi nhận",":ETL_DATE","direct","NG_SB_CLOS_ENTRY_EXIT","","Quy trình A1 (GHI THÊM, không chép lại nhật ký mỗi ngày) — chỉ ghi bản ghi thay đổi/mới trong TIME_UPDATE >= :P_DATE AND < :P_DATE + 1. KHÔNG phải ảnh chụp lại toàn bộ nhật ký mỗi ngày"
"FCT_CLOS_WORKSTEP_EVENT","WI_NAME","false","string(100)","PK","PK (2/4) — mã hồ sơ tín dụng CLOS","NG_SB_CLOS_ENTRY_EXIT.WINAME","direct","NG_SB_CLOS_ENTRY_EXIT","WINAME","Đổi tên WINAME→WI_NAME cho thống nhất"
"FCT_CLOS_WORKSTEP_EVENT","WORKSTEP_CODE","false","string(200)","PK","PK (3/4) — mã bước xử lý trên workflow","NG_SB_CLOS_ENTRY_EXIT.WORKSTEP","direct","NG_SB_CLOS_ENTRY_EXIT","WORKSTEP","Đổi tên thêm hậu tố CODE, đã cắt tiền tố hệ nguồn nếu có"
"FCT_CLOS_WORKSTEP_EVENT","ENTRYDATE","false","timestamp","PK","PK (4/4) — thời điểm hồ sơ vào bước xử lý. Bắt buộc trong khóa vì 1 hồ sơ có thể quay lại cùng 1 bước nhiều lần","NG_SB_CLOS_ENTRY_EXIT.ENTRYDATE","direct","NG_SB_CLOS_ENTRY_EXIT","ENTRYDATE",""
"FCT_CLOS_WORKSTEP_EVENT","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'CLOS'","'CLOS'","computed","","",""
"FCT_CLOS_WORKSTEP_EVENT","WORKSTEP_SK","false","number","","Khóa tới DIM_CLOS_WORKSTEP, lookup bằng WORKSTEP_CODE theo điều kiện thời gian","JOIN DIM_CLOS_WORKSTEP ON WORKSTEP_CODE=<current>.WORKSTEP_CODE AND EFF_DATE<=DAYID<EXP_DATE (hoặc EXP_DATE IS NULL) → DIMENSION_KEY","join","DIM_CLOS_WORKSTEP","DIMENSION_KEY","Mặc định -1 nếu không khớp"
"FCT_CLOS_WORKSTEP_EVENT","DECISION_SK","false","number","","Khóa tới DIM_CLOS_DECISION, lookup bằng DECISION_CODE theo điều kiện thời gian. KHÔNG nằm trong PK — chỉ để tra cứu thêm thuộc tính","JOIN DIM_CLOS_DECISION ON DECISION_CODE=<current>.DECISION_CODE AND EFF_DATE<=DAYID<EXP_DATE (hoặc EXP_DATE IS NULL) → DIMENSION_KEY","join","DIM_CLOS_DECISION","DIMENSION_KEY","DECISION null/không khớp dùng -1"
"FCT_CLOS_WORKSTEP_EVENT","USER_SK","false","number","","Khóa tới DIM_LOS_USER, người xử lý của chính sự kiện này. ĐÚNG GRAIN của bảng. KHÔNG nằm trong PK","JOIN DIM_LOS_USER ON USERNAME=NG_SB_CLOS_ENTRY_EXIT.USERNAME AND điều kiện thời gian → DIMENSION_KEY","join","DIM_LOS_USER","DIMENSION_KEY","Mặc định -1"
"FCT_CLOS_WORKSTEP_EVENT","APPLICATION_SK","false","number","","Khóa tới DIM_CLOS_APPLICATION theo phiên bản hiệu lực tại DAYID","JOIN DIM_CLOS_APPLICATION ON WI_NAME=<current>.WI_NAME AND EFF_DATE<=DAYID<EXP_DATE (hoặc EXP_DATE IS NULL) → DIMENSION_KEY","join","DIM_CLOS_APPLICATION","DIMENSION_KEY","Mặc định -1"
"FCT_CLOS_WORKSTEP_EVENT","EXITDATE","true","timestamp","","Thời điểm hồ sơ ra khỏi bước xử lý. NULL nghĩa là hồ sơ đang nằm tại bước này","NG_SB_CLOS_ENTRY_EXIT.EXITDATE","direct","NG_SB_CLOS_ENTRY_EXIT","EXITDATE",""
