"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"FCT_RLOS_APPLICATION_DAILY","DAYID","false","date","PK","PK (1/2) — Driving: NG_SB_RLOS_ENTRY_EXIT. Ngày dữ liệu",":ETL_DATE","direct","NG_SB_RLOS_ENTRY_EXIT","","Ảnh chụp trạng thái cuối ngày"
"FCT_RLOS_APPLICATION_DAILY","WI_NAME","false","string(100)","PK","PK (2/2) — mã hồ sơ tín dụng RLOS","NG_SB_RLOS_ENTRY_EXIT.WINAME","direct","NG_SB_RLOS_ENTRY_EXIT","WINAME",""
"FCT_RLOS_APPLICATION_DAILY","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'RLOS'","'RLOS'","computed","","",""
"FCT_RLOS_APPLICATION_DAILY","APPLICATION_SK","false","number","","Khóa tới DIM_RLOS_APPLICATION","JOIN DIM_RLOS_APPLICATION ON WI_NAME=<current>.WI_NAME AND EFF_DATE<=DAYID<EXP_DATE (hoặc EXP_DATE IS NULL) → DIMENSION_KEY","join","DIM_RLOS_APPLICATION","DIMENSION_KEY","Mặc định -1 nếu không khớp"
"FCT_RLOS_APPLICATION_DAILY","CURRENT_WORKSTEP_SK","false","number","","Khóa tới DIM_RLOS_WORKSTEP, bước hồ sơ đang đứng tại ngày DAYID","JOIN DIM_RLOS_WORKSTEP theo WORKSTEP_CODE của bước hiện tại (điều kiện thời gian) → DIMENSION_KEY","join","DIM_RLOS_WORKSTEP","DIMENSION_KEY","Mặc định -1"
"FCT_RLOS_APPLICATION_DAILY","LAST_WORKSTEP_SK","false","number","","Khóa tới DIM_RLOS_WORKSTEP của sự kiện hoàn tất gần nhất","JOIN DIM_RLOS_WORKSTEP theo WORKSTEP_CODE của sự kiện hoàn tất gần nhất (điều kiện thời gian) → DIMENSION_KEY","join","DIM_RLOS_WORKSTEP","DIMENSION_KEY","Mặc định -1"
"FCT_RLOS_APPLICATION_DAILY","LAST_DECISION_SK","false","number","","Khóa tới DIM_RLOS_DECISION của sự kiện hoàn tất gần nhất","JOIN DIM_RLOS_DECISION theo DECISION_CODE của sự kiện hoàn tất gần nhất (điều kiện thời gian) → DIMENSION_KEY","join","DIM_RLOS_DECISION","DIMENSION_KEY","Mặc định -1"
"FCT_RLOS_APPLICATION_DAILY","LAST_USER_SK","false","number","","Khóa tới DIM_LOS_USER của người xử lý sự kiện hoàn tất gần nhất","JOIN DIM_LOS_USER theo USERNAME của sự kiện hoàn tất gần nhất (điều kiện thời gian) → DIMENSION_KEY","join","DIM_LOS_USER","DIMENSION_KEY","Mặc định -1"
"FCT_RLOS_APPLICATION_DAILY","PRODUCT_SK","false","number","","Khóa tới DIM_RLOS_PRODUCT","JOIN DIM_RLOS_PRODUCT ON PRODUCT_LINE_CODE=NG_SB_RLOS_APPLICANT_GENERAL.PRODUCT_LINE AND SUB_PRODUCT_CODE=NG_SB_RLOS_APPLICANT_GENERAL.SUB_PRODUCT AND EFF_DATE<=DAYID<EXP_DATE (hoặc EXP_DATE IS NULL) → DIMENSION_KEY","join","DIM_RLOS_PRODUCT","DIMENSION_KEY","review 2026-09-21, bổ sung công thức còn thiếu, đối xứng với PRODUCT_SK CLOS. Mặc định -1 nếu không khớp"
"FCT_RLOS_APPLICATION_DAILY","ORG_UNIT_SK","false","number","","Khóa tới DIM_LOS_ORG_UNIT","JOIN DIM_LOS_ORG_UNIT ON COMPANY_CODE=NG_SB_RLOS_APPLICANT_GENERAL.COMPANY_CODE AND EFF_DATE<=DAYID<EXP_DATE (hoặc EXP_DATE IS NULL) → DIMENSION_KEY","join","DIM_LOS_ORG_UNIT","DIMENSION_KEY","review 2026-09-21, cùng lý do nhánh CLOS. Mặc định -1 nếu không khớp"
"FCT_RLOS_APPLICATION_DAILY","CHANGE_TYPE_SK","false","number","","Khóa tới DIM_RLOS_CHANGE_TYPE. Chỉ có giá trị với hồ sơ thay đổi điều kiện phê duyệt","JOIN DIM_RLOS_CHANGE_TYPE ON CHANGE_TYPE_CODE khớp NG_SB_RLOS_EXTTABLE.CHANGE_TYPE (qua CHANGE_TYPE_NAME) → DIMENSION_KEY","join","DIM_RLOS_CHANGE_TYPE","DIMENSION_KEY","Còn lại Unknown -1"
"FCT_RLOS_APPLICATION_DAILY","CARD_PROMOTION_SK","false","number","","Khóa tới DIM_RLOS_CARD_PROMOTION","JOIN DIM_RLOS_CARD_PROMOTION ON PROMOTION_CODE=NG_SB_RLOS_CBS.PROMOTION_ID → DIMENSION_KEY","join","DIM_RLOS_CARD_PROMOTION","DIMENSION_KEY","Hồ sơ không phải thẻ dùng -1"
