"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"FCT_RLOS_COLLATERAL","DAYID","false","date","PK","PK (1/3) — Driving: UNION NG_SB_RLOS_COL_REALESTATE + COL_TRANSPORT + COL_VALPAPER + COL_OTHER. Ngày dữ liệu",":ETL_DATE","direct","NG_SB_RLOS_COL_REALESTATE","","Ảnh chụp đầy đủ theo ngày (quy trình A2)"
"FCT_RLOS_COLLATERAL","WI_NAME","false","string(100)","PK","PK (2/3) — mã hồ sơ tín dụng RLOS","WI_NAME của đúng bảng grid nguồn (COL_REALESTATE/COL_TRANSPORT/COL_VALPAPER/COL_OTHER)","direct","NG_SB_RLOS_COL_REALESTATE","WI_NAME",""
"FCT_RLOS_COLLATERAL","COLLATERAL_BK","false","string(64)","PK","PK (3/3) — khóa nghiệp vụ của dòng tài sản","STANDARD_HASH(TRIM(mọi cột không phải CLOB của đúng bảng grid nguồn) || DATASOURCE || tên bảng nguồn, 'SHA256')","computed","NG_SB_RLOS_COL_REALESTATE","","Chuẩn hóa trước khi hash: TRIM chuỗi, NULL quy về '<NULL>', DATE/NUMBER dùng format cố định. Cả 4 bảng grid không khai khóa CDC nên phải hash"
"FCT_RLOS_COLLATERAL","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'RLOS'","'RLOS'","computed","","",""
"FCT_RLOS_COLLATERAL","APPLICATION_SK","false","number","","Khóa tới DIM_RLOS_APPLICATION theo phiên bản hiệu lực tại DAYID","JOIN DIM_RLOS_APPLICATION ON WI_NAME=<current>.WI_NAME AND EFF_DATE<=DAYID<EXP_DATE (hoặc EXP_DATE IS NULL) → DIMENSION_KEY","join","DIM_RLOS_APPLICATION","DIMENSION_KEY","Mặc định -1 nếu không khớp"
"FCT_RLOS_COLLATERAL","COLLATERAL_TYPE_CODE","true","string(100)","","Nhãn phân loại nguồn của tài sản bảo đảm, gán cố định theo bảng grid mà bản ghi đến từ đó","CASE nguồn: NG_SB_RLOS_COL_REALESTATE→'REALESTATE'; COL_TRANSPORT→'TRANSPORT'; COL_VALPAPER→'VALPAPER'; COL_OTHER→'OTHER'","computed","NG_SB_RLOS_COL_REALESTATE","","Dùng để CASE chọn cột chi tiết khi dựng TYPES_OF_COLLATERALS — không phải dữ liệu mô tả tài sản. review 2026-09-22: đã XÓA cột COLLATERAL_TYPE_SK + bảng DIM_RLOS_COLLATERAL_TYPE — rà soát xác nhận không báo cáo nào (BC1/BC2/BC3/BC9) JOIN sang DIM này, BC3.TYPES_OF_COLLATERALS dùng trực tiếp cột này ngay trên FCT"
"FCT_RLOS_COLLATERAL","CERTIFICATE_NO","true","string(500)","","Số giấy chứng nhận tài sản","BĐS: NG_SB_RLOS_COL_REALESTATE.NO_CERTI; tài sản khác: NG_SB_RLOS_COLL_CERTIGRD.CERTIFICATENO (nối theo tài sản)","join","NG_SB_RLOS_COLL_CERTIGRD","CERTIFICATENO","Phục vụ BC1.GCN_REAL_ESTATE (REALESTATE), BC1.GCN_OTHER (còn lại) — tách theo COLLATERAL_TYPE_CODE khi dựng BC1"
"FCT_RLOS_COLLATERAL","DESCRIPTION","true","string(4000)","","Mô tả tài sản bảo đảm (BC3.DESCRIPTION)","CASE COLLATERAL_TYPE_CODE: REALESTATE→NO_CERTI||', '||USING_PURPOSE; TRANSPORT→BRAND||', '||CONTROL_POSTER; VALPAPER→NUMBERSIGN; OTHER→DESCRIBE","computed","","","Đúng nguyên văn SRS BC3, không dùng REMARKS"
"FCT_RLOS_COLLATERAL","OWNER_NAME","true","string(200)","","Chủ sở hữu tài sản","OWNER của đúng bảng grid nguồn","direct","NG_SB_RLOS_COL_REALESTATE","OWNER","Cũng là trường OWNERSHIP của BC1"
"FCT_RLOS_COLLATERAL","REL_TO_CUSTOMER","true","string(200)","","Quan hệ giữa chủ tài sản và khách hàng","REL_CUSTOMER/RELATION_CUSTOMER của đúng bảng grid nguồn","direct","NG_SB_RLOS_COL_REALESTATE","REL_CUSTOMER","Phục vụ BC1.TSBD_RELATIONSHIP"
