"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"FCT_RLOS_SUB_PRODUCT","DAYID","false","date","PK","PK (1/4) — Driving: UNION NG_SB_RLOS_SUB_PRODUCT + CREDIT_CARD_APP + SEABUY_APP + CIVIL_APP + TEACHER_APP + WOMAN_APP. Ngày dữ liệu",":ETL_DATE","direct","NG_SB_RLOS_SUB_PRODUCT","","Ảnh chụp đầy đủ theo ngày (quy trình A2)"
"FCT_RLOS_SUB_PRODUCT","WI_NAME","false","string(100)","PK","PK (2/4) — mã hồ sơ tín dụng RLOS","WI_NAME của đúng bảng nguồn sinh ra dòng đó","direct","NG_SB_RLOS_SUB_PRODUCT","WI_NAME",""
"FCT_RLOS_SUB_PRODUCT","SUB_PRODUCT_TYPE_CODE","false","string(30)","PK","PK (3/4) — mã LOẠI sản phẩm phụ do DWH chuẩn hóa","CASE nguồn: NG_SB_RLOS_SUB_PRODUCT.SUB_PRODUCT_LINE='SeACivil'→'CIVIL'; ='SeATeacher'→'TEACHER'; ='SeAWoman'→'WOMAN'; ='SeABuy'→'SEABUY'; NG_SB_RLOS_CREDIT_CARD_APP→'CREDIT_CARD'","computed","NG_SB_RLOS_SUB_PRODUCT","SUB_PRODUCT_LINE","Đúng điều kiện lọc SRS BC1 (BR 1.2). Đổi tên từ SUB_PRODUCT_CODE gốc để tránh trùng nghĩa với DIM_RLOS_PRODUCT.SUB_PRODUCT_CODE"
"FCT_RLOS_SUB_PRODUCT","SUB_PRODUCT_BK","false","string(64)","PK","PK (4/4) — khóa nghiệp vụ của 1 lần đăng ký sản phẩm phụ","Với NG_SB_RLOS_SEABUY_APP/TEACHER_APP/WOMAN_APP (khai khóa CDC=WI_NAME) dùng thẳng khóa nguồn; với NG_SB_RLOS_SUB_PRODUCT/CREDIT_CARD_APP/CIVIL_APP/SENT_CBS_LOG (không khai khóa CDC) dùng STANDARD_HASH(TRIM(mọi cột không phải CLOB, loại trừ COMMENT_CO/REQUEST) || DATASOURCE || tên bảng nguồn, 'SHA256')","computed","NG_SB_RLOS_SUB_PRODUCT","",""
"FCT_RLOS_SUB_PRODUCT","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'RLOS'","'RLOS'","computed","","",""
"FCT_RLOS_SUB_PRODUCT","APPLICATION_SK","false","number","","Khóa tới DIM_RLOS_APPLICATION theo phiên bản hiệu lực tại DAYID","JOIN DIM_RLOS_APPLICATION ON WI_NAME=<current>.WI_NAME AND EFF_DATE<=DAYID<EXP_DATE (hoặc EXP_DATE IS NULL) → DIMENSION_KEY","join","DIM_RLOS_APPLICATION","DIMENSION_KEY","Mặc định -1 nếu không khớp"
"FCT_RLOS_SUB_PRODUCT","PRODUCT_SK","false","number","","Khóa tới DIM_RLOS_PRODUCT của sản phẩm phụ tương ứng","JOIN DIM_RLOS_PRODUCT theo tổ hợp PRODUCT_LINE/SUB_PRODUCT tương ứng SUB_PRODUCT_TYPE_CODE → DIMENSION_KEY","join","DIM_RLOS_PRODUCT","DIMENSION_KEY","Vai trò SUB xác định bởi việc dòng nằm trong bảng này, không phải thuộc tính của DIM_RLOS_PRODUCT. Mặc định -1"
"FCT_RLOS_SUB_PRODUCT","SUB_PRODUCT_LINE","true","string(200)","","Dòng của sản phẩm phụ","NG_SB_RLOS_SUB_PRODUCT.SUB_PRODUCT_LINE","direct","NG_SB_RLOS_SUB_PRODUCT","SUB_PRODUCT_LINE","Trường SAN_PHAM_PHU của BC1"
"FCT_RLOS_SUB_PRODUCT","SPP_AMOUNT","true","number(20,2)","","Hạn mức của sản phẩm phụ","TO_NUMBER(LIMIT_NO của đúng bảng trong 5 bảng CREDIT_CARD_APP/SEABUY_APP/CIVIL_APP/TEACHER_APP/WOMAN_APP, định dạng Việt Nam) hoặc NULL nếu lỗi ép kiểu","computed","NG_SB_RLOS_CREDIT_CARD_APP","LIMIT_NO","DEFAULT NULL ON CONVERSION ERROR. Trường SPP_Amount của BC1"
"FCT_RLOS_SUB_PRODUCT","SPP_TERM","true","number(5)","","Thời hạn của sản phẩm phụ, đơn vị tháng","CREDIT_CARD_APP.TERM; SEABUY_APP/CIVIL_APP/TEACHER_APP/WOMAN_APP.TIME_VALID","direct","NG_SB_RLOS_CREDIT_CARD_APP","TERM","Trường SPP_Term của BC1"
"FCT_RLOS_SUB_PRODUCT","CARD_TYPE_CODE","true","string(100)","","Loại thẻ đăng ký lúc đề xuất sản phẩm phụ là thẻ tín dụng","NG_SB_RLOS_CREDIT_CARD_APP.CARD_TYPE","direct","NG_SB_RLOS_CREDIT_CARD_APP","CARD_TYPE","Chỉ có ở dòng SUB_PRODUCT_TYPE_CODE='CREDIT_CARD'. Khác khái niệm BC1.K_TYPE (không dùng để tra BC1.K_TYPE)"
