"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"FCT_RLOS_WORKSTEP_EVENT","DAYID","false","date","PK","PK (1/4) — Driving: NG_SB_RLOS_ENTRY_EXIT. Ngày phiên bản được ghi nhận",":ETL_DATE","direct","NG_SB_RLOS_ENTRY_EXIT","","Quy trình A1 (GHI THÊM, không chép lại nhật ký mỗi ngày) — chỉ ghi bản ghi thay đổi/mới trong TIME_UPDATE >= :P_DATE AND < :P_DATE + 1. KHÔNG phải ảnh chụp lại toàn bộ nhật ký mỗi ngày"
"FCT_RLOS_WORKSTEP_EVENT","WI_NAME","false","string(100)","PK","PK (2/4) — mã hồ sơ tín dụng RLOS","NG_SB_RLOS_ENTRY_EXIT.WINAME","direct","NG_SB_RLOS_ENTRY_EXIT","WINAME","Đổi tên WINAME→WI_NAME cho thống nhất"
"FCT_RLOS_WORKSTEP_EVENT","WORKSTEP_CODE","false","string(200)","PK","PK (3/4) — mã bước xử lý trên workflow","NG_SB_RLOS_ENTRY_EXIT.WORKSTEP","direct","NG_SB_RLOS_ENTRY_EXIT","WORKSTEP","Đổi tên thêm hậu tố CODE, đã cắt tiền tố hệ nguồn nếu có"
"FCT_RLOS_WORKSTEP_EVENT","ENTRYDATE","false","timestamp","PK","PK (4/4) — thời điểm hồ sơ vào bước xử lý. Bắt buộc trong khóa vì 1 hồ sơ có thể quay lại cùng 1 bước nhiều lần","NG_SB_RLOS_ENTRY_EXIT.ENTRYDATE","direct","NG_SB_RLOS_ENTRY_EXIT","ENTRYDATE",""
"FCT_RLOS_WORKSTEP_EVENT","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'RLOS'","'RLOS'","computed","","",""
"FCT_RLOS_WORKSTEP_EVENT","WORKSTEP_SK","false","number","","Khóa tới DIM_RLOS_WORKSTEP, lookup bằng WORKSTEP_CODE theo điều kiện thời gian","JOIN DIM_RLOS_WORKSTEP ON WORKSTEP_CODE=<current>.WORKSTEP_CODE AND EFF_DATE<=DAYID<EXP_DATE (hoặc EXP_DATE IS NULL) → DIMENSION_KEY","join","DIM_RLOS_WORKSTEP","DIMENSION_KEY","Mặc định -1 nếu không khớp"
"FCT_RLOS_WORKSTEP_EVENT","DECISION_SK","false","number","","Khóa tới DIM_RLOS_DECISION, lookup bằng DECISION_CODE theo điều kiện thời gian. KHÔNG nằm trong PK — chỉ để tra cứu thêm thuộc tính","JOIN DIM_RLOS_DECISION ON DECISION_CODE=<current>.DECISION_CODE AND EFF_DATE<=DAYID<EXP_DATE (hoặc EXP_DATE IS NULL) → DIMENSION_KEY","join","DIM_RLOS_DECISION","DIMENSION_KEY","DECISION null/không khớp dùng -1"
"FCT_RLOS_WORKSTEP_EVENT","USER_SK","false","number","","Khóa tới DIM_LOS_USER, người xử lý của chính sự kiện này. ĐÚNG GRAIN của bảng. KHÔNG nằm trong PK","JOIN DIM_LOS_USER ON USERNAME=NG_SB_RLOS_ENTRY_EXIT.USERNAME AND điều kiện thời gian → DIMENSION_KEY","join","DIM_LOS_USER","DIMENSION_KEY","Mặc định -1"
"FCT_RLOS_WORKSTEP_EVENT","APPLICATION_SK","false","number","","Khóa tới DIM_RLOS_APPLICATION theo phiên bản hiệu lực tại DAYID","JOIN DIM_RLOS_APPLICATION ON WI_NAME=<current>.WI_NAME AND EFF_DATE<=DAYID<EXP_DATE (hoặc EXP_DATE IS NULL) → DIMENSION_KEY","join","DIM_RLOS_APPLICATION","DIMENSION_KEY","Mặc định -1"
"FCT_RLOS_WORKSTEP_EVENT","EXITDATE","true","timestamp","","Thời điểm hồ sơ ra khỏi bước xử lý. NULL nghĩa là hồ sơ đang nằm tại bước này","NG_SB_RLOS_ENTRY_EXIT.EXITDATE","direct","NG_SB_RLOS_ENTRY_EXIT","EXITDATE",""
"FCT_RLOS_WORKSTEP_EVENT","DECISION_CODE","true","string(200)","","Mã quyết định tại bước xử lý","NG_SB_RLOS_ENTRY_EXIT.DECISION","direct","NG_SB_RLOS_ENTRY_EXIT","DECISION","Đổi tên thêm hậu tố CODE"
"FCT_RLOS_WORKSTEP_EVENT","USERNAME","true","string(100)","","Tên tài khoản người xử lý hồ sơ","NG_SB_RLOS_ENTRY_EXIT.USERNAME","direct","NG_SB_RLOS_ENTRY_EXIT","USERNAME","Giữ nguyên giá trị gốc để báo cáo hiển thị thẳng, không phải join qua DIM_LOS_USER"
"FCT_RLOS_WORKSTEP_EVENT","REMARKS","true","string(4000)","","Ghi chú tại bước xử lý","NG_SB_RLOS_ENTRY_EXIT.REMARKS","direct","NG_SB_RLOS_ENTRY_EXIT","REMARKS",""
"FCT_RLOS_WORKSTEP_EVENT","REASON_CODE","true","string(50)","","Mã lý do hủy hồ sơ (chỉ RLOS có cột này)","NG_SB_RLOS_ENTRY_EXIT.REASON_CODE","direct","NG_SB_RLOS_ENTRY_EXIT","REASON_CODE",""
"FCT_RLOS_WORKSTEP_EVENT","REASON_DESC","true","string(500)","","Diễn giải lý do hủy hồ sơ (chỉ RLOS có cột này)","NG_SB_RLOS_ENTRY_EXIT.REASON_DESC","direct","NG_SB_RLOS_ENTRY_EXIT","REASON_DESC",""
"FCT_RLOS_WORKSTEP_EVENT","TAT_SOURCE_SEC","true","number(12)","","Thời gian xử lý do hệ nguồn ghi, đơn vị giây (đơn vị chưa chốt chính thức)","NG_SB_RLOS_ENTRY_EXIT.TAT","direct","NG_SB_RLOS_ENTRY_EXIT","TAT","Giữ lại để đối soát với 3 cột TAT tính lại. Đơn vị giây kế thừa từ extract gốc, cần DE xác nhận chính thức, xem Section 3"
"FCT_RLOS_WORKSTEP_EVENT","TAT_CALENDAR_HOUR","true","number(18,6)","","Thời gian xử lý theo lịch tự nhiên, đơn vị giờ","TAT_SOURCE_SEC / 3600, hoặc (CAST(EXITDATE AS DATE) - CAST(ENTRYDATE AS DATE)) * 24 nếu TAT_SOURCE_SEC rỗng","computed","","","Không trừ ngày nghỉ. NULL nếu chưa có EXITDATE"
"FCT_RLOS_WORKSTEP_EVENT","TAT_WORKING_HOUR","true","number(18,6)","","Thời gian xử lý theo giờ làm việc, đơn vị giờ","GET_BUSINESS_MINUTE(ENTRYDATE, EXITDATE) / 60","computed","","","Loại trừ ngày lễ, chiều thứ Bảy, cả ngày Chủ nhật; giờ tính 8-12 và 13-17. NULL nếu chưa có EXITDATE"
"FCT_RLOS_WORKSTEP_EVENT","TAT_CPC_HOUR","true","number(18,6)","","Thời gian xử lý theo giờ cam kết SLA, đơn vị giờ","GET_BUSINESS_MINUTE_CPC(ENTRYDATE, EXITDATE) / 60","computed","","","Giờ theo cam kết SLA, tính 8-11:30 và 13:30-16:30. NULL nếu chưa có EXITDATE"
"FCT_RLOS_WORKSTEP_EVENT","EVENT_SEQ_ASC","true","number(5)","","Thứ tự sự kiện theo chiều cũ đến mới","ROW_NUMBER() OVER (PARTITION BY WI_NAME ORDER BY ENTRYDATE ASC)","computed","","","Dùng xác định sự kiện trả về đầu tiên cho BC7 (FIRST_WORKSTEP_RETURN)"
"FCT_RLOS_WORKSTEP_EVENT","EVENT_SEQ_DESC","true","number(5)","","Thứ tự sự kiện theo chiều mới đến cũ","Sau khi chọn phiên bản DAYID lớn nhất <=D cho từng (WI_NAME, WORKSTEP_CODE, ENTRYDATE), xếp logical event theo ENTRYDATE DESC","computed","","","Dùng cho nhóm LAST_* của BC1, BC2"
"FCT_RLOS_WORKSTEP_EVENT","BI_FLAG_APPROVAL","true","string(50)","","Đánh dấu lần phê duyệt đầu hay lần phê duyệt lại","CASE WHEN EXITDATE <= MIN(EXITDATE của các sự kiện phê duyệt trong cùng hồ sơ) THEN 'First Approval' ELSE 'From Second Approval' END","computed","","","Dùng cho BC5.BI_FLAG_APPROVAL"
"FCT_RLOS_WORKSTEP_EVENT","PRE_WORKSTEP_CODE","true","string(200)","","Bước xử lý liền trước","LAG(WORKSTEP_CODE) OVER (PARTITION BY WI_NAME ORDER BY ENTRYDATE)","computed","","","Dùng cho BC1.PRE_WORKSTEP, BC2.PRE_WORKSTEP"
"FCT_RLOS_WORKSTEP_EVENT","PROCESSED_DATE","true","date","","Ngày xử lý chung của hồ sơ theo 3 mức ưu tiên","MAX(EXITDATE) window theo WI_NAME WHERE WORKSTEP_CODE IN ('CreditCommittee','CreditApproval') AND DECISION_CODE IN ('Send To HOSupport','Reject','Submit','Send To PostSanction','Submit To DisbursementMaker'); nếu rỗng → EXITDATE tại WORKSTEP_CODE='UnderwriterMaker' AND DECISION_CODE='Cancel'; nếu vẫn rỗng → DAYID","computed","","","review 2026-09-21: PHÁI SINH TRỰC TIẾP trên bảng này, không copy/JOIN từ FCT_RLOS_APPLICATION_DAILY. Phục vụ BC4.REPORT_DATE"
"FCT_RLOS_WORKSTEP_EVENT","WORKSTEP_FLAG","true","string(200)","","Trạng thái tổng hợp hồ sơ dạng mô tả (trường FLAG của BC4, nhánh RLOS)","LEFT JOIN WFINSTRUMENTTABLE (c) theo WI_NAME=c.PROCESSINSTANCEID AND c.CREATEDBY NOT IN ('10000380','10000020','10000420','10000140','10000100'), sau đó 5 nhánh CASE-WHEN theo WORKSTEP_CODE/DECISION_CODE của toàn bộ lịch sử WI_NAME kết hợp c.PROCESSNAME='RLOS'/c.ACTIVITYNAME (nhánh 2/4/5 khác CLOS — nhánh 4 có thêm OR (WORKSTEP_CODE='UnderwriterMaker' AND DECISION_CODE='Send to UWChecker')). Không khớp nhánh nào → NULL","join","WFINSTRUMENTTABLE","PROCESSNAME","review 2026-09-21: PHÁI SINH TRỰC TIẾP, không copy/JOIN từ FCT_RLOS_APPLICATION_DAILY (cột này đã bị xóa khỏi bảng đó). Công thức đầy đủ ở HLD dòng 5297+ (nhánh RLOS). Phục vụ BC4.FLAG"
"FCT_RLOS_WORKSTEP_EVENT","APPLICANT_SK","false","number","","Khóa tới DIM_RLOS_APPLICANT","JOIN DIM_RLOS_APPLICANT ON WI_NAME=<current>.WI_NAME AND EFF_DATE<=DAYID<EXP_DATE (hoặc EXP_DATE IS NULL) → DIMENSION_KEY","join","DIM_RLOS_APPLICANT","DIMENSION_KEY","review 2026-09-21: PHÁI SINH TRỰC TIẾP, quan hệ 1:1 với hồ sơ. Mặc định -1 nếu không khớp. RLOS dùng APPLICANT_SK thay CUSTOMER_SK (khác tên với CLOS)"
