"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"STG_DIM_CLOS_APPLICATION","DIMENSION_KEY","false","number","PK","PK — Driving: DIM_CLOS_APPLICATION","DIM_CLOS_APPLICATION.DIMENSION_KEY WHERE DIM_CLOS_APPLICATION.EXP_DATE IS NULL OR DIM_CLOS_APPLICATION.EXP_DATE >= :ETL_DATE - 3","direct","DIM_CLOS_APPLICATION","DIMENSION_KEY","Cắt lát Dim: lấy toàn bộ bản ghi đang hiệu lực (EXP_DATE IS NULL) cộng thêm mọi bản ghi đóng trong 3 ngày quá khứ gần nhất tính từ ETL_DATE"
"STG_DIM_CLOS_APPLICATION","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'CLOS'","DIM_CLOS_APPLICATION.DATASOURCE","direct","DIM_CLOS_APPLICATION","DATASOURCE",""
"STG_DIM_CLOS_APPLICATION","APPLICATION_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng","DIM_CLOS_APPLICATION.APPLICATION_SK","direct","DIM_CLOS_APPLICATION","APPLICATION_SK",""
"STG_DIM_CLOS_APPLICATION","WI_NAME","false","string(100)","NK","Business key — mã hồ sơ tín dụng CLOS","DIM_CLOS_APPLICATION.WI_NAME","direct","DIM_CLOS_APPLICATION","WI_NAME",""
"STG_DIM_CLOS_APPLICATION","LOANCASEID","true","string(100)","","Mã khoản vay gắn với hồ sơ","DIM_CLOS_APPLICATION.LOANCASEID","direct","DIM_CLOS_APPLICATION","LOANCASEID",""
"STG_DIM_CLOS_APPLICATION","FIRST_APPROVED_WI_NAME","true","string(100)","","Mã hồ sơ cha (BC11.APPROVAL_WINAME_LOS)","DIM_CLOS_APPLICATION.FIRST_APPROVED_WI_NAME","direct","DIM_CLOS_APPLICATION","FIRST_APPROVED_WI_NAME",""
"STG_DIM_CLOS_APPLICATION","FIRST_APPROVED_DATE","true","date","","Ngày phê duyệt (BC11.APPROVAL_DATE)","DIM_CLOS_APPLICATION.FIRST_APPROVED_DATE","direct","DIM_CLOS_APPLICATION","FIRST_APPROVED_DATE",""
"STG_DIM_CLOS_APPLICATION","STREAM","true","string(200)","","Luồng nghiệp vụ của hồ sơ","DIM_CLOS_APPLICATION.STREAM","direct","DIM_CLOS_APPLICATION","STREAM",""
"STG_DIM_CLOS_APPLICATION","APPROVAL_TYPE","true","string(200)","","Loại luồng phê duyệt","DIM_CLOS_APPLICATION.APPROVAL_TYPE","direct","DIM_CLOS_APPLICATION","APPROVAL_TYPE",""
"STG_DIM_CLOS_APPLICATION","CHANGE_REQUEST","true","string(200)","","Yêu cầu điều chỉnh hồ sơ","DIM_CLOS_APPLICATION.CHANGE_REQUEST","direct","DIM_CLOS_APPLICATION","CHANGE_REQUEST",""
