"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"STG_DIM_CLOS_CUSTOMER","DIMENSION_KEY","false","number","PK","PK — Driving: DIM_CLOS_CUSTOMER","DIM_CLOS_CUSTOMER.DIMENSION_KEY WHERE DIM_CLOS_CUSTOMER.EXP_DATE IS NULL OR DIM_CLOS_CUSTOMER.EXP_DATE >= v_batch_date - 3","direct","DIM_CLOS_CUSTOMER","DIMENSION_KEY","Cắt lát Dim: lấy toàn bộ bản ghi đang hiệu lực (EXP_DATE IS NULL) cộng thêm mọi bản ghi đóng trong 3 ngày quá khứ gần nhất tính từ v_batch_date. review 2026-09-22: đổi biến tham số ngày ETL từ :ETL_DATE sang v_batch_date cho khớp quy ước biến batch chuẩn"
"STG_DIM_CLOS_CUSTOMER","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'CLOS'","DIM_CLOS_CUSTOMER.DATASOURCE","direct","DIM_CLOS_CUSTOMER","DATASOURCE",""
"STG_DIM_CLOS_CUSTOMER","CUSTOMER_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng","DIM_CLOS_CUSTOMER.CUSTOMER_SK","direct","DIM_CLOS_CUSTOMER","CUSTOMER_SK",""
"STG_DIM_CLOS_CUSTOMER","WI_NAME","false","string(100)","NK","Business key — mã hồ sơ CLOS","DIM_CLOS_CUSTOMER.WI_NAME","direct","DIM_CLOS_CUSTOMER","WI_NAME",""
"STG_DIM_CLOS_CUSTOMER","FULL_NAME","true","string(200)","","Tên doanh nghiệp khách hàng","DIM_CLOS_CUSTOMER.FULL_NAME","direct","DIM_CLOS_CUSTOMER","FULL_NAME",""
"STG_DIM_CLOS_CUSTOMER","ZONE","true","string(200)","","Khu vực/vùng quản lý tự khai theo hồ sơ","DIM_CLOS_CUSTOMER.ZONE","direct","DIM_CLOS_CUSTOMER","ZONE",""
"STG_DIM_CLOS_CUSTOMER","APP_DATE","true","date","","Ngày khởi tạo/nộp hồ sơ","DIM_CLOS_CUSTOMER.APP_DATE","direct","DIM_CLOS_CUSTOMER","APP_DATE",""
"STG_DIM_CLOS_CUSTOMER","LOAN_PURPOSE","true","string(200)","","Mục đích vay (có/không tạo doanh thu)","DIM_CLOS_CUSTOMER.LOAN_PURPOSE","direct","DIM_CLOS_CUSTOMER","LOAN_PURPOSE",""
"STG_DIM_CLOS_CUSTOMER","CUST_CATEGORY","true","string(200)","","Phân loại khách hàng","DIM_CLOS_CUSTOMER.CUST_CATEGORY","direct","DIM_CLOS_CUSTOMER","CUST_CATEGORY",""
"STG_DIM_CLOS_CUSTOMER","PRECUSTGROUP","true","string(100)","","Phân khúc khách hàng trước xử lý","DIM_CLOS_CUSTOMER.PRECUSTGROUP","direct","DIM_CLOS_CUSTOMER","PRECUSTGROUP",""
"STG_DIM_CLOS_CUSTOMER","LG_REQ","true","string(10)","","Cờ yêu cầu bảo lãnh","DIM_CLOS_CUSTOMER.LG_REQ","direct","DIM_CLOS_CUSTOMER","LG_REQ",""
"STG_DIM_CLOS_CUSTOMER","FI_REQ","true","string(10)","","Cờ yêu cầu (tương tự LG_REQ)","DIM_CLOS_CUSTOMER.FI_REQ","direct","DIM_CLOS_CUSTOMER","FI_REQ",""
"STG_DIM_CLOS_CUSTOMER","PHONE_REQ","true","string(10)","","Cờ yêu cầu xác minh điện thoại","DIM_CLOS_CUSTOMER.PHONE_REQ","direct","DIM_CLOS_CUSTOMER","PHONE_REQ",""
"STG_DIM_CLOS_CUSTOMER","EMAIL","true","string(200)","","Email liên hệ của khách hàng/hồ sơ","DIM_CLOS_CUSTOMER.EMAIL","direct","DIM_CLOS_CUSTOMER","EMAIL",""
"STG_DIM_CLOS_CUSTOMER","DISTANCE_BRANCH_CUSTOMER","true","string(100)","","Dải khoảng cách từ khách hàng đến chi nhánh xử lý","DIM_CLOS_CUSTOMER.DISTANCE_BRANCH_CUSTOMER","direct","DIM_CLOS_CUSTOMER","DISTANCE_BRANCH_CUSTOMER",""
"STG_DIM_CLOS_CUSTOMER","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","DIM_CLOS_CUSTOMER.EFF_DATE","direct","DIM_CLOS_CUSTOMER","EFF_DATE",""
"STG_DIM_CLOS_CUSTOMER","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","DIM_CLOS_CUSTOMER.EXP_DATE","direct","DIM_CLOS_CUSTOMER","EXP_DATE",""
