"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"STG_DIM_CLOS_EXCEPTION_REASON","DIMENSION_KEY","false","number","PK","PK — Driving: DIM_CLOS_EXCEPTION_REASON","DIM_CLOS_EXCEPTION_REASON.DIMENSION_KEY WHERE DIM_CLOS_EXCEPTION_REASON.EXP_DATE IS NULL OR DIM_CLOS_EXCEPTION_REASON.EXP_DATE >= :ETL_DATE - 3","direct","DIM_CLOS_EXCEPTION_REASON","DIMENSION_KEY","Cắt lát Dim: lấy toàn bộ bản ghi đang hiệu lực (EXP_DATE IS NULL) cộng thêm mọi bản ghi đóng trong 3 ngày quá khứ gần nhất tính từ ETL_DATE"
"STG_DIM_CLOS_EXCEPTION_REASON","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'CLOS'","DIM_CLOS_EXCEPTION_REASON.DATASOURCE","direct","DIM_CLOS_EXCEPTION_REASON","DATASOURCE",""
"STG_DIM_CLOS_EXCEPTION_REASON","EXCEPTION_REASON_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng","DIM_CLOS_EXCEPTION_REASON.EXCEPTION_REASON_SK","direct","DIM_CLOS_EXCEPTION_REASON","EXCEPTION_REASON_SK",""
"STG_DIM_CLOS_EXCEPTION_REASON","ACTIVITYNAME","false","string(200)","NK","Business key — tên bước phát sinh nội dung cần làm rõ","DIM_CLOS_EXCEPTION_REASON.ACTIVITYNAME","direct","DIM_CLOS_EXCEPTION_REASON","ACTIVITYNAME",""
"STG_DIM_CLOS_EXCEPTION_REASON","DECISION_CODE","false","string(200)","NK","Business key — mã quyết định tại bước xử lý","DIM_CLOS_EXCEPTION_REASON.DECISION_CODE","direct","DIM_CLOS_EXCEPTION_REASON","DECISION_CODE",""
"STG_DIM_CLOS_EXCEPTION_REASON","EXCEPTION_CATEGORY","false","string(500)","NK","Business key — phân nhóm nội dung cần làm rõ","DIM_CLOS_EXCEPTION_REASON.EXCEPTION_CATEGORY","direct","DIM_CLOS_EXCEPTION_REASON","EXCEPTION_CATEGORY",""
"STG_DIM_CLOS_EXCEPTION_REASON","EXCEPTION_NAME","false","string(500)","NK","Business key — tên nội dung cần làm rõ","DIM_CLOS_EXCEPTION_REASON.EXCEPTION_NAME","direct","DIM_CLOS_EXCEPTION_REASON","EXCEPTION_NAME",""
"STG_DIM_CLOS_EXCEPTION_REASON","EXCEPTION_CODE","true","string(50)","","Mã nội dung cần làm rõ","DIM_CLOS_EXCEPTION_REASON.EXCEPTION_CODE","direct","DIM_CLOS_EXCEPTION_REASON","EXCEPTION_CODE",""
"STG_DIM_CLOS_EXCEPTION_REASON","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","DIM_CLOS_EXCEPTION_REASON.EFF_DATE","direct","DIM_CLOS_EXCEPTION_REASON","EFF_DATE",""
"STG_DIM_CLOS_EXCEPTION_REASON","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","DIM_CLOS_EXCEPTION_REASON.EXP_DATE","direct","DIM_CLOS_EXCEPTION_REASON","EXP_DATE",""
