"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"STG_DIM_CLOS_LEGAL_PARTY","DIMENSION_KEY","false","number","PK","PK — Driving: DIM_CLOS_LEGAL_PARTY","DIM_CLOS_LEGAL_PARTY.DIMENSION_KEY WHERE DIM_CLOS_LEGAL_PARTY.EXP_DATE IS NULL OR DIM_CLOS_LEGAL_PARTY.EXP_DATE >= v_batch_date - 3","direct","DIM_CLOS_LEGAL_PARTY","DIMENSION_KEY","Cắt lát Dim: lấy toàn bộ bản ghi đang hiệu lực (EXP_DATE IS NULL) cộng thêm mọi bản ghi đóng trong 3 ngày quá khứ gần nhất tính từ v_batch_date. review 2026-09-22: đổi biến tham số ngày ETL từ :ETL_DATE sang v_batch_date cho khớp quy ước biến batch chuẩn"
"STG_DIM_CLOS_LEGAL_PARTY","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, luôn cố định 'CLOS'","DIM_CLOS_LEGAL_PARTY.DATASOURCE","direct","DIM_CLOS_LEGAL_PARTY","DATASOURCE",""
"STG_DIM_CLOS_LEGAL_PARTY","LEGAL_PARTY_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng","DIM_CLOS_LEGAL_PARTY.LEGAL_PARTY_SK","direct","DIM_CLOS_LEGAL_PARTY","LEGAL_PARTY_SK",""
"STG_DIM_CLOS_LEGAL_PARTY","WI_NAME","false","string(100)","NK","Business key (1/5) — mã hồ sơ CLOS","DIM_CLOS_LEGAL_PARTY.WI_NAME","direct","DIM_CLOS_LEGAL_PARTY","WI_NAME",""
"STG_DIM_CLOS_LEGAL_PARTY","ID_NUMBER","false","string(100)","NK","Business key (2/5) — số giấy tờ định danh","DIM_CLOS_LEGAL_PARTY.ID_NUMBER","direct","DIM_CLOS_LEGAL_PARTY","ID_NUMBER",""
"STG_DIM_CLOS_LEGAL_PARTY","FULL_NAME","true","string(200)","NK","Business key (3/5) — họ tên/tên đối tượng","DIM_CLOS_LEGAL_PARTY.FULL_NAME","direct","DIM_CLOS_LEGAL_PARTY","FULL_NAME",""
"STG_DIM_CLOS_LEGAL_PARTY","OBJ_TYPE","true","string(100)","NK","Business key (4/5) — loại đối tượng của giấy tờ pháp lý","DIM_CLOS_LEGAL_PARTY.OBJ_TYPE","direct","DIM_CLOS_LEGAL_PARTY","OBJ_TYPE",""
"STG_DIM_CLOS_LEGAL_PARTY","LEGAL_DOC","true","string(100)","NK","Business key (5/5) — tên loại giấy tờ pháp lý","DIM_CLOS_LEGAL_PARTY.LEGAL_DOC","direct","DIM_CLOS_LEGAL_PARTY","LEGAL_DOC",""
"STG_DIM_CLOS_LEGAL_PARTY","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","DIM_CLOS_LEGAL_PARTY.EFF_DATE","direct","DIM_CLOS_LEGAL_PARTY","EFF_DATE",""
"STG_DIM_CLOS_LEGAL_PARTY","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","DIM_CLOS_LEGAL_PARTY.EXP_DATE","direct","DIM_CLOS_LEGAL_PARTY","EXP_DATE",""
