"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"STG_DIM_LOS_ORG_UNIT","DIMENSION_KEY","false","number","PK","PK — Driving: DIM_LOS_ORG_UNIT","DIM_LOS_ORG_UNIT.DIMENSION_KEY WHERE DIM_LOS_ORG_UNIT.EXP_DATE IS NULL OR DIM_LOS_ORG_UNIT.EXP_DATE >= :ETL_DATE - 3","direct","DIM_LOS_ORG_UNIT","DIMENSION_KEY","Cắt lát Dim: lấy toàn bộ bản ghi đang hiệu lực (EXP_DATE IS NULL) cộng thêm mọi bản ghi đóng trong 3 ngày quá khứ gần nhất tính từ ETL_DATE. Điều kiện lọc này áp dụng chung cho toàn bộ bảng"
"STG_DIM_LOS_ORG_UNIT","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ, dùng chung cho cả CLOS và RLOS","DIM_LOS_ORG_UNIT.DATASOURCE","direct","DIM_LOS_ORG_UNIT","DATASOURCE",""
"STG_DIM_LOS_ORG_UNIT","ORG_UNIT_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng — dùng để Fact lookup vào DIM này","DIM_LOS_ORG_UNIT.ORG_UNIT_SK","direct","DIM_LOS_ORG_UNIT","ORG_UNIT_SK",""
"STG_DIM_LOS_ORG_UNIT","COMPANY_CODE","false","string(50)","","Business key — mã đơn vị kinh doanh (PGD/CN, mức chi tiết nhất)","DIM_LOS_ORG_UNIT.COMPANY_CODE","direct","DIM_LOS_ORG_UNIT","COMPANY_CODE",""
"STG_DIM_LOS_ORG_UNIT","COMPANY_NAME","true","string(200)","","Tên đơn vị kinh doanh","DIM_LOS_ORG_UNIT.COMPANY_NAME","direct","DIM_LOS_ORG_UNIT","COMPANY_NAME",""
"STG_DIM_LOS_ORG_UNIT","COMPANY_ADDRESS","true","string(500)","","Địa chỉ đơn vị kinh doanh","DIM_LOS_ORG_UNIT.COMPANY_ADDRESS","direct","DIM_LOS_ORG_UNIT","COMPANY_ADDRESS",""
"STG_DIM_LOS_ORG_UNIT","COMPANY_EMAIL","true","string(200)","","Email đơn vị kinh doanh","DIM_LOS_ORG_UNIT.COMPANY_EMAIL","direct","DIM_LOS_ORG_UNIT","COMPANY_EMAIL",""
"STG_DIM_LOS_ORG_UNIT","ZONE","true","number","","Mã khu vực nội bộ theo LOS","DIM_LOS_ORG_UNIT.ZONE","direct","DIM_LOS_ORG_UNIT","ZONE",""
"STG_DIM_LOS_ORG_UNIT","BRANCH_CODE","true","string(50)","","Mã chi nhánh","DIM_LOS_ORG_UNIT.BRANCH_CODE","direct","DIM_LOS_ORG_UNIT","BRANCH_CODE",""
"STG_DIM_LOS_ORG_UNIT","BRANCH_NAME","true","string(200)","","Tên chi nhánh","DIM_LOS_ORG_UNIT.BRANCH_NAME","direct","DIM_LOS_ORG_UNIT","BRANCH_NAME",""
"STG_DIM_LOS_ORG_UNIT","CITY","true","string(100)","","Mã tỉnh/thành phố của chi nhánh","DIM_LOS_ORG_UNIT.CITY","direct","DIM_LOS_ORG_UNIT","CITY",""
"STG_DIM_LOS_ORG_UNIT","DISTRICT","true","string(100)","","Mã quận/huyện của chi nhánh","DIM_LOS_ORG_UNIT.DISTRICT","direct","DIM_LOS_ORG_UNIT","DISTRICT",""
"STG_DIM_LOS_ORG_UNIT","REGION_CODE","true","number","","Mã khu vực địa lý","DIM_LOS_ORG_UNIT.REGION_CODE","direct","DIM_LOS_ORG_UNIT","REGION_CODE",""
"STG_DIM_LOS_ORG_UNIT","REGION_NAME","true","string(200)","","Tên khu vực địa lý","DIM_LOS_ORG_UNIT.REGION_NAME","direct","DIM_LOS_ORG_UNIT","REGION_NAME",""
"STG_DIM_LOS_ORG_UNIT","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","DIM_LOS_ORG_UNIT.EFF_DATE","direct","DIM_LOS_ORG_UNIT","EFF_DATE",""
"STG_DIM_LOS_ORG_UNIT","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","DIM_LOS_ORG_UNIT.EXP_DATE","direct","DIM_LOS_ORG_UNIT","EXP_DATE",""
