"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"STG_DIM_RLOS_APPLICANT","DIMENSION_KEY","false","number","PK","PK — Driving: DIM_RLOS_APPLICANT","DIM_RLOS_APPLICANT.DIMENSION_KEY WHERE DIM_RLOS_APPLICANT.EXP_DATE IS NULL OR DIM_RLOS_APPLICANT.EXP_DATE >= :ETL_DATE - 3","direct","DIM_RLOS_APPLICANT","DIMENSION_KEY","Cắt lát Dim: lấy toàn bộ bản ghi đang hiệu lực (EXP_DATE IS NULL) cộng thêm mọi bản ghi đóng trong 3 ngày quá khứ gần nhất tính từ ETL_DATE"
"STG_DIM_RLOS_APPLICANT","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","DIM_RLOS_APPLICANT.DATASOURCE","direct","DIM_RLOS_APPLICANT","DATASOURCE",""
"STG_DIM_RLOS_APPLICANT","APPLICANT_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng","DIM_RLOS_APPLICANT.APPLICANT_SK","direct","DIM_RLOS_APPLICANT","APPLICANT_SK",""
"STG_DIM_RLOS_APPLICANT","WI_NAME","false","string(100)","NK","Business key — mã hồ sơ RLOS","DIM_RLOS_APPLICANT.WI_NAME","direct","DIM_RLOS_APPLICANT","WI_NAME",""
"STG_DIM_RLOS_APPLICANT","FULL_NAME","true","string(200)","","Họ tên đầy đủ","DIM_RLOS_APPLICANT.FULL_NAME","direct","DIM_RLOS_APPLICANT","FULL_NAME",""
"STG_DIM_RLOS_APPLICANT","DATE_OF_BIRTH","true","date","","Ngày sinh","DIM_RLOS_APPLICANT.DATE_OF_BIRTH","direct","DIM_RLOS_APPLICANT","DATE_OF_BIRTH",""
"STG_DIM_RLOS_APPLICANT","GENDER","true","string(20)","","Giới tính","DIM_RLOS_APPLICANT.GENDER","direct","DIM_RLOS_APPLICANT","GENDER",""
"STG_DIM_RLOS_APPLICANT","MARRIAGE_STATUS","true","string(100)","","Tình trạng hôn nhân","DIM_RLOS_APPLICANT.MARRIAGE_STATUS","direct","DIM_RLOS_APPLICANT","MARRIAGE_STATUS",""
"STG_DIM_RLOS_APPLICANT","EDUCATION_LEVEL","true","string(100)","","Trình độ học vấn","DIM_RLOS_APPLICANT.EDUCATION_LEVEL","direct","DIM_RLOS_APPLICANT","EDUCATION_LEVEL",""
"STG_DIM_RLOS_APPLICANT","VEHICLE","true","string(100)","","Phương tiện đi lại","DIM_RLOS_APPLICANT.VEHICLE","direct","DIM_RLOS_APPLICANT","VEHICLE",""
"STG_DIM_RLOS_APPLICANT","PERM_ADDRESS","true","string(500)","","Địa chỉ thường trú","DIM_RLOS_APPLICANT.PERM_ADDRESS","direct","DIM_RLOS_APPLICANT","PERM_ADDRESS",""
"STG_DIM_RLOS_APPLICANT","CURR_HOUSE_NO","true","string(200)","","Số nhà thuộc địa chỉ hiện tại","DIM_RLOS_APPLICANT.CURR_HOUSE_NO","direct","DIM_RLOS_APPLICANT","CURR_HOUSE_NO",""
"STG_DIM_RLOS_APPLICANT","CURR_WARD","true","string(100)","","Phường xã thuộc địa chỉ hiện tại","DIM_RLOS_APPLICANT.CURR_WARD","direct","DIM_RLOS_APPLICANT","CURR_WARD",""
"STG_DIM_RLOS_APPLICANT","GEO_SK","false","number","","Khóa tới DIM_RLOS_GEO","DIM_RLOS_APPLICANT.GEO_SK","direct","DIM_RLOS_APPLICANT","GEO_SK",""
