"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"STG_DIM_RLOS_APPLICATION","DIMENSION_KEY","false","number","PK","PK — Driving: DIM_RLOS_APPLICATION","DIM_RLOS_APPLICATION.DIMENSION_KEY WHERE DIM_RLOS_APPLICATION.EXP_DATE IS NULL OR DIM_RLOS_APPLICATION.EXP_DATE >= v_batch_date - 3","direct","DIM_RLOS_APPLICATION","DIMENSION_KEY","Cắt lát Dim: lấy toàn bộ bản ghi đang hiệu lực (EXP_DATE IS NULL) cộng thêm mọi bản ghi đóng trong 3 ngày quá khứ gần nhất tính từ v_batch_date. review 2026-09-22: đổi biến tham số ngày ETL từ :ETL_DATE sang v_batch_date cho khớp quy ước biến batch chuẩn"
"STG_DIM_RLOS_APPLICATION","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","DIM_RLOS_APPLICATION.DATASOURCE","direct","DIM_RLOS_APPLICATION","DATASOURCE",""
"STG_DIM_RLOS_APPLICATION","APPLICATION_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng","DIM_RLOS_APPLICATION.APPLICATION_SK","direct","DIM_RLOS_APPLICATION","APPLICATION_SK",""
"STG_DIM_RLOS_APPLICATION","WI_NAME","false","string(100)","NK","Business key — mã hồ sơ tín dụng RLOS","DIM_RLOS_APPLICATION.WI_NAME","direct","DIM_RLOS_APPLICATION","WI_NAME",""
"STG_DIM_RLOS_APPLICATION","LOANCASEID","true","string(100)","","Mã khoản vay gắn với hồ sơ","DIM_RLOS_APPLICATION.LOANCASEID","direct","DIM_RLOS_APPLICATION","LOANCASEID",""
"STG_DIM_RLOS_APPLICATION","STREAM","true","string(200)","","Luồng nghiệp vụ của hồ sơ","DIM_RLOS_APPLICATION.STREAM","direct","DIM_RLOS_APPLICATION","STREAM",""
"STG_DIM_RLOS_APPLICATION","CHANGE_REQUEST","true","string(200)","","Yêu cầu điều chỉnh hồ sơ","DIM_RLOS_APPLICATION.CHANGE_REQUEST","direct","DIM_RLOS_APPLICATION","CHANGE_REQUEST",""
"STG_DIM_RLOS_APPLICATION","CHANGE_TYPE","true","string(500)","","Loại thay đổi điều kiện phê duyệt","DIM_RLOS_APPLICATION.CHANGE_TYPE","direct","DIM_RLOS_APPLICATION","CHANGE_TYPE",""
"STG_DIM_RLOS_APPLICATION","POLICY","true","string(200)","","Chính sách tín dụng áp dụng cho hồ sơ","DIM_RLOS_APPLICATION.POLICY","direct","DIM_RLOS_APPLICATION","POLICY",""
"STG_DIM_RLOS_APPLICATION","CAMPAIGN","true","string(200)","","Chương trình bán áp dụng cho hồ sơ","DIM_RLOS_APPLICATION.CAMPAIGN","direct","DIM_RLOS_APPLICATION","CAMPAIGN",""
