"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"STG_DIM_RLOS_COREPAYER","DIMENSION_KEY","false","number","PK","PK — Driving: DIM_RLOS_COREPAYER","DIM_RLOS_COREPAYER.DIMENSION_KEY WHERE DIM_RLOS_COREPAYER.EXP_DATE IS NULL OR DIM_RLOS_COREPAYER.EXP_DATE >= :ETL_DATE - 3","direct","DIM_RLOS_COREPAYER","DIMENSION_KEY","Cắt lát Dim: lấy toàn bộ bản ghi đang hiệu lực (EXP_DATE IS NULL) cộng thêm mọi bản ghi đóng trong 3 ngày quá khứ gần nhất tính từ ETL_DATE"
"STG_DIM_RLOS_COREPAYER","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","DIM_RLOS_COREPAYER.DATASOURCE","direct","DIM_RLOS_COREPAYER","DATASOURCE",""
"STG_DIM_RLOS_COREPAYER","COREPAYER_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng","DIM_RLOS_COREPAYER.COREPAYER_SK","direct","DIM_RLOS_COREPAYER","COREPAYER_SK",""
"STG_DIM_RLOS_COREPAYER","WI_NAME","false","string(100)","NK","Business key — mã hồ sơ RLOS","DIM_RLOS_COREPAYER.WI_NAME","direct","DIM_RLOS_COREPAYER","WI_NAME",""
"STG_DIM_RLOS_COREPAYER","ID_NO_CO","false","string(100)","NK","Business key — nhãn thứ tự người đồng trả nợ","DIM_RLOS_COREPAYER.ID_NO_CO","direct","DIM_RLOS_COREPAYER","ID_NO_CO",""
"STG_DIM_RLOS_COREPAYER","REL_TO_APPLICANT","false","string(200)","NK","Business key — quan hệ với người đề nghị vay chính","DIM_RLOS_COREPAYER.REL_TO_APPLICANT","direct","DIM_RLOS_COREPAYER","REL_TO_APPLICANT",""
"STG_DIM_RLOS_COREPAYER","FULL_NAME","true","string(200)","","Họ tên đầy đủ","DIM_RLOS_COREPAYER.FULL_NAME","direct","DIM_RLOS_COREPAYER","FULL_NAME",""
"STG_DIM_RLOS_COREPAYER","DATE_OF_BIRTH","true","date","","Ngày sinh","DIM_RLOS_COREPAYER.DATE_OF_BIRTH","direct","DIM_RLOS_COREPAYER","DATE_OF_BIRTH",""
"STG_DIM_RLOS_COREPAYER","NATIONALITY","true","string(100)","","Quốc tịch","DIM_RLOS_COREPAYER.NATIONALITY","direct","DIM_RLOS_COREPAYER","NATIONALITY",""
"STG_DIM_RLOS_COREPAYER","TITLE","true","string(30)","","Danh xưng","DIM_RLOS_COREPAYER.TITLE","direct","DIM_RLOS_COREPAYER","TITLE",""
"STG_DIM_RLOS_COREPAYER","HOUSEHOLD","true","string(100)","","Số sổ hộ khẩu","DIM_RLOS_COREPAYER.HOUSEHOLD","direct","DIM_RLOS_COREPAYER","HOUSEHOLD",""
"STG_DIM_RLOS_COREPAYER","PHONE_1","true","string(50)","","Số điện thoại di động chính","DIM_RLOS_COREPAYER.PHONE_1","direct","DIM_RLOS_COREPAYER","PHONE_1",""
"STG_DIM_RLOS_COREPAYER","PHONE_2","true","string(50)","","Số điện thoại phụ","DIM_RLOS_COREPAYER.PHONE_2","direct","DIM_RLOS_COREPAYER","PHONE_2",""
"STG_DIM_RLOS_COREPAYER","HOME_PHONE","true","string(50)","","Số điện thoại cố định","DIM_RLOS_COREPAYER.HOME_PHONE","direct","DIM_RLOS_COREPAYER","HOME_PHONE",""
"STG_DIM_RLOS_COREPAYER","ADD_ID_COREPAYER","true","string(500)","","Số giấy tờ chính của corepayer","DIM_RLOS_COREPAYER.ADD_ID_COREPAYER","direct","DIM_RLOS_COREPAYER","ADD_ID_COREPAYER",""
"STG_DIM_RLOS_COREPAYER","ADD_ID_OTHER_COREPAYER","true","string(1000)","","Số giấy tờ khác của corepayer","DIM_RLOS_COREPAYER.ADD_ID_OTHER_COREPAYER","direct","DIM_RLOS_COREPAYER","ADD_ID_OTHER_COREPAYER",""
"STG_DIM_RLOS_COREPAYER","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","DIM_RLOS_COREPAYER.EFF_DATE","direct","DIM_RLOS_COREPAYER","EFF_DATE",""
"STG_DIM_RLOS_COREPAYER","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","DIM_RLOS_COREPAYER.EXP_DATE","direct","DIM_RLOS_COREPAYER","EXP_DATE",""
