"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"STG_DIM_RLOS_GEO","DIMENSION_KEY","false","number","PK","PK — Driving: DIM_RLOS_GEO","DIM_RLOS_GEO.DIMENSION_KEY WHERE DIM_RLOS_GEO.EXP_DATE IS NULL OR DIM_RLOS_GEO.EXP_DATE >= v_batch_date - 3","direct","DIM_RLOS_GEO","DIMENSION_KEY","Cắt lát Dim: lấy toàn bộ bản ghi đang hiệu lực (EXP_DATE IS NULL) cộng thêm mọi bản ghi đóng trong 3 ngày quá khứ gần nhất tính từ v_batch_date. review 2026-09-22: đổi biến tham số ngày ETL từ :ETL_DATE sang v_batch_date cho khớp quy ước biến batch chuẩn"
"STG_DIM_RLOS_GEO","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","DIM_RLOS_GEO.DATASOURCE","direct","DIM_RLOS_GEO","DATASOURCE",""
"STG_DIM_RLOS_GEO","GEO_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng","DIM_RLOS_GEO.GEO_SK","direct","DIM_RLOS_GEO","GEO_SK",""
"STG_DIM_RLOS_GEO","CITY_CODE","false","string(50)","NK","Business key — mã tỉnh thành","DIM_RLOS_GEO.CITY_CODE","direct","DIM_RLOS_GEO","CITY_CODE",""
"STG_DIM_RLOS_GEO","CITY_NAME","true","string(200)","","Tên tỉnh thành","DIM_RLOS_GEO.CITY_NAME","direct","DIM_RLOS_GEO","CITY_NAME",""
"STG_DIM_RLOS_GEO","CITY_NAME_VN","true","string(200)","","Tên tỉnh thành tiếng Việt có dấu","DIM_RLOS_GEO.CITY_NAME_VN","direct","DIM_RLOS_GEO","CITY_NAME_VN",""
"STG_DIM_RLOS_GEO","DISTRICT_CODE","true","string(50)","NK","Mã quận huyện","DIM_RLOS_GEO.DISTRICT_CODE","direct","DIM_RLOS_GEO","DISTRICT_CODE",""
"STG_DIM_RLOS_GEO","DISTRICT_NAME","true","string(200)","","Tên quận huyện","DIM_RLOS_GEO.DISTRICT_NAME","direct","DIM_RLOS_GEO","DISTRICT_NAME",""
"STG_DIM_RLOS_GEO","DISTRICT_NAME_VN","true","string(200)","","Tên quận huyện tiếng Việt có dấu","DIM_RLOS_GEO.DISTRICT_NAME_VN","direct","DIM_RLOS_GEO","DISTRICT_NAME_VN",""
"STG_DIM_RLOS_GEO","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","DIM_RLOS_GEO.EFF_DATE","direct","DIM_RLOS_GEO","EFF_DATE",""
"STG_DIM_RLOS_GEO","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","DIM_RLOS_GEO.EXP_DATE","direct","DIM_RLOS_GEO","EXP_DATE",""
