"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"STG_DIM_RLOS_PRODUCT","DIMENSION_KEY","false","number","PK","PK — Driving: DIM_RLOS_PRODUCT","DIM_RLOS_PRODUCT.DIMENSION_KEY WHERE DIM_RLOS_PRODUCT.EXP_DATE IS NULL OR DIM_RLOS_PRODUCT.EXP_DATE >= v_batch_date - 3","direct","DIM_RLOS_PRODUCT","DIMENSION_KEY","Cắt lát Dim: lấy toàn bộ bản ghi đang hiệu lực (EXP_DATE IS NULL) cộng thêm mọi bản ghi đóng trong 3 ngày quá khứ gần nhất tính từ v_batch_date. review 2026-09-22: đổi biến tham số ngày ETL từ :ETL_DATE sang v_batch_date cho khớp quy ước biến batch chuẩn"
"STG_DIM_RLOS_PRODUCT","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","DIM_RLOS_PRODUCT.DATASOURCE","direct","DIM_RLOS_PRODUCT","DATASOURCE",""
"STG_DIM_RLOS_PRODUCT","PRODUCT_SK","false","number","","Bằng đúng DIMENSION_KEY cùng dòng","DIM_RLOS_PRODUCT.PRODUCT_SK","direct","DIM_RLOS_PRODUCT","PRODUCT_SK",""
"STG_DIM_RLOS_PRODUCT","PRODUCT_LINE_CODE","false","string(100)","NK","Business key — mã dòng sản phẩm","DIM_RLOS_PRODUCT.PRODUCT_LINE_CODE","direct","DIM_RLOS_PRODUCT","PRODUCT_LINE_CODE",""
"STG_DIM_RLOS_PRODUCT","PRODUCT_LINE_NAME","true","string(200)","","Tên dòng sản phẩm","DIM_RLOS_PRODUCT.PRODUCT_LINE_NAME","direct","DIM_RLOS_PRODUCT","PRODUCT_LINE_NAME",""
"STG_DIM_RLOS_PRODUCT","SECONDARY_PRODUCT","true","string(100)","","Sản phẩm phụ đi kèm","DIM_RLOS_PRODUCT.SECONDARY_PRODUCT","direct","DIM_RLOS_PRODUCT","SECONDARY_PRODUCT",""
"STG_DIM_RLOS_PRODUCT","SUB_PRODUCT_CODE","false","string(100)","NK","Mã sản phẩm nhánh","DIM_RLOS_PRODUCT.SUB_PRODUCT_CODE","direct","DIM_RLOS_PRODUCT","SUB_PRODUCT_CODE",""
"STG_DIM_RLOS_PRODUCT","PRODUCT_NAME","true","string(150)","NK","Tên sản phẩm tín dụng chi tiết","DIM_RLOS_PRODUCT.PRODUCT_NAME","direct","DIM_RLOS_PRODUCT","PRODUCT_NAME",""
"STG_DIM_RLOS_PRODUCT","SCORE_REQUIRED","true","string(10)","","Cờ yêu cầu chấm điểm","DIM_RLOS_PRODUCT.SCORE_REQUIRED","direct","DIM_RLOS_PRODUCT","SCORE_REQUIRED",""
"STG_DIM_RLOS_PRODUCT","SCORE_MODEL","true","string(100)","","Mô hình chấm điểm áp dụng","DIM_RLOS_PRODUCT.SCORE_MODEL","direct","DIM_RLOS_PRODUCT","SCORE_MODEL",""
"STG_DIM_RLOS_PRODUCT","EFF_DATE","false","date","","Ngày bắt đầu hiệu lực của phiên bản bản ghi (SCD Type 2)","DIM_RLOS_PRODUCT.EFF_DATE","direct","DIM_RLOS_PRODUCT","EFF_DATE",""
"STG_DIM_RLOS_PRODUCT","EXP_DATE","true","date","","Ngày hết hiệu lực của phiên bản bản ghi; NULL = bản ghi hiện hành","DIM_RLOS_PRODUCT.EXP_DATE","direct","DIM_RLOS_PRODUCT","EXP_DATE",""
