"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"STG_FCT_CLOS_APPLICATION_DAILY","DAYID","false","date","PK","PK (1/2) — Driving: FCT_CLOS_APPLICATION_DAILY. Ngày dữ liệu","FCT_CLOS_APPLICATION_DAILY.DAYID WHERE FCT_CLOS_APPLICATION_DAILY.DAYID = :ETL_DATE","direct","FCT_CLOS_APPLICATION_DAILY","DAYID","Cắt lát Fact: chỉ lấy đúng 1 ngày = ngày ETL chạy. Điều kiện lọc này áp dụng chung cho toàn bộ bảng"
"STG_FCT_CLOS_APPLICATION_DAILY","WI_NAME","false","string(100)","PK","PK (2/2) — mã hồ sơ tín dụng CLOS","FCT_CLOS_APPLICATION_DAILY.WI_NAME","direct","FCT_CLOS_APPLICATION_DAILY","WI_NAME",""
"STG_FCT_CLOS_APPLICATION_DAILY","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","FCT_CLOS_APPLICATION_DAILY.DATASOURCE","direct","FCT_CLOS_APPLICATION_DAILY","DATASOURCE",""
"STG_FCT_CLOS_APPLICATION_DAILY","APPLICATION_SK","false","number","","Khóa tới DIM_CLOS_APPLICATION","FCT_CLOS_APPLICATION_DAILY.APPLICATION_SK","direct","FCT_CLOS_APPLICATION_DAILY","APPLICATION_SK",""
"STG_FCT_CLOS_APPLICATION_DAILY","CURRENT_WORKSTEP_SK","false","number","","Khóa tới DIM_CLOS_WORKSTEP hiện tại","FCT_CLOS_APPLICATION_DAILY.CURRENT_WORKSTEP_SK","direct","FCT_CLOS_APPLICATION_DAILY","CURRENT_WORKSTEP_SK",""
"STG_FCT_CLOS_APPLICATION_DAILY","LAST_WORKSTEP_SK","false","number","","Khóa tới DIM_CLOS_WORKSTEP của sự kiện hoàn tất gần nhất","FCT_CLOS_APPLICATION_DAILY.LAST_WORKSTEP_SK","direct","FCT_CLOS_APPLICATION_DAILY","LAST_WORKSTEP_SK",""
"STG_FCT_CLOS_APPLICATION_DAILY","LAST_DECISION_SK","false","number","","Khóa tới DIM_CLOS_DECISION của sự kiện hoàn tất gần nhất","FCT_CLOS_APPLICATION_DAILY.LAST_DECISION_SK","direct","FCT_CLOS_APPLICATION_DAILY","LAST_DECISION_SK",""
"STG_FCT_CLOS_APPLICATION_DAILY","LAST_USER_SK","false","number","","Khóa tới DIM_LOS_USER","FCT_CLOS_APPLICATION_DAILY.LAST_USER_SK","direct","FCT_CLOS_APPLICATION_DAILY","LAST_USER_SK",""
"STG_FCT_CLOS_APPLICATION_DAILY","PRODUCT_SK","false","number","","Khóa tới DIM_CLOS_PRODUCT","FCT_CLOS_APPLICATION_DAILY.PRODUCT_SK","direct","FCT_CLOS_APPLICATION_DAILY","PRODUCT_SK",""
"STG_FCT_CLOS_APPLICATION_DAILY","ORG_UNIT_SK","false","number","","Khóa tới DIM_LOS_ORG_UNIT","FCT_CLOS_APPLICATION_DAILY.ORG_UNIT_SK","direct","FCT_CLOS_APPLICATION_DAILY","ORG_UNIT_SK",""
