"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"STG_FCT_CLOS_COLLATERAL","DAYID","false","date","PK","PK (1/3) — Driving: FCT_CLOS_COLLATERAL. Ngày dữ liệu","FCT_CLOS_COLLATERAL.DAYID WHERE FCT_CLOS_COLLATERAL.DAYID = v_batch_date","direct","FCT_CLOS_COLLATERAL","DAYID","Cắt lát Fact: chỉ lấy đúng 1 ngày = ngày ETL chạy. Điều kiện lọc này áp dụng chung cho toàn bộ bảng. review 2026-09-22: đổi biến tham số ngày ETL từ :ETL_DATE sang v_batch_date cho khớp quy ước biến batch chuẩn"
"STG_FCT_CLOS_COLLATERAL","WI_NAME","false","string(100)","PK","PK (2/3) — mã hồ sơ tín dụng CLOS","FCT_CLOS_COLLATERAL.WI_NAME","direct","FCT_CLOS_COLLATERAL","WI_NAME",""
"STG_FCT_CLOS_COLLATERAL","COLLATERAL_BK","false","string(64)","PK","PK (3/3) — khóa nghiệp vụ của dòng tài sản","FCT_CLOS_COLLATERAL.COLLATERAL_BK","direct","FCT_CLOS_COLLATERAL","COLLATERAL_BK",""
"STG_FCT_CLOS_COLLATERAL","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","FCT_CLOS_COLLATERAL.DATASOURCE","direct","FCT_CLOS_COLLATERAL","DATASOURCE",""
"STG_FCT_CLOS_COLLATERAL","APPLICATION_SK","false","number","","Khóa tới DIM_CLOS_APPLICATION","FCT_CLOS_COLLATERAL.APPLICATION_SK","direct","FCT_CLOS_COLLATERAL","APPLICATION_SK",""
"STG_FCT_CLOS_COLLATERAL","COLLATERAL_TYPE_SK","false","number","","Khóa tới DIM_CLOS_COLLATERAL_TYPE","FCT_CLOS_COLLATERAL.COLLATERAL_TYPE_SK","direct","FCT_CLOS_COLLATERAL","COLLATERAL_TYPE_SK",""
"STG_FCT_CLOS_COLLATERAL","COLLATERAL_TYPE_CODE","true","string(100)","","Mã loại tài sản bảo đảm","FCT_CLOS_COLLATERAL.COLLATERAL_TYPE_CODE","direct","FCT_CLOS_COLLATERAL","COLLATERAL_TYPE_CODE",""
"STG_FCT_CLOS_COLLATERAL","DESCRIPTION","true","string(4000)","","Diễn giải tài sản bảo đảm","FCT_CLOS_COLLATERAL.DESCRIPTION","direct","FCT_CLOS_COLLATERAL","DESCRIPTION",""
"STG_FCT_CLOS_COLLATERAL","OWNER_NAME","true","string(200)","","Chủ sở hữu tài sản","FCT_CLOS_COLLATERAL.OWNER_NAME","direct","FCT_CLOS_COLLATERAL","OWNER_NAME",""
"STG_FCT_CLOS_COLLATERAL","COLL_MGMT_METHOD","true","string(4000)","","Phương thức quản lý tài sản","FCT_CLOS_COLLATERAL.COLL_MGMT_METHOD","direct","FCT_CLOS_COLLATERAL","COLL_MGMT_METHOD",""
"STG_FCT_CLOS_COLLATERAL","APPRAISED_VALUE","true","number(20,2)","","Giá trị định giá của tài sản","FCT_CLOS_COLLATERAL.APPRAISED_VALUE","direct","FCT_CLOS_COLLATERAL","APPRAISED_VALUE",""
"STG_FCT_CLOS_COLLATERAL","LOAN_RATE_LTV","true","number(5,2)","","Tỷ lệ cho vay trên giá trị tài sản","FCT_CLOS_COLLATERAL.LOAN_RATE_LTV","direct","FCT_CLOS_COLLATERAL","LOAN_RATE_LTV",""
