"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"STG_FCT_CLOS_EXCEPTION","DAYID","false","date","PK","PK (1/5) — Driving: FCT_CLOS_EXCEPTION. Ngày dữ liệu","FCT_CLOS_EXCEPTION.DAYID WHERE FCT_CLOS_EXCEPTION.DAYID = :ETL_DATE","direct","FCT_CLOS_EXCEPTION","DAYID","Cắt lát Fact: chỉ lấy đúng 1 ngày = ngày ETL chạy. Điều kiện lọc này áp dụng chung cho toàn bộ bảng"
"STG_FCT_CLOS_EXCEPTION","WI_NAME","false","string(100)","PK","PK (2/5) — mã hồ sơ tín dụng CLOS","FCT_CLOS_EXCEPTION.WI_NAME","direct","FCT_CLOS_EXCEPTION","WI_NAME",""
"STG_FCT_CLOS_EXCEPTION","APPLICATION_SK","false","number","","Khóa tới DIM_CLOS_APPLICATION","FCT_CLOS_EXCEPTION.APPLICATION_SK","direct","FCT_CLOS_EXCEPTION","APPLICATION_SK",""
"STG_FCT_CLOS_EXCEPTION","EXCEPTION_REASON_SK","false","number","","Khóa tới DIM_CLOS_EXCEPTION_REASON","FCT_CLOS_EXCEPTION.EXCEPTION_REASON_SK","direct","FCT_CLOS_EXCEPTION","EXCEPTION_REASON_SK",""
"STG_FCT_CLOS_EXCEPTION","RAISED_BY_USER_SK","false","number","","Khóa tới DIM_LOS_USER, người nêu lý do","FCT_CLOS_EXCEPTION.RAISED_BY_USER_SK","direct","FCT_CLOS_EXCEPTION","RAISED_BY_USER_SK",""
"STG_FCT_CLOS_EXCEPTION","EXCEPTION_CATEGORY","false","string(500)","PK","PK (3/5) — phân nhóm nội dung cần làm rõ","FCT_CLOS_EXCEPTION.EXCEPTION_CATEGORY","direct","FCT_CLOS_EXCEPTION","EXCEPTION_CATEGORY",""
"STG_FCT_CLOS_EXCEPTION","EXCEPTION_NAME","true","string(500)","","Tên nội dung cần làm rõ","FCT_CLOS_EXCEPTION.EXCEPTION_NAME","direct","FCT_CLOS_EXCEPTION","EXCEPTION_NAME",""
"STG_FCT_CLOS_EXCEPTION","EXCEPTION_REMARKS","true","string(4000)","","Ghi chú của nội dung cần làm rõ","FCT_CLOS_EXCEPTION.EXCEPTION_REMARKS","direct","FCT_CLOS_EXCEPTION","EXCEPTION_REMARKS",""
"STG_FCT_CLOS_EXCEPTION","RAISED_BY","false","string(100)","PK","PK (4/5) — người nêu nội dung cần làm rõ","FCT_CLOS_EXCEPTION.RAISED_BY","direct","FCT_CLOS_EXCEPTION","RAISED_BY",""
"STG_FCT_CLOS_EXCEPTION","RAISED_DATE_TIME","false","timestamp","PK","PK (5/5) — thời điểm nêu nội dung cần làm rõ","FCT_CLOS_EXCEPTION.RAISED_DATE_TIME","direct","FCT_CLOS_EXCEPTION","RAISED_DATE_TIME",""
"STG_FCT_CLOS_EXCEPTION","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","FCT_CLOS_EXCEPTION.DATASOURCE","direct","FCT_CLOS_EXCEPTION","DATASOURCE",""
"STG_FCT_CLOS_EXCEPTION","RCTYPE","true","string(20)","","Loại ghi nhận, Raise hay Clear","FCT_CLOS_EXCEPTION.RCTYPE","direct","FCT_CLOS_EXCEPTION","RCTYPE",""
"STG_FCT_CLOS_EXCEPTION","CHECK_FTR","true","string(20)","","Vi phạm nguyên tắc First Time Right","FCT_CLOS_EXCEPTION.CHECK_FTR","direct","FCT_CLOS_EXCEPTION","CHECK_FTR",""
"STG_FCT_CLOS_EXCEPTION","FIRST_WORKSTEP_RETURN","true","string(200)","","Bước xử lý phát sinh trả về đầu tiên","FCT_CLOS_EXCEPTION.FIRST_WORKSTEP_RETURN","direct","FCT_CLOS_EXCEPTION","FIRST_WORKSTEP_RETURN",""
"STG_FCT_CLOS_EXCEPTION","PHAN_LOAI_DDE","true","string(100)","","Phân loại nguyên nhân trả về ở khâu nhập liệu","FCT_CLOS_EXCEPTION.PHAN_LOAI_DDE","direct","FCT_CLOS_EXCEPTION","PHAN_LOAI_DDE",""
