"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"STG_FCT_RLOS_APPLICATION_DAILY","DAYID","false","date","PK","Ngày dữ liệu","FCT_RLOS_APPLICATION_DAILY.DAYID WHERE FCT_RLOS_APPLICATION_DAILY.DAYID = v_batch_date","direct","FCT_RLOS_APPLICATION_DAILY","DAYID","Cắt lát Fact: chỉ lấy đúng 1 ngày = ngày ETL chạy. Điều kiện lọc này áp dụng chung cho toàn bộ bảng. review 2026-09-22: đổi biến tham số ngày ETL từ :ETL_DATE sang v_batch_date cho khớp quy ước biến batch chuẩn"
"STG_FCT_RLOS_APPLICATION_DAILY","WI_NAME","false","string(100)","PK","Mã hồ sơ tín dụng RLOS","FCT_RLOS_APPLICATION_DAILY.WI_NAME","direct","FCT_RLOS_APPLICATION_DAILY","WI_NAME",""
"STG_FCT_RLOS_APPLICATION_DAILY","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","FCT_RLOS_APPLICATION_DAILY.DATASOURCE","direct","FCT_RLOS_APPLICATION_DAILY","DATASOURCE",""
"STG_FCT_RLOS_APPLICATION_DAILY","APPLICATION_SK","false","number","","Khóa tới DIM_RLOS_APPLICATION","FCT_RLOS_APPLICATION_DAILY.APPLICATION_SK","direct","FCT_RLOS_APPLICATION_DAILY","APPLICATION_SK",""
"STG_FCT_RLOS_APPLICATION_DAILY","CURRENT_WORKSTEP_SK","false","number","","Khóa tới DIM_RLOS_WORKSTEP hiện tại","FCT_RLOS_APPLICATION_DAILY.CURRENT_WORKSTEP_SK","direct","FCT_RLOS_APPLICATION_DAILY","CURRENT_WORKSTEP_SK",""
"STG_FCT_RLOS_APPLICATION_DAILY","LAST_WORKSTEP_SK","false","number","","Khóa tới DIM_RLOS_WORKSTEP của sự kiện hoàn tất gần nhất","FCT_RLOS_APPLICATION_DAILY.LAST_WORKSTEP_SK","direct","FCT_RLOS_APPLICATION_DAILY","LAST_WORKSTEP_SK",""
"STG_FCT_RLOS_APPLICATION_DAILY","LAST_DECISION_SK","false","number","","Khóa tới DIM_RLOS_DECISION của sự kiện hoàn tất gần nhất","FCT_RLOS_APPLICATION_DAILY.LAST_DECISION_SK","direct","FCT_RLOS_APPLICATION_DAILY","LAST_DECISION_SK",""
"STG_FCT_RLOS_APPLICATION_DAILY","LAST_USER_SK","false","number","","Khóa tới DIM_LOS_USER","FCT_RLOS_APPLICATION_DAILY.LAST_USER_SK","direct","FCT_RLOS_APPLICATION_DAILY","LAST_USER_SK",""
"STG_FCT_RLOS_APPLICATION_DAILY","PRODUCT_SK","false","number","","Khóa tới DIM_RLOS_PRODUCT","FCT_RLOS_APPLICATION_DAILY.PRODUCT_SK","direct","FCT_RLOS_APPLICATION_DAILY","PRODUCT_SK",""
"STG_FCT_RLOS_APPLICATION_DAILY","ORG_UNIT_SK","false","number","","Khóa tới DIM_LOS_ORG_UNIT","FCT_RLOS_APPLICATION_DAILY.ORG_UNIT_SK","direct","FCT_RLOS_APPLICATION_DAILY","ORG_UNIT_SK",""
