"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"STG_FCT_RLOS_COLLATERAL","DAYID","false","date","PK","Ngày dữ liệu","FCT_RLOS_COLLATERAL.DAYID WHERE FCT_RLOS_COLLATERAL.DAYID = :ETL_DATE","direct","FCT_RLOS_COLLATERAL","DAYID","Cắt lát Fact: chỉ lấy đúng 1 ngày = ngày ETL chạy. Điều kiện lọc này áp dụng chung cho toàn bộ bảng"
"STG_FCT_RLOS_COLLATERAL","WI_NAME","false","string(100)","PK","Mã hồ sơ tín dụng RLOS","FCT_RLOS_COLLATERAL.WI_NAME","direct","FCT_RLOS_COLLATERAL","WI_NAME",""
"STG_FCT_RLOS_COLLATERAL","COLLATERAL_BK","false","string(64)","PK","Khóa nghiệp vụ của dòng tài sản","FCT_RLOS_COLLATERAL.COLLATERAL_BK","direct","FCT_RLOS_COLLATERAL","COLLATERAL_BK",""
"STG_FCT_RLOS_COLLATERAL","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","FCT_RLOS_COLLATERAL.DATASOURCE","direct","FCT_RLOS_COLLATERAL","DATASOURCE",""
"STG_FCT_RLOS_COLLATERAL","APPLICATION_SK","false","number","","Khóa tới DIM_RLOS_APPLICATION","FCT_RLOS_COLLATERAL.APPLICATION_SK","direct","FCT_RLOS_COLLATERAL","APPLICATION_SK",""
"STG_FCT_RLOS_COLLATERAL","COLLATERAL_TYPE_SK","false","number","","Khóa tới DIM_RLOS_COLLATERAL_TYPE","FCT_RLOS_COLLATERAL.COLLATERAL_TYPE_SK","direct","FCT_RLOS_COLLATERAL","COLLATERAL_TYPE_SK",""
"STG_FCT_RLOS_COLLATERAL","COLLATERAL_TYPE_CODE","true","string(100)","","Nhãn phân loại nguồn của tài sản","FCT_RLOS_COLLATERAL.COLLATERAL_TYPE_CODE","direct","FCT_RLOS_COLLATERAL","COLLATERAL_TYPE_CODE",""
"STG_FCT_RLOS_COLLATERAL","CERTIFICATE_NO","true","string(500)","","Số giấy chứng nhận tài sản","FCT_RLOS_COLLATERAL.CERTIFICATE_NO","direct","FCT_RLOS_COLLATERAL","CERTIFICATE_NO",""
"STG_FCT_RLOS_COLLATERAL","DESCRIPTION","true","string(4000)","","Mô tả tài sản bảo đảm","FCT_RLOS_COLLATERAL.DESCRIPTION","direct","FCT_RLOS_COLLATERAL","DESCRIPTION",""
"STG_FCT_RLOS_COLLATERAL","OWNER_NAME","true","string(200)","","Chủ sở hữu tài sản","FCT_RLOS_COLLATERAL.OWNER_NAME","direct","FCT_RLOS_COLLATERAL","OWNER_NAME",""
"STG_FCT_RLOS_COLLATERAL","REL_TO_CUSTOMER","true","string(200)","","Quan hệ giữa chủ tài sản và khách hàng","FCT_RLOS_COLLATERAL.REL_TO_CUSTOMER","direct","FCT_RLOS_COLLATERAL","REL_TO_CUSTOMER",""
"STG_FCT_RLOS_COLLATERAL","USING_PURPOSE","true","string(255)","","Mục đích sử dụng của bất động sản","FCT_RLOS_COLLATERAL.USING_PURPOSE","direct","FCT_RLOS_COLLATERAL","USING_PURPOSE",""
"STG_FCT_RLOS_COLLATERAL","VEHICLE_TYPE","true","string(100)","","Loại phương tiện vận tải","FCT_RLOS_COLLATERAL.VEHICLE_TYPE","direct","FCT_RLOS_COLLATERAL","VEHICLE_TYPE",""
"STG_FCT_RLOS_COLLATERAL","BRAND","true","string(200)","","Hãng của phương tiện vận tải","FCT_RLOS_COLLATERAL.BRAND","direct","FCT_RLOS_COLLATERAL","BRAND",""
"STG_FCT_RLOS_COLLATERAL","CONTROL_POSTER","true","string(100)","","Biển số kiểm soát của phương tiện","FCT_RLOS_COLLATERAL.CONTROL_POSTER","direct","FCT_RLOS_COLLATERAL","CONTROL_POSTER",""
"STG_FCT_RLOS_COLLATERAL","VALPAPER_TYPE","true","string(100)","","Loại giấy tờ có giá","FCT_RLOS_COLLATERAL.VALPAPER_TYPE","direct","FCT_RLOS_COLLATERAL","VALPAPER_TYPE",""
"STG_FCT_RLOS_COLLATERAL","NUMBERSIGN","true","string(200)","","Số hiệu giấy tờ có giá","FCT_RLOS_COLLATERAL.NUMBERSIGN","direct","FCT_RLOS_COLLATERAL","NUMBERSIGN",""
"STG_FCT_RLOS_COLLATERAL","IS_ASSET_FORMED","true","string(10)","","Tài sản đã hình thành hay chưa","FCT_RLOS_COLLATERAL.IS_ASSET_FORMED","direct","FCT_RLOS_COLLATERAL","IS_ASSET_FORMED",""
"STG_FCT_RLOS_COLLATERAL","IS_FORMED_FROM_LOAN","true","string(100)","","Loại tài sản hình thành từ vốn vay","FCT_RLOS_COLLATERAL.IS_FORMED_FROM_LOAN","direct","FCT_RLOS_COLLATERAL","IS_FORMED_FROM_LOAN",""
"STG_FCT_RLOS_COLLATERAL","APPRAISED_VALUE","true","number(20,2)","","Giá trị định giá của tài sản","FCT_RLOS_COLLATERAL.APPRAISED_VALUE","direct","FCT_RLOS_COLLATERAL","APPRAISED_VALUE",""
"STG_FCT_RLOS_COLLATERAL","LOAN_RATE_LTV","true","number(5,2)","","Tỷ lệ cho vay trên giá trị tài sản","FCT_RLOS_COLLATERAL.LOAN_RATE_LTV","direct","FCT_RLOS_COLLATERAL","LOAN_RATE_LTV",""
"STG_FCT_RLOS_COLLATERAL","TYPES_OF_COLLATERALS","true","string(500)","","Phục vụ trực tiếp BC3.TYPES_OF_COLLATERALS","FCT_RLOS_COLLATERAL.TYPES_OF_COLLATERALS","direct","FCT_RLOS_COLLATERAL","TYPES_OF_COLLATERALS",""
