"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"STG_FCT_RLOS_SUB_PRODUCT","DAYID","false","date","PK","PK (1/4) — Driving: FCT_RLOS_SUB_PRODUCT. Ngày dữ liệu","FCT_RLOS_SUB_PRODUCT.DAYID WHERE FCT_RLOS_SUB_PRODUCT.DAYID = :ETL_DATE","direct","FCT_RLOS_SUB_PRODUCT","DAYID","Cắt lát Fact: chỉ lấy đúng 1 ngày = ngày ETL chạy. Điều kiện lọc này áp dụng chung cho toàn bộ bảng"
"STG_FCT_RLOS_SUB_PRODUCT","WI_NAME","false","string(100)","PK","PK (2/4) — mã hồ sơ tín dụng RLOS","FCT_RLOS_SUB_PRODUCT.WI_NAME","direct","FCT_RLOS_SUB_PRODUCT","WI_NAME",""
"STG_FCT_RLOS_SUB_PRODUCT","SUB_PRODUCT_TYPE_CODE","false","string(30)","PK","PK (3/4) — mã LOẠI sản phẩm phụ","FCT_RLOS_SUB_PRODUCT.SUB_PRODUCT_TYPE_CODE","direct","FCT_RLOS_SUB_PRODUCT","SUB_PRODUCT_TYPE_CODE",""
"STG_FCT_RLOS_SUB_PRODUCT","SUB_PRODUCT_BK","false","string(64)","PK","PK (4/4) — khóa nghiệp vụ của 1 lần đăng ký sản phẩm phụ","FCT_RLOS_SUB_PRODUCT.SUB_PRODUCT_BK","direct","FCT_RLOS_SUB_PRODUCT","SUB_PRODUCT_BK",""
"STG_FCT_RLOS_SUB_PRODUCT","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","FCT_RLOS_SUB_PRODUCT.DATASOURCE","direct","FCT_RLOS_SUB_PRODUCT","DATASOURCE",""
"STG_FCT_RLOS_SUB_PRODUCT","APPLICATION_SK","false","number","","Khóa tới DIM_RLOS_APPLICATION","FCT_RLOS_SUB_PRODUCT.APPLICATION_SK","direct","FCT_RLOS_SUB_PRODUCT","APPLICATION_SK",""
"STG_FCT_RLOS_SUB_PRODUCT","PRODUCT_SK","false","number","","Khóa tới DIM_RLOS_PRODUCT của sản phẩm phụ tương ứng","FCT_RLOS_SUB_PRODUCT.PRODUCT_SK","direct","FCT_RLOS_SUB_PRODUCT","PRODUCT_SK",""
"STG_FCT_RLOS_SUB_PRODUCT","SUB_PRODUCT_LINE","true","string(200)","","Dòng của sản phẩm phụ","FCT_RLOS_SUB_PRODUCT.SUB_PRODUCT_LINE","direct","FCT_RLOS_SUB_PRODUCT","SUB_PRODUCT_LINE",""
"STG_FCT_RLOS_SUB_PRODUCT","SPP_AMOUNT","true","number(20,2)","","Hạn mức của sản phẩm phụ","FCT_RLOS_SUB_PRODUCT.SPP_AMOUNT","direct","FCT_RLOS_SUB_PRODUCT","SPP_AMOUNT",""
"STG_FCT_RLOS_SUB_PRODUCT","SPP_TERM","true","number(5)","","Thời hạn của sản phẩm phụ, đơn vị tháng","FCT_RLOS_SUB_PRODUCT.SPP_TERM","direct","FCT_RLOS_SUB_PRODUCT","SPP_TERM",""
"STG_FCT_RLOS_SUB_PRODUCT","CARD_TYPE_CODE","true","string(100)","","Loại thẻ đăng ký lúc đề xuất sản phẩm phụ là thẻ tín dụng","FCT_RLOS_SUB_PRODUCT.CARD_TYPE_CODE","direct","FCT_RLOS_SUB_PRODUCT","CARD_TYPE_CODE",""
