"target_table","target_column","nullable","data_type","key","description","etl_logic","etl_logic_type","source_table","source_column","note"
"STG_FCT_RLOS_WORKSTEP_EVENT","DAYID","false","date","PK","PK (1/4) — Driving: FCT_RLOS_WORKSTEP_EVENT. Ngày phiên bản được ghi nhận","FCT_RLOS_WORKSTEP_EVENT.DAYID WHERE FCT_RLOS_WORKSTEP_EVENT.DAYID = v_batch_date","direct","FCT_RLOS_WORKSTEP_EVENT","DAYID","Cắt lát Fact: chỉ lấy đúng 1 ngày = ngày ETL chạy (bảng gốc là append-only quy trình A1, mỗi ngày chỉ ghi bản ghi mới/thay đổi). Điều kiện lọc này áp dụng chung cho toàn bộ bảng. review 2026-09-22: đổi biến tham số ngày ETL từ :ETL_DATE sang v_batch_date cho khớp quy ước biến batch chuẩn"
"STG_FCT_RLOS_WORKSTEP_EVENT","WI_NAME","false","string(100)","PK","PK (2/4) — mã hồ sơ tín dụng RLOS","FCT_RLOS_WORKSTEP_EVENT.WI_NAME","direct","FCT_RLOS_WORKSTEP_EVENT","WI_NAME",""
"STG_FCT_RLOS_WORKSTEP_EVENT","WORKSTEP_CODE","false","string(200)","PK","PK (3/4) — mã bước xử lý trên workflow","FCT_RLOS_WORKSTEP_EVENT.WORKSTEP_CODE","direct","FCT_RLOS_WORKSTEP_EVENT","WORKSTEP_CODE",""
"STG_FCT_RLOS_WORKSTEP_EVENT","ENTRYDATE","false","timestamp","PK","PK (4/4) — thời điểm hồ sơ vào bước xử lý","FCT_RLOS_WORKSTEP_EVENT.ENTRYDATE","direct","FCT_RLOS_WORKSTEP_EVENT","ENTRYDATE",""
"STG_FCT_RLOS_WORKSTEP_EVENT","DATASOURCE","false","string(10)","","Cột kỹ thuật đánh dấu nguồn hệ","FCT_RLOS_WORKSTEP_EVENT.DATASOURCE","direct","FCT_RLOS_WORKSTEP_EVENT","DATASOURCE",""
"STG_FCT_RLOS_WORKSTEP_EVENT","WORKSTEP_SK","false","number","","Khóa tới DIM_RLOS_WORKSTEP","FCT_RLOS_WORKSTEP_EVENT.WORKSTEP_SK","direct","FCT_RLOS_WORKSTEP_EVENT","WORKSTEP_SK",""
"STG_FCT_RLOS_WORKSTEP_EVENT","DECISION_SK","false","number","","Khóa tới DIM_RLOS_DECISION","FCT_RLOS_WORKSTEP_EVENT.DECISION_SK","direct","FCT_RLOS_WORKSTEP_EVENT","DECISION_SK",""
"STG_FCT_RLOS_WORKSTEP_EVENT","USER_SK","false","number","","Khóa tới DIM_LOS_USER","FCT_RLOS_WORKSTEP_EVENT.USER_SK","direct","FCT_RLOS_WORKSTEP_EVENT","USER_SK",""
"STG_FCT_RLOS_WORKSTEP_EVENT","APPLICATION_SK","false","number","","Khóa tới DIM_RLOS_APPLICATION","FCT_RLOS_WORKSTEP_EVENT.APPLICATION_SK","direct","FCT_RLOS_WORKSTEP_EVENT","APPLICATION_SK",""
"STG_FCT_RLOS_WORKSTEP_EVENT","EXITDATE","true","timestamp","","Thời điểm hồ sơ ra khỏi bước xử lý","FCT_RLOS_WORKSTEP_EVENT.EXITDATE","direct","FCT_RLOS_WORKSTEP_EVENT","EXITDATE",""
"STG_FCT_RLOS_WORKSTEP_EVENT","DECISION_CODE","true","string(200)","","Mã quyết định tại bước xử lý","FCT_RLOS_WORKSTEP_EVENT.DECISION_CODE","direct","FCT_RLOS_WORKSTEP_EVENT","DECISION_CODE",""
"STG_FCT_RLOS_WORKSTEP_EVENT","USERNAME","true","string(100)","","Tên tài khoản người xử lý hồ sơ","FCT_RLOS_WORKSTEP_EVENT.USERNAME","direct","FCT_RLOS_WORKSTEP_EVENT","USERNAME",""
"STG_FCT_RLOS_WORKSTEP_EVENT","REMARKS","true","string(4000)","","Ghi chú tại bước xử lý","FCT_RLOS_WORKSTEP_EVENT.REMARKS","direct","FCT_RLOS_WORKSTEP_EVENT","REMARKS",""
"STG_FCT_RLOS_WORKSTEP_EVENT","REASON_CODE","true","string(50)","","Mã lý do hủy hồ sơ","FCT_RLOS_WORKSTEP_EVENT.REASON_CODE","direct","FCT_RLOS_WORKSTEP_EVENT","REASON_CODE",""
"STG_FCT_RLOS_WORKSTEP_EVENT","REASON_DESC","true","string(500)","","Diễn giải lý do hủy hồ sơ","FCT_RLOS_WORKSTEP_EVENT.REASON_DESC","direct","FCT_RLOS_WORKSTEP_EVENT","REASON_DESC",""
"STG_FCT_RLOS_WORKSTEP_EVENT","TAT_SOURCE_SEC","true","number(12)","","Thời gian xử lý do hệ nguồn ghi, đơn vị giây","FCT_RLOS_WORKSTEP_EVENT.TAT_SOURCE_SEC","direct","FCT_RLOS_WORKSTEP_EVENT","TAT_SOURCE_SEC",""
"STG_FCT_RLOS_WORKSTEP_EVENT","TAT_CALENDAR_HOUR","true","number(18,6)","","Thời gian xử lý theo lịch tự nhiên, đơn vị giờ","FCT_RLOS_WORKSTEP_EVENT.TAT_CALENDAR_HOUR","direct","FCT_RLOS_WORKSTEP_EVENT","TAT_CALENDAR_HOUR",""
"STG_FCT_RLOS_WORKSTEP_EVENT","TAT_WORKING_HOUR","true","number(18,6)","","Thời gian xử lý theo giờ làm việc, đơn vị giờ","FCT_RLOS_WORKSTEP_EVENT.TAT_WORKING_HOUR","direct","FCT_RLOS_WORKSTEP_EVENT","TAT_WORKING_HOUR",""
"STG_FCT_RLOS_WORKSTEP_EVENT","TAT_CPC_HOUR","true","number(18,6)","","Thời gian xử lý theo giờ cam kết SLA, đơn vị giờ","FCT_RLOS_WORKSTEP_EVENT.TAT_CPC_HOUR","direct","FCT_RLOS_WORKSTEP_EVENT","TAT_CPC_HOUR",""
"STG_FCT_RLOS_WORKSTEP_EVENT","EVENT_SEQ_ASC","true","number(5)","","Thứ tự sự kiện theo chiều cũ đến mới","FCT_RLOS_WORKSTEP_EVENT.EVENT_SEQ_ASC","direct","FCT_RLOS_WORKSTEP_EVENT","EVENT_SEQ_ASC",""
"STG_FCT_RLOS_WORKSTEP_EVENT","BI_FLAG_APPROVAL","true","string(50)","","Đánh dấu lần phê duyệt đầu hay lần phê duyệt lại","FCT_RLOS_WORKSTEP_EVENT.BI_FLAG_APPROVAL","direct","FCT_RLOS_WORKSTEP_EVENT","BI_FLAG_APPROVAL",""
"STG_FCT_RLOS_WORKSTEP_EVENT","PRE_WORKSTEP_CODE","true","string(200)","","Bước xử lý liền trước","FCT_RLOS_WORKSTEP_EVENT.PRE_WORKSTEP_CODE","direct","FCT_RLOS_WORKSTEP_EVENT","PRE_WORKSTEP_CODE",""
